alpha,dictionary,horizon,target,seed,nmse
0.25,phase_fourier,2,cdf,630017,0.3067215725859844
0.25,phase_fourier,2,cdf,630018,0.29633158211180666
0.25,phase_fourier,2,cdf,630019,0.27463618593709593
0.25,phase_fourier,2,cdf,630020,0.2676724390129716
0.25,phase_fourier,2,cdf,630021,0.3240973348725811
0.25,phase_fourier,2,cdf,630022,0.3110754590390708
0.25,phase_fourier,2,cdf,630023,0.3112186295363043
0.25,phase_fourier,3,cayley,630000,0.4079679289278842
0.25,phase_fourier,3,cayley,630001,0.4034887005886787
0.25,phase_fourier,3,cayley,630002,0.40254364687184974
0.25,phase_fourier,3,cayley,630003,0.3876872042119605
0.25,phase_fourier,3,cayley,630004,0.4055083918675487
0.25,phase_fourier,3,cayley,630005,0.40706608296672037
0.25,phase_fourier,3,cayley,630006,0.415888749382513
0.25,phase_fourier,3,cayley,630007,0.37647784521709055
0.25,phase_fourier,3,cayley,630008,0.41723688418596944
0.25,phase_fourier,3,cayley,630009,0.42057373735243
0.25,phase_fourier,3,cayley,630010,0.38128124818894943
0.25,phase_fourier,3,cayley,630011,0.40547420088788955
0.25,phase_fourier,3,cayley,630012,0.3997541526901584
0.25,phase_fourier,3,cayley,630013,0.4342506678777478
0.25,phase_fourier,3,cayley,630014,0.40764544794474256
0.25,phase_fourier,3,cayley,630015,0.42855902994859796
0.25,phase_fourier,3,cayley,630016,0.4119189990481006
0.25,phase_fourier,3,cayley,630017,0.42980690339192446
0.25,phase_fourier,3,cayley,630018,0.4146538923880578
0.25,phase_fourier,3,cayley,630019,0.4072666753315578
0.25,phase_fourier,3,cayley,630020,0.4044266778277001
0.25,phase_fourier,3,cayley,630021,0.44646930107302607
0.25,phase_fourier,3,cayley,630022,0.42870751636436805
0.25,phase_fourier,3,cayley,630023,0.4372676405517914
0.25,phase_fourier,3,cdf,630000,0.6188796914181632
0.25,phase_fourier,3,cdf,630001,0.6056198243270285
0.25,phase_fourier,3,cdf,630002,0.6221840609288816
0.25,phase_fourier,3,cdf,630003,0.5837661549754153
0.25,phase_fourier,3,cdf,630004,0.5830586678006955
0.25,phase_fourier,3,cdf,630005,0.6050535584873872
0.25,phase_fourier,3,cdf,630006,0.6255659990275219
0.25,phase_fourier,3,cdf,630007,0.5432868247543339
0.25,phase_fourier,3,cdf,630008,0.6530168029751888
0.25,phase_fourier,3,cdf,630009,0.6316661580584139
0.25,phase_fourier,3,cdf,630010,0.5669583542515946
0.25,phase_fourier,3,cdf,630011,0.592446291813899
0.25,phase_fourier,3,cdf,630012,0.5856325706211338
0.25,phase_fourier,3,cdf,630013,0.6606775646218532
0.25,phase_fourier,3,cdf,630014,0.6123404670306174
0.25,phase_fourier,3,cdf,630015,0.666463833012002
0.25,phase_fourier,3,cdf,630016,0.5863517454275433
0.25,phase_fourier,3,cdf,630017,0.6579325752089474
0.25,phase_fourier,3,cdf,630018,0.6096375204948713
0.25,phase_fourier,3,cdf,630019,0.5947986441454451
0.25,phase_fourier,3,cdf,630020,0.566406633592678
0.25,phase_fourier,3,cdf,630021,0.6856914357342279
0.25,phase_fourier,3,cdf,630022,0.6639801662883449
0.25,phase_fourier,3,cdf,630023,0.6509430959046857
0.25,phase_fourier,4,cayley,630000,0.5586591503073824
0.25,phase_fourier,4,cayley,630001,0.5703343232455886
0.25,phase_fourier,4,cayley,630002,0.5711749982845208
0.25,phase_fourier,4,cayley,630003,0.5385407477081108
0.25,phase_fourier,4,cayley,630004,0.5851433951117724
0.25,phase_fourier,4,cayley,630005,0.5851008717276601
0.25,phase_fourier,4,cayley,630006,0.5735409126986301
0.25,phase_fourier,4,cayley,630007,0.5300204912975912
0.25,phase_fourier,4,cayley,630008,0.5755692293427513
0.25,phase_fourier,4,cayley,630009,0.5851594042971705
0.25,phase_fourier,4,cayley,630010,0.5300861103374954
0.25,phase_fourier,4,cayley,630011,0.561643558361119
0.25,phase_fourier,4,cayley,630012,0.5495369800492713
0.25,phase_fourier,4,cayley,630013,0.6014369370735889
0.25,phase_fourier,4,cayley,630014,0.572772917255486
0.25,phase_fourier,4,cayley,630015,0.5680357254489603
0.25,phase_fourier,4,cayley,630016,0.5593643971289104
0.25,phase_fourier,4,cayley,630017,0.6152617968502045
0.25,phase_fourier,4,cayley,630018,0.5759482556913345
0.25,phase_fourier,4,cayley,630019,0.570530471580874
0.25,phase_fourier,4,cayley,630020,0.5664195501539554
0.25,phase_fourier,4,cayley,630021,0.6243247292781728
0.25,phase_fourier,4,cayley,630022,0.5993898816761718
0.25,phase_fourier,4,cayley,630023,0.6207342251422874
0.25,phase_fourier,4,cdf,630000,0.7384685767471355
0.25,phase_fourier,4,cdf,630001,0.7601118680716594
0.25,phase_fourier,4,cdf,630002,0.7531894247512382
0.25,phase_fourier,4,cdf,630003,0.7300758220084997
0.25,phase_fourier,4,cdf,630004,0.7391230956236473
0.25,phase_fourier,4,cdf,630005,0.7555690093764658
0.25,phase_fourier,4,cdf,630006,0.7489106115580226
0.25,phase_fourier,4,cdf,630007,0.675870756252862
0.25,phase_fourier,4,cdf,630008,0.7430891854437623
0.25,phase_fourier,4,cdf,630009,0.7286664479234605
0.25,phase_fourier,4,cdf,630010,0.6693034054090412
0.25,phase_fourier,4,cdf,630011,0.702430598258788
0.25,phase_fourier,4,cdf,630012,0.6801117739907567
0.25,phase_fourier,4,cdf,630013,0.7748662094263469
0.25,phase_fourier,4,cdf,630014,0.7534095541823329
0.25,phase_fourier,4,cdf,630015,0.7578634524804181
0.25,phase_fourier,4,cdf,630016,0.683520153171106
0.25,phase_fourier,4,cdf,630017,0.8066129878260079
0.25,phase_fourier,4,cdf,630018,0.7295931135609774
0.25,phase_fourier,4,cdf,630019,0.7009232728163857
0.25,phase_fourier,4,cdf,630020,0.7062042471369235
0.25,phase_fourier,4,cdf,630021,0.8152332642634025
0.25,phase_fourier,4,cdf,630022,0.793741229857191
0.25,phase_fourier,4,cdf,630023,0.7880068405156229
0.25,euclidean_fourier,1,cayley,630000,0.47377097765790227
0.25,euclidean_fourier,1,cayley,630001,0.4638107159292501
0.25,euclidean_fourier,1,cayley,630002,0.4562226321461826
0.25,euclidean_fourier,1,cayley,630003,0.4521004216632606
0.25,euclidean_fourier,1,cayley,630004,0.47822485437528267
0.25,euclidean_fourier,1,cayley,630005,0.45778036398142385
0.25,euclidean_fourier,1,cayley,630006,0.4637669947873682
0.25,euclidean_fourier,1,cayley,630007,0.43962696881242525
0.25,euclidean_fourier,1,cayley,630008,0.48252674864919376
0.25,euclidean_fourier,1,cayley,630009,0.45450603849508725
0.25,euclidean_fourier,1,cayley,630010,0.4315148810207907
0.25,euclidean_fourier,1,cayley,630011,0.4501543453913135
0.25,euclidean_fourier,1,cayley,630012,0.45165948962601027
0.25,euclidean_fourier,1,cayley,630013,0.49325352341935735
0.25,euclidean_fourier,1,cayley,630014,0.4599821813370458
0.25,euclidean_fourier,1,cayley,630015,0.47068108375961265
0.25,euclidean_fourier,1,cayley,630016,0.46716293348485816
0.25,euclidean_fourier,1,cayley,630017,0.4939812751308326
0.25,euclidean_fourier,1,cayley,630018,0.4639625317104644
0.25,euclidean_fourier,1,cayley,630019,0.45616441071513597
0.25,euclidean_fourier,1,cayley,630020,0.4555946600951927
0.25,euclidean_fourier,1,cayley,630021,0.5023130594131218
0.25,euclidean_fourier,1,cayley,630022,0.48436479573622765
0.25,euclidean_fourier,1,cayley,630023,0.5206338030610941
0.25,euclidean_fourier,1,cdf,630000,0.7740709684884599
0.25,euclidean_fourier,1,cdf,630001,0.7603207039641847
0.25,euclidean_fourier,1,cdf,630002,0.7626363198673396
0.25,euclidean_fourier,1,cdf,630003,0.7461787743873458
0.25,euclidean_fourier,1,cdf,630004,0.7744018622875721
0.25,euclidean_fourier,1,cdf,630005,0.7665360329812455
0.25,euclidean_fourier,1,cdf,630006,0.74882320393423
0.25,euclidean_fourier,1,cdf,630007,0.7116361882223354
0.25,euclidean_fourier,1,cdf,630008,0.7990899976683215
0.25,euclidean_fourier,1,cdf,630009,0.7614488879362263
0.25,euclidean_fourier,1,cdf,630010,0.7024586680715211
0.25,euclidean_fourier,1,cdf,630011,0.7349433749901647
0.25,euclidean_fourier,1,cdf,630012,0.7671889795813303
0.25,euclidean_fourier,1,cdf,630013,0.8169391692775475
0.25,euclidean_fourier,1,cdf,630014,0.7606346384988162
0.25,euclidean_fourier,1,cdf,630015,0.7721761725678714
0.25,euclidean_fourier,1,cdf,630016,0.7783827705075251
0.25,euclidean_fourier,1,cdf,630017,0.8295592221613515
0.25,euclidean_fourier,1,cdf,630018,0.7737337558545352
0.25,euclidean_fourier,1,cdf,630019,0.7613461144440405
0.25,euclidean_fourier,1,cdf,630020,0.7667476807934824
0.25,euclidean_fourier,1,cdf,630021,0.817520560719703
0.25,euclidean_fourier,1,cdf,630022,0.7878901114269207
0.25,euclidean_fourier,1,cdf,630023,0.8252092975783981
0.25,euclidean_fourier,2,cayley,630000,0.6190992950351115
0.25,euclidean_fourier,2,cayley,630001,0.6357334777767508
0.25,euclidean_fourier,2,cayley,630002,0.6415212755209215
0.25,euclidean_fourier,2,cayley,630003,0.6150472964825147
0.25,euclidean_fourier,2,cayley,630004,0.6369634704173147
0.25,euclidean_fourier,2,cayley,630005,0.6342842241486035
0.25,euclidean_fourier,2,cayley,630006,0.6270200394881761
0.25,euclidean_fourier,2,cayley,630007,0.6032927626592277
0.25,euclidean_fourier,2,cayley,630008,0.6402333752633877
0.25,euclidean_fourier,2,cayley,630009,0.6237631647468043
0.25,euclidean_fourier,2,cayley,630010,0.6079692227406753
0.25,euclidean_fourier,2,cayley,630011,0.6303185011490942
0.25,euclidean_fourier,2,cayley,630012,0.61247656440753
0.25,euclidean_fourier,2,cayley,630013,0.6568551829533185
0.25,euclidean_fourier,2,cayley,630014,0.6214986983404686
0.25,euclidean_fourier,2,cayley,630015,0.6424166407005631
0.25,euclidean_fourier,2,cayley,630016,0.619046736806271
0.25,euclidean_fourier,2,cayley,630017,0.6677590168845448
0.25,euclidean_fourier,2,cayley,630018,0.6253153061326915
0.25,euclidean_fourier,2,cayley,630019,0.6200215932988773
0.25,euclidean_fourier,2,cayley,630020,0.6250408095470614
0.25,euclidean_fourier,2,cayley,630021,0.6768914107992138
0.25,euclidean_fourier,2,cayley,630022,0.6491518111437472
0.25,euclidean_fourier,2,cayley,630023,0.6625843996942369
0.25,euclidean_fourier,2,cdf,630000,0.8715208548116463
0.25,euclidean_fourier,2,cdf,630001,0.8620739003850936
0.25,euclidean_fourier,2,cdf,630002,0.8573073835105053
0.25,euclidean_fourier,2,cdf,630003,0.8520413404213645
0.25,euclidean_fourier,2,cdf,630004,0.8680492537651516
0.25,euclidean_fourier,2,cdf,630005,0.8632504675208957
0.25,euclidean_fourier,2,cdf,630006,0.8616997997809275
0.25,euclidean_fourier,2,cdf,630007,0.8172045693907305
0.25,euclidean_fourier,2,cdf,630008,0.8604226354652987
0.25,euclidean_fourier,2,cdf,630009,0.8353472338053389
0.25,euclidean_fourier,2,cdf,630010,0.8001135709626613
0.25,euclidean_fourier,2,cdf,630011,0.8499615354245796
0.25,euclidean_fourier,2,cdf,630012,0.8364762037396605
0.25,euclidean_fourier,2,cdf,630013,0.9192411285483972
0.25,euclidean_fourier,2,cdf,630014,0.8572704871380774
0.25,euclidean_fourier,2,cdf,630015,0.8976441962283331
0.25,euclidean_fourier,2,cdf,630016,0.8664641855986567
0.25,euclidean_fourier,2,cdf,630017,0.9108994699161246
0.25,euclidean_fourier,2,cdf,630018,0.8720317899523479
0.25,euclidean_fourier,2,cdf,630019,0.8319973445682544
0.25,euclidean_fourier,2,cdf,630020,0.8479710088435679
0.25,euclidean_fourier,2,cdf,630021,0.9249623858752446
0.25,euclidean_fourier,2,cdf,630022,0.885266120784033
0.25,euclidean_fourier,2,cdf,630023,0.9239437990868583
0.25,euclidean_fourier,3,cayley,630000,0.6782114289337924
0.25,euclidean_fourier,3,cayley,630001,0.6978746357079626
0.25,euclidean_fourier,3,cayley,630002,0.6911057791255771
0.25,euclidean_fourier,3,cayley,630003,0.6781868383717654
0.25,euclidean_fourier,3,cayley,630004,0.6864957108511938
0.25,euclidean_fourier,3,cayley,630005,0.6919688928175263
0.25,euclidean_fourier,3,cayley,630006,0.6704106918814132
0.25,euclidean_fourier,3,cayley,630007,0.6639579436061613
0.25,euclidean_fourier,3,cayley,630008,0.6999258593310062
0.25,euclidean_fourier,3,cayley,630009,0.679623508493982
0.25,euclidean_fourier,3,cayley,630010,0.6617675312860426
