beta,seed,n,k,real,imag,square
1.0001,17,200000,1,-0.045451523186339396,0.014892227551876011,0.0022876194014152026
1.0001,17,1000000,1,0.01630429577899095,-0.042831869735761544,0.0021003991259100677
1.0001,17,50000,2,0.2986914071583967,-0.4085448782606895,0.2561254742633048
1.0001,17,200000,2,0.050026264530993104,-0.020849938565419654,0.002937347081106672
1.0001,17,1000000,2,-0.045809153454826945,0.027533533264716695,0.002856573994287144
1.0001,17,50000,4,0.23937663853187247,-0.23854600617715996,0.11420537213789238
1.0001,17,200000,4,-0.03501781212697725,-0.06224721983096211,0.005100963542844397
1.0001,17,1000000,4,0.004619063387955113,0.0003107607182175276,2.1432318805934442e-05
1.0001,17,50000,8,0.02632106458614514,-0.19046315492885688,0.03696901182640176
1.0001,17,200000,8,-0.04310792099430422,-0.03205716638634462,0.002885954769172958
1.0001,17,1000000,8,0.00413325565648544,-0.0038257796860232656,3.172039252785717e-05
1.0001,18,50000,1,-0.2686761870041614,0.18173734701398453,0.10521535676277656
1.0001,18,200000,1,-0.3993171822591611,0.17499183066861124,0.190076352848148
1.0001,18,1000000,1,-0.02159413894374388,-0.1108827805137467,0.012761297851181443
1.0001,18,50000,2,0.31293764309699973,-0.3749265017773509,0.23849985020210707
1.0001,18,200000,2,0.3580565800302411,-0.19983193821682646,0.16813731803444598
1.0001,18,1000000,2,0.05622575761225848,0.0587769179858477,0.006616061906987509
1.0001,18,50000,4,0.14808980257385304,-0.3276707010909765,0.12929867797981484
1.0001,18,200000,4,0.1469805898627199,-0.1424846825329357,0.04190517855290454
1.0001,18,1000000,4,0.005535004557688784,-0.013494371568295123,0.00021273433947684734
1.0001,18,50000,8,-0.08366592657057036,-0.23239194087394788,0.06100600145207256
1.0001,18,200000,8,0.03555057938667945,-0.07536865359379152,0.006944277639269543
1.0001,18,1000000,8,0.00029142086276616794,-0.005028777830093242,2.5373532583692682e-05
1.0001,19,50000,1,0.15913730828001457,-0.07185292902002893,0.030487526295365715
1.0001,19,200000,1,0.30053244661533157,-0.10014002377051977,0.1003477758293574
1.0001,19,1000000,1,-0.005403900040095329,0.004508694196863277,4.953045900417088e-05
1.0001,19,50000,2,-0.19806660278960067,-0.09261137937934606,0.047807246731158604
1.0001,19,200000,2,-0.152803202765994,0.020025457127226653,0.02374983770869987
1.0001,19,1000000,2,0.006510743490484743,-0.00967431285141931,0.00013598210994602628
1.0001,19,50000,4,-0.13165909486839608,-0.11764986463160157,0.031175607909399494
1.0001,19,200000,4,-0.043160173087519335,-0.0037579706148459287,0.001876922884086674
1.0001,19,1000000,4,0.017703077943603585,-0.07186511643138206,0.005477993928373404
1.0001,19,50000,8,0.055471389524347554,0.06838875710676046,0.007754097154369375
1.0001,19,200000,8,0.014637862497732327,0.016604507762293608,0.0004899766965305872
1.0001,19,1000000,8,0.01567342389379246,-0.05078974651204298,0.002825254567312086
1.0001,20,50000,1,0.31119043677806174,0.1468240367919749,0.11839678572201205
1.0001,20,200000,1,0.06397605190642772,-0.133789380790094,0.02199253362973071
1.0001,20,1000000,1,0.0889041983677848,-0.0175775757835579,0.008212927657845152
1.0001,20,50000,2,-0.16724221454215354,-0.16976725579470522,0.05679087946502859
1.0001,20,200000,2,0.020832115287275885,0.014431356771086949,0.0006422410855967508
1.0001,20,1000000,2,-0.01175382058121563,0.01722507801990763,0.00043485561104731306
1.0001,20,50000,4,-0.051591619267500576,-0.06462318230792687,0.0068378508702462894
1.0001,20,200000,4,-0.0634233427768276,-0.06081867042262064,0.00772143108096232
1.0001,20,1000000,4,-0.01873639233159341,0.010636618929055026,0.000464190059845324
1.0001,20,50000,8,-0.05133321320191126,-0.024641711323486644,0.003242312714582927
1.0001,20,200000,8,-0.021996078827109224,-0.0643055883966249,0.0046190361828045414
1.0001,20,1000000,8,-0.019645065182024295,-0.0027850581850588723,0.0003936851351001467
1.0001,21,50000,1,0.12048791723736034,-0.284010724037973,0.09517942956877065
1.0001,21,200000,1,-0.125120934707062,-0.07620731290429185,0.02146280284206152
1.0001,21,1000000,1,0.013766106850976364,-0.005863148052463233,0.00022388220291760178
1.0001,21,50000,2,-0.2073529251921303,0.22730339721815337,0.09466206997264678
1.0001,21,200000,2,0.07171225885773838,0.20171293956727337,0.04583075805934976
1.0001,21,1000000,2,-0.030861831025743598,0.05606046844948982,0.004095228737037794
1.0001,21,50000,4,-0.10560556057780504,-0.037256381592236584,0.012540572394298795
1.0001,21,200000,4,0.06408149884099855,0.02048893585717735,0.004526234986268425
1.0001,21,1000000,4,0.007680790117190241,0.00889045513691096,0.0001380347293657538
1.0001,21,50000,8,0.033437094812073125,-0.019026661459884357,0.0014800531557806163
1.0001,21,200000,8,0.019462148105389418,0.04361676322472807,0.0022811972430781037
1.0001,21,1000000,8,0.005549686223013087,0.020064484478157285,0.0004333825545481158
1.0001,22,50000,1,0.3602360544421968,-0.1803446367068008,0.16229420290898935
1.0001,22,200000,1,0.06656116680221616,-0.021055902824332166,0.004873739969820162
1.0001,22,1000000,1,0.042397747000679865,0.10271560955994534,0.012348065398004792
1.0001,22,50000,2,-0.17361407560845915,0.13044998545162872,0.04715904595370991
1.0001,22,200000,2,-0.09023837074233794,0.002360018732572259,0.008148533242649724
1.0001,22,1000000,2,-0.06708210633427766,-0.059601202315376085,0.008052312307681726
