beta,seed,x0,zero_count,max_abs,unit_error
1.01,21,0.0833865136064819,0,244842.38511690928,2.220446049250313e-16
1.01,22,0.19938029985306138,0,90225.63261570828,2.220446049250313e-16
1.01,23,0.22337732624842324,0,1067451.352204469,2.220446049250313e-16
1.01,24,-0.1306690872861104,0,203983.60165701903,2.220446049250313e-16
1.01,25,-0.09313630981464921,0,77982.67512074992,2.220446049250313e-16
1.01,26,-0.018255766417871563,0,49721.08135458364,2.220446049250313e-16
1.01,27,0.039668776826698955,0,135592.201233347,2.220446049250313e-16
1.01,28,0.5801776244743536,0,50451.096618242664,2.220446049250313e-16
1.01,29,-0.11531513302147813,0,77422.93816868369,2.220446049250313e-16
1.01,30,0.36096727553573893,0,146736.60925253504,2.220446049250313e-16
1.01,31,-0.02815077806439325,0,55517.05217010278,2.220446049250313e-16
1.01,32,2.834020308195259,0,90645.20650079961,2.220446049250313e-16
1.01,33,-0.37382766389932265,0,452969.07296402723,2.220446049250313e-16
1.01,34,-0.4804630239101245,0,75144.1856421738,2.220446049250313e-16
1.01,35,-0.03518311612641285,0,59081.891865164536,2.220446049250313e-16
1.01,36,0.26604648390286845,0,595882.6405337681,2.220446049250313e-16
1.01,37,-0.1942639517743529,0,167331.38702121095,2.220446049250313e-16
1.01,38,2.0884728876924394,0,66783.96316098164,2.220446049250313e-16
1.01,39,0.3124790840665644,0,141941.64446009626,2.220446049250313e-16
1.01,40,24.163302715069527,0,18102.883291183676,2.220446049250313e-16
1.01,41,0.10892453743467945,0,47314511.34207086,2.220446049250313e-16
1.01,42,0.4521833540070031,0,78683.91974824543,2.220446049250313e-16
1.01,43,-0.21432768368172167,0,98712.58575995543,2.220446049250313e-16
1.01,44,-0.029039118335415923,0,4949521.736086352,2.220446049250313e-16
1.01,45,-0.9970385379581482,0,60692.37430142154,2.220446049250313e-16
1.01,46,0.08996070399195732,0,3004734.257274289,2.220446049250313e-16
1.01,47,-1.2590304596253796,0,73560.5678524033,2.220446049250313e-16
1.01,48,0.28994824630316707,0,431060.0725507093,2.220446049250313e-16
1.01,49,-0.04961224543551738,0,185930.90905716,2.220446049250313e-16
1.01,50,-0.22967337948367467,0,74054.02025031981,2.220446049250313e-16
1.01,51,0.47974088494868083,0,37382.849751332964,2.220446049250313e-16
1.01,52,-0.4690041457861261,0,409845.0098386576,2.220446049250313e-16
1.01,53,-0.15843876030099804,0,269663.39036646375,2.220446049250313e-16
1.01,54,0.05367478430720287,0,184499.06014827976,2.220446049250313e-16
1.01,55,-0.5254930962010727,0,64207.901199482134,2.220446049250313e-16
1.01,56,0.32783116269689366,0,68367.92039402114,2.220446049250313e-16
1.01,57,-0.02997574282437499,0,2579355.402092964,2.220446049250313e-16
1.01,58,0.06365638877482183,0,8585257.415452836,2.220446049250313e-16
1.01,59,0.004217321360064001,0,810063.6202580965,2.220446049250313e-16
1.01,60,-0.0029497049010687205,0,476724.4160483711,2.220446049250313e-16
1.01,61,0.6716557543530781,0,397416.44663690554,2.220446049250313e-16
1.01,62,0.27590105889850997,0,92666.75699427722,2.220446049250313e-16
1.01,63,0.18467181478933395,0,52451.87248301006,2.220446049250313e-16
1.1,0,-0.2595041160051582,0,233214.0738110915,2.220446049250313e-16
1.1,1,-0.4707009431435835,0,175287.4531779602,2.220446049250313e-16
1.1,2,-0.021962648000812487,0,2533130.8833123185,2.220446049250313e-16
1.1,3,0.046240891174531236,0,178526.42218459278,2.220446049250313e-16
1.1,4,0.3509725534820529,0,581399.1300744084,2.220446049250313e-16
1.1,5,-2.5612718672913664,0,1059106.7909121064,2.220446049250313e-16
1.1,6,-0.09536215103123383,0,26379010.356843747,2.220446049250313e-16
1.1,7,-21.24297541791612,0,1870535.8289453064,2.220446049250313e-16
1.1,8,-6.008665856523882,0,382466.74715106166,2.220446049250313e-16
1.1,9,0.6304441220648866,0,1222267.4879029742,2.220446049250313e-16
1.1,10,4.040785985355203,0,1409003.38072121,2.220446049250313e-16
1.1,11,-0.1284707803970719,0,542489.3240674534,2.220446049250313e-16
1.1,12,0.3930188039838738,0,146416.31428697947,2.220446049250313e-16
1.1,13,-0.5842812889506257,0,1137859.215195008,2.220446049250313e-16
1.1,14,1.8914736665018714,0,997085.6528822223,2.220446049250313e-16
1.1,15,6.317867406638314,0,213567.10002312798,2.220446049250313e-16
1.1,16,10.025942842616962,0,304823.78916798416,2.220446049250313e-16
1.1,17,0.32622902426019634,0,171310.30156907922,2.220446049250313e-16
1.1,18,-0.6629641898492279,0,1674663.6287477151,2.220446049250313e-16
1.1,19,0.3647622450926684,0,104261.50398847513,2.220446049250313e-16
1.1,20,-0.44430870147204005,0,564395.8495264719,2.220446049250313e-16
1.1,21,0.2608960471669758,0,4632010.847904822,2.220446049250313e-16
1.1,22,-0.06601259956841295,0,684688.4427453544,2.220446049250313e-16
1.1,23,-0.47498436274995615,0,480874.4647358954,2.220446049250313e-16
1.1,24,0.971631977879297,0,670230.46742278,2.220446049250313e-16
1.1,25,-5.0606681784256855,0,763129.3243398542,2.220446049250313e-16
1.1,26,0.4973132720395297,0,288435.5287636863,2.220446049250313e-16
1.1,27,1.3922146124917418,0,648576.061551843,2.220446049250313e-16
