beta,seed,n,k,lag,real,imag
1.0001,7,50000,4,1,0.9988795076753044,0.000598887150221413
1.0001,7,50000,4,64,0.9286757913568985,0.038013899785345674
1.0001,7,50000,4,1024,0.46396127866007614,0.25049932173243933
1.0001,7,50000,4,4096,0.15488943484162962,0.1973072331407251
1.0001,7,200000,4,1,0.9991021469125211,-8.52806066765035e-06
1.0001,7,200000,4,64,0.9424302061430223,-0.0009818090530986268
1.0001,7,200000,4,1024,0.43715891167541343,0.07840800035338266
1.0001,7,200000,4,4096,0.14302233677808524,0.03508147674053213
1.0001,7,1000000,4,1,0.999202572475263,-7.241853128506069e-05
1.0001,7,1000000,4,64,0.9504347143202945,-0.004657421427185455
1.0001,7,1000000,4,1024,0.45492576211884195,-0.010778421630104291
1.0001,7,1000000,4,4096,0.06961066442356253,0.024238371415217848
1.0001,8,50000,1,1,0.9998461772910666,9.94953693819646e-05
1.0001,8,50000,1,64,0.9899140638769542,0.005833625499466097
1.0001,8,50000,1,1024,0.8519319741153552,0.07504313364600544
1.0001,8,50000,1,4096,0.4189436062934991,0.22727109933971515
1.0001,8,200000,1,1,0.9998380442515337,3.3434592168357358e-06
1.0001,8,200000,1,64,0.9894316892643986,6.31897775456498e-05
1.0001,8,200000,1,1024,0.8385118439941287,-0.0004458552277544341
1.0001,8,200000,1,4096,0.45407929252533674,0.022795729688594134
1.0001,8,1000000,1,1,0.9997834692289627,1.468862910620231e-05
1.0001,8,1000000,1,64,0.9860616319376221,0.0008878635632008559
1.0001,8,1000000,1,1024,0.7965489625665223,0.008139791961518107
1.0001,8,1000000,1,4096,0.4166233052167674,0.005735267203489376
1.0001,8,50000,4,1,0.9992803049430983,0.0006361728518006986
1.0001,8,50000,4,64,0.9511658760386665,0.03818420315943152
1.0001,8,50000,4,1024,0.5941113988362139,0.2980576211637698
1.0001,8,50000,4,4096,-0.0305403410755329,0.30456007531188733
1.0001,8,200000,4,1,0.9993965303270924,5.800435641174048e-05
1.0001,8,200000,4,64,0.9612392478898492,0.004001529712867031
1.0001,8,200000,4,1024,0.5770591845306724,0.01200164599525285
1.0001,8,200000,4,4096,0.1133056714216828,-0.045496109642725144
