beta,gamma,r,k,n,variance,rms,effective_n,empirical,half95,ratio,interval_contains_theory
1.01,0.1716617792793326,0.9802375558700003,8.0,1000000.0,1.2551365508821196e-05,0.0035427906385815684,79672.60608395097,1.0227376542219583e-05,2.556918110556695e-06,0.8148417425205015,1
1.1,0.5029405749446415,0.8217558558817888,1.0,50000.0,0.0002043906074551634,0.014296524313803106,4892.592729435316,0.00020263433346176044,4.427192145644851e-05,0.9914072666289804,1
1.1,0.5029405749446415,0.8217558558817888,1.0,200000.0,5.110153161185404e-05,0.007148533528763368,19568.885089307765,4.456465655519068e-05,1.2545822318694845e-05,0.8720806431729925,1
1.1,0.5029405749446415,0.8217558558817888,1.0,1000000.0,1.0220513242267514e-05,0.0031969537441551314,97842.44453247642,9.762707733333307e-06,2.902807973840258e-06,0.9552071898854427,1
1.1,0.5029405749446415,0.8217558558817888,2.0,50000.0,0.00010317894573951187,0.01015770376313032,9691.899765332211,0.00010403027494507443,2.2380199240001673e-05,1.0082509973276121,1
1.1,0.5029405749446415,0.8217558558817888,2.0,200000.0,2.5795697086641082e-05,0.005078946454397908,38766.15532587696,2.1090957781825767e-05,5.2969168532349255e-06,0.817615345341771,1
1.1,0.5029405749446415,0.8217558558817888,2.0,1000000.0,5.159190652088915e-06,0.0022713851835584635,193828.85173958595,4.538542889981381e-06,1.1170922857648184e-06,0.879700556935953,1
1.1,0.5029405749446415,0.8217558558817888,4.0,50000.0,5.352908556553265e-05,0.007316357397334595,18681.432522805873,5.237254020224897e-05,1.2521073543954153e-05,0.9783940758362519,1
1.1,0.5029405749446415,0.8217558558817888,4.0,200000.0,1.3382502531537416e-05,0.0036582102907757254,74724.43944197912,1.104371421659059e-05,2.354310760614227e-06,0.8252353541921474,1
1.1,0.5029405749446415,0.8217558558817888,4.0,1000000.0,2.6765128337823768e-06,0.0016360051447909254,373620.4763818848,2.124820946304537e-06,5.095392009104735e-07,0.7938766141845084,0
1.1,0.5029405749446415,0.8217558558817888,8.0,50000.0,3.0501094451815308e-05,0.005522779594716352,32785.70877447592,2.8375406002712947e-05,6.49032267007354e-06,0.9303077975624626,1
1.1,0.5029405749446415,0.8217558558817888,8.0,200000.0,7.625323331666818e-06,0.0027613987998235273,131141.9800190178,7.1268856602061725e-06,1.7437658044241488e-06,0.9346338968485823,1
1.1,0.5029405749446415,0.8217558558817888,8.0,1000000.0,1.5250673179980563e-06,0.001234936159482771,655708.7599993239,1.171672820085107e-06,3.025224528444157e-07,0.7682761319829163,0
2.0,0.9575040240772688,0.16637208775167434,1.0,50000.0,2.798284672517014e-05,0.005289881541695442,35736.178303135806,3.0259919531141432e-05,8.315636364111248e-06,1.0813738798034118,1
2.0,0.9575040240772688,0.16637208775167434,1.0,200000.0,6.995747592270321e-06,0.0026449475594556354,142943.9794404405,5.987663108614375e-06,1.5672334713901232e-06,0.8559003922940573,1
2.0,0.9575040240772688,0.16637208775167434,1.0,1000000.0,1.3991514337062129e-06,0.0011828573175604118,714718.9188457604,1.271111906307261e-06,3.297135958330712e-07,0.908487727407899,1
2.0,0.9575040240772688,0.16637208775167434,2.0,50000.0,2.11386824453203e-05,0.004597682290602549,47306.638083367434,2.244443035302585e-05,5.456083779192614e-06,1.0617705436979408,1
2.0,0.9575040240772688,0.16637208775167434,2.0,200000.0,5.284675003038115e-06,0.0022988421005014927,189226.39508108038,5.046376613221422e-06,1.1676315803544924e-06,0.9549076547413612,1
2.0,0.9575040240772688,0.16637208775167434,2.0,1000000.0,1.056935234832052e-06,0.0010280735551661915,946131.7657357699,9.386200845860681e-07,2.2785145338999278e-07,0.8880582779844743,1
2.0,0.9575040240772688,0.16637208775167434,4.0,50000.0,2.003066945319369e-05,0.004475563590565292,49923.44376391075,1.9905118656190925e-05,6.279394948663526e-06,0.9937320718463183,1
2.0,0.9575040240772688,0.16637208775167434,4.0,200000.0,5.00766747839936e-06,0.0022377818210002867,199693.7704656935,4.636066410223665e-06,1.2837650652219558e-06,0.9257935815869163,1
2.0,0.9575040240772688,0.16637208775167434,4.0,1000000.0,1.0015335018185887e-06,0.0010007664571809892,998468.8462085351,9.283141917405073e-07,2.0060022711465699e-07,0.9268927999461531,1
2.0,0.9575040240772688,0.16637208775167434,8.0,50000.0,2.000002347984859e-05,0.004472138580125687,49999.94130044743,2.2617983530679233e-05,4.2635316492914715e-06,1.1308978488684485,1
2.0,0.9575040240772688,0.16637208775167434,8.0,200000.0,5.000005870050199e-06,0.002236069290082532,199999.76519826768,5.200325312053821e-06,1.4194334860317399e-06,1.0400638413653722,1
2.0,0.9575040240772688,0.16637208775167434,8.0,1000000.0,1.0000011740147358e-06,0.0010000005870071957,999998.8259866425,9.626390140969914e-07,2.393327539267835e-07,0.9626378839459304,1
