condition_type,condition_value,observation_length,model,feature_dim,cv_rmse_clean,ridge_alpha,test_rmse,median_sample_rmse,p90_sample_rmse
missing_rate,0.05,1024,direct_fourier,32,0.054619290488102774,1.0,0.08609322178179331,0.03805999667917748,0.13178157890060901
missing_rate,0.1,1024,oracle_tm,32,0.014246490859982303,1.0,0.019354922369018347,0.01590614972835918,0.029768197391626904
missing_rate,0.1,1024,oracle_fourier,32,0.0030614999642385563,0.01,0.23632330812482402,0.1313294782452154,0.4107343199849285
missing_rate,0.1,1024,direct_tm,32,0.021526492610639894,1.0,0.024521822429795215,0.01967487441948692,0.036349945195500874
missing_rate,0.1,1024,direct_fourier,32,0.054619290488102774,1.0,0.13458925067588487,0.0640310362634022,0.21223316791363173
missing_rate,0.2,1024,oracle_tm,32,0.014246490859982303,1.0,0.027438846924333907,0.022739691495523268,0.043070779094015466
missing_rate,0.2,1024,oracle_fourier,32,0.0030614999642385563,0.01,0.3795011609942028,0.31895370123238553,0.5517244226917055
missing_rate,0.2,1024,direct_tm,32,0.021526492610639894,1.0,0.0263709778836028,0.02062386547079908,0.0393525151145148
missing_rate,0.2,1024,direct_fourier,32,0.054619290488102774,1.0,0.17853300079708015,0.11444390353801316,0.28476607886604477
missing_rate,0.4,1024,oracle_tm,32,0.014246490859982303,1.0,0.056242488773206256,0.04581467599000671,0.08419733590312993
missing_rate,0.4,1024,oracle_fourier,32,0.0030614999642385563,0.01,0.6873488385387193,0.6685971869034413,0.9206657823715774
missing_rate,0.4,1024,direct_tm,32,0.021526492610639894,1.0,0.03144751482279352,0.026547497192754673,0.04712055601516626
missing_rate,0.4,1024,direct_fourier,32,0.054619290488102774,1.0,0.2878656912200615,0.23573823870901883,0.43326062201200094
observation_length,128.0,128,oracle_tm,32,0.014246490859982303,1.0,0.04183521751600604,0.030590149108050427,0.059973467401844366
observation_length,128.0,128,oracle_fourier,32,0.0030614999642385563,0.01,0.04689622691727774,0.018503351605266533,0.05382316792266786
observation_length,128.0,128,direct_tm,32,0.021526492610639894,1.0,0.054146715538378326,0.04070872299770727,0.08724595100826474
observation_length,128.0,128,direct_fourier,32,0.054619290488102774,1.0,0.06557183164805674,0.039636763482072186,0.10086627322580935
observation_length,256.0,256,oracle_tm,32,0.014246490859982303,1.0,0.02844045795276138,0.022339851459517775,0.04664221322007668
observation_length,256.0,256,oracle_fourier,32,0.0030614999642385563,0.01,0.032914125105338414,0.008362068561454623,0.02152488427046506
observation_length,256.0,256,direct_tm,32,0.021526492610639894,1.0,0.038871474809686495,0.03118862138569881,0.05992665962948927
observation_length,256.0,256,direct_fourier,32,0.054619290488102774,1.0,0.054639801084411535,0.02707143916517257,0.0904197155158731
observation_length,512.0,512,oracle_tm,32,0.014246490859982303,1.0,0.019260622071988143,0.015888029285062645,0.028345093616141216
observation_length,512.0,512,oracle_fourier,32,0.0030614999642385563,0.01,0.01281055657930395,0.0037502408739104667,0.011214646041560276
observation_length,512.0,512,direct_tm,32,0.021526492610639894,1.0,0.02954095483697248,0.023772601382221613,0.04449059861447848
observation_length,512.0,512,direct_fourier,32,0.054619290488102774,1.0,0.04839942674045531,0.028198765264167563,0.082157882124656
observation_length,1024.0,1024,oracle_tm,32,0.014246490859982303,1.0,0.012895214587390083,0.010835184591686194,0.019873585154825405
observation_length,1024.0,1024,oracle_fourier,32,0.0030614999642385563,0.01,0.003806482622215137,0.0023959805491691327,0.005971910180661948
observation_length,1024.0,1024,direct_tm,32,0.021526492610639894,1.0,0.022999982370827666,0.019060518042704234,0.03619830625029551
observation_length,1024.0,1024,direct_fourier,32,0.054619290488102774,1.0,0.05226562103110272,0.025455249062422143,0.09368935329508785
