replicate,fourier_minus_tm_rmse
323,0.001445070537419259
324,0.001182212942031629
325,0.0011179264309887642
326,0.0013390789771676706
327,0.001318592066965742
328,0.0013675231238060794
329,0.0010878186595303981
330,0.001477473189973755
331,0.0012127153914580433
332,0.001329584666508996
333,0.0013751724045456702
334,0.0012017565852213837
335,0.001486938381858771
336,0.001299695530841144
337,0.001457798072881008
338,0.0011630934340136443
339,0.0013585921605143868
340,0.0014196119172995105
341,0.001323585344389818
342,0.0015838624168468367
343,0.001411044751843758
344,0.0011159455722073567
345,0.0011705982817862876
346,0.0015675272462121084
347,0.0014692042806589613
348,0.001357101935533872
349,0.0012983724090030679
350,0.0013895007385569596
351,0.0012371233037684567
352,0.0012924424854586585
353,0.0013833415302072116
354,0.0011998217138235105
355,0.0014855777269519276
356,0.0015265397291145458
357,0.0010780931308299008
358,0.0013389845375531815
359,0.0013469301861516315
360,0.0012462835191079905
361,0.001138259462298673
362,0.0015167898784252004
363,0.001146430273092879
364,0.0012552808728923351
365,0.0011946863319658605
366,0.0012172408005291543
367,0.0008108387659957817
368,0.0015083859837372877
369,0.0012445285730878061
370,0.0013961989356718891
371,0.0011992715131632953
372,0.0009405648078296513
373,0.0011446171873424307
374,0.0011773042650046453
375,0.001289024842341771
376,0.0011670483229485027
377,0.0012874325559382254
378,0.001338528877499784
379,0.0011068568982375924
380,0.0013182250619636706
381,0.0012194028709239212
382,0.0008878352042491358
383,0.0011738822170856414
384,0.0012445957766150728
385,0.0010289707623737775
386,0.0013033369608569062
387,0.0013299648662237506
388,0.0011557033006569146
389,0.0014089069902787307
390,0.0013782210187720813
391,0.001425660231282861
392,0.0011845144225116429
393,0.0011496134091576785
394,0.001346040884500158
395,0.001207437810724084
396,0.001034899540709858
397,0.0011034701336396686
398,0.0013227636172056243
399,0.0016646428685217157
400,0.0014202290151810193
401,0.0011876327297730108
402,0.0011391661333104378
403,0.001289318906365089
404,0.0012818083489549495
405,0.0012831960180924166
406,0.0012957280626411925
407,0.0013698733040376243
408,0.0013096993110066353
409,0.001428301234264318
410,0.0013565670689139246
411,0.0009017590364109745
412,0.00123448802489193
413,0.0009851513008763105
414,0.0012431799743408275
415,0.0011664969552727486
416,0.0012857577430319342
417,0.0014515248776129947
418,0.001119840286401256
419,0.0008699554056371226
420,0.0013332287337176657
421,0.0011076715520776878
422,0.0012967737526366522
423,0.0015988928094469567
424,0.0014447105529597026
425,0.001274270034969419
426,0.001402953017586591
