row_id,split,alpha,seed,estimated_location,estimated_scale
162,test,0.38,20264852,6.579598223124927e-05,0.8246652685638667
163,test,0.38,20264853,0.01319542347777298,0.7581033147376265
164,test,0.38,20264854,0.004198704797331837,0.7598671834168107
165,test,0.38,20264855,0.005431931365376442,0.7821749256869686
166,test,0.38,20264856,-0.016690364451223603,0.7963943065102577
167,test,0.38,20264857,0.012987638259570635,0.8549423601659765
168,test,0.38,20264858,0.030256422851819877,0.803216448835945
169,test,0.38,20264859,-0.00859468599222939,0.7732895187903548
170,test,0.38,20264860,0.0020532421325693173,0.7680518194428231
171,test,0.38,20264861,-0.0064431279841550265,0.8144959567175081
172,test,0.38,20264862,0.008249675341106634,0.7905792921024604
173,test,0.38,20264863,0.003843583073207154,0.7684658033800311
174,test,0.38,20264864,-0.0016312044509288936,0.8066334498042358
175,test,0.38,20264865,-0.011689513024394367,0.7980171724436624
176,test,0.38,20264866,0.004108977661215775,0.7825555236591732
177,test,0.38,20264867,-0.015290984836253543,0.8030698546403419
178,test,0.38,20264868,0.0267597580589189,0.7850847719955161
179,test,0.38,20264869,0.012932310544401537,0.8055810123194032
180,test,0.38,20264870,0.004746565310313668,0.7985433935893183
181,test,0.38,20264871,0.03419090120694894,0.8368732849363096
182,test,0.38,20264872,0.00886330494447701,0.7654377375574675
183,test,0.38,20264873,0.011678280890354975,0.7764736227039689
184,test,0.38,20264874,0.011619602837360708,0.8007782495328595
185,test,0.38,20264875,-0.010245923395416735,0.7725058432113885
186,test,0.38,20264876,-0.005949996806263106,0.7359081894932186
187,test,0.38,20264877,-0.01888278276600565,0.7799274554013645
188,test,0.46,20264830,0.03271978130557543,0.9359265392487413
189,test,0.46,20264831,0.04337107578000083,0.9017074610739492
190,test,0.46,20264832,0.015663555520450893,0.9349585323027049
191,test,0.46,20264833,0.011969741766498586,0.9126143680712647
192,test,0.46,20264834,-0.02039884330564759,0.9457066577739954
193,test,0.46,20264835,-0.016047351484445214,0.9305435333345101
194,test,0.46,20264836,0.007501450180224661,0.9581722335882779
195,test,0.46,20264837,-0.0018956729746286063,0.9720194853026318
196,test,0.46,20264838,0.020061377401336324,0.9360145198279612
197,test,0.46,20264839,0.011337259928874042,0.9753215372415618
198,test,0.46,20264840,-0.00635548774892594,0.9794644419530663
199,test,0.46,20264841,-0.008248253560655148,0.9499697993931604
200,test,0.46,20264842,0.03760870457900829,0.8982915084584074
201,test,0.46,20264843,-0.015603842218016653,0.9347109050691786
202,test,0.46,20264844,-0.006007688828160964,0.9311812159821278
203,test,0.46,20264845,-0.010454445042537305,0.9612920140234112
204,test,0.46,20264846,0.04771924583197896,0.9056435371153304
205,test,0.46,20264847,0.004325962158889556,0.9176504264831431
206,test,0.46,20264848,-0.000427802072523904,0.9592704569925927
207,test,0.46,20264849,-0.011585532710676149,0.8866738272267518
208,test,0.46,20264850,-0.013318190334153351,0.9164748437490486
209,test,0.46,20264851,0.027255626170787174,0.9512292677021064
210,test,0.46,20264852,0.0185906339336862,0.9162657189803491
211,test,0.46,20264853,0.002371446602623195,0.9287022234755464
212,test,0.46,20264854,-0.014033890975796319,0.9336447034279503
213,test,0.46,20264855,-0.008867839873545339,0.9087351037283996
214,test,0.46,20264856,0.005126115309258203,0.9345910816887764
215,test,0.46,20264857,-0.03619018482948285,0.866778317982586
216,test,0.46,20264858,0.010392676895053635,0.9700421977095348
217,test,0.46,20264859,0.004048721045560972,0.9447908897976363
218,test,0.46,20264860,0.022893553144680785,0.9429139972122443
219,test,0.46,20264861,-0.021635169871245384,0.9148284114476928
220,test,0.46,20264862,-0.019485760723829296,0.9094533975029053
221,test,0.46,20264863,0.009808580498057,0.9266773466965603
222,test,0.46,20264864,-0.010298982478790025,0.9170061797888434
223,test,0.46,20264865,-0.005232204786191272,0.9398382523380642
224,test,0.46,20264866,-0.028847935357112706,0.9341196624734357
225,test,0.46,20264867,0.02441577337933481,0.9078874496671061
226,test,0.46,20264868,-0.000820336731389304,0.9162804718226425
227,test,0.46,20264869,0.04912557290560601,0.9437809045050878
228,test,0.46,20264870,-0.0405183260550766,0.921789104592523
229,test,0.46,20264871,0.008797571863581582,0.9366891978035109
230,test,0.46,20264872,0.034967024314886186,0.9188453142702262
231,test,0.46,20264873,-0.01567241728347177,0.9013236978028162
232,test,0.46,20264874,-0.006942362768087493,0.864747679001761
233,test,0.46,20264875,0.039503759990312866,0.9118044284395384
234,test,0.46,20264876,0.06595240945131686,0.9159059397118954
235,test,0.46,20264877,0.013034379778134318,0.9236159117931886
236,test,0.54,20264830,-0.010180317068010732,1.0664990801605025
237,test,0.54,20264831,-0.03616815742629706,1.1095732600122514
238,test,0.54,20264832,-0.047163794465895484,1.0832181327342765
239,test,0.54,20264833,0.013724888329179147,1.079892536125012
240,test,0.54,20264834,0.013210844386625592,1.124397920694896
241,test,0.54,20264835,0.002111373837305283,1.0891025740640203
242,test,0.54,20264836,0.04962200822559735,1.0964161672136856
