collision_id,split,pair_seed,alpha_low,alpha_high,target_gap,rmse_floor,tm_feature_max_abs_difference,fourier_feature_max_abs_difference
256,test,20266846,0.38,0.46,0.08000000000000002,0.04000000000000001,0.0,0.0
257,test,20266846,0.38,0.54,0.16000000000000003,0.08000000000000002,0.0,0.0
258,test,20266846,0.38,0.62,0.24,0.12,0.0,0.0
259,test,20266846,0.46,0.54,0.08000000000000002,0.04000000000000001,0.0,0.0
260,test,20266846,0.46,0.62,0.15999999999999998,0.07999999999999999,0.0,0.0
261,test,20266846,0.54,0.62,0.07999999999999996,0.03999999999999998,0.0,0.0
262,test,20266847,0.38,0.46,0.08000000000000002,0.04000000000000001,0.0,0.0
263,test,20266847,0.38,0.54,0.16000000000000003,0.08000000000000002,0.0,0.0
264,test,20266847,0.38,0.62,0.24,0.12,0.0,0.0
265,test,20266847,0.46,0.54,0.08000000000000002,0.04000000000000001,0.0,0.0
266,test,20266847,0.46,0.62,0.15999999999999998,0.07999999999999999,0.0,0.0
267,test,20266847,0.54,0.62,0.07999999999999996,0.03999999999999998,0.0,0.0
268,test,20266848,0.38,0.46,0.08000000000000002,0.04000000000000001,0.0,0.0
269,test,20266848,0.38,0.54,0.16000000000000003,0.08000000000000002,0.0,0.0
270,test,20266848,0.38,0.62,0.24,0.12,0.0,0.0
271,test,20266848,0.46,0.54,0.08000000000000002,0.04000000000000001,0.0,0.0
272,test,20266848,0.46,0.62,0.15999999999999998,0.07999999999999999,0.0,0.0
273,test,20266848,0.54,0.62,0.07999999999999996,0.03999999999999998,0.0,0.0
274,test,20266849,0.38,0.46,0.08000000000000002,0.04000000000000001,0.0,0.0
275,test,20266849,0.38,0.54,0.16000000000000003,0.08000000000000002,0.0,0.0
276,test,20266849,0.38,0.62,0.24,0.12,0.0,0.0
277,test,20266849,0.46,0.54,0.08000000000000002,0.04000000000000001,0.0,0.0
278,test,20266849,0.46,0.62,0.15999999999999998,0.07999999999999999,0.0,0.0
279,test,20266849,0.54,0.62,0.07999999999999996,0.03999999999999998,0.0,0.0
280,test,20266850,0.38,0.46,0.08000000000000002,0.04000000000000001,0.0,0.0
281,test,20266850,0.38,0.54,0.16000000000000003,0.08000000000000002,0.0,0.0
282,test,20266850,0.38,0.62,0.24,0.12,0.0,0.0
283,test,20266850,0.46,0.54,0.08000000000000002,0.04000000000000001,0.0,0.0
284,test,20266850,0.46,0.62,0.15999999999999998,0.07999999999999999,0.0,0.0
285,test,20266850,0.54,0.62,0.07999999999999996,0.03999999999999998,0.0,0.0
286,test,20266851,0.38,0.46,0.08000000000000002,0.04000000000000001,0.0,0.0
287,test,20266851,0.38,0.54,0.16000000000000003,0.08000000000000002,0.0,0.0
288,test,20266851,0.38,0.62,0.24,0.12,0.0,0.0
289,test,20266851,0.46,0.54,0.08000000000000002,0.04000000000000001,0.0,0.0
290,test,20266851,0.46,0.62,0.15999999999999998,0.07999999999999999,0.0,0.0
291,test,20266851,0.54,0.62,0.07999999999999996,0.03999999999999998,0.0,0.0
292,test,20266852,0.38,0.46,0.08000000000000002,0.04000000000000001,0.0,0.0
293,test,20266852,0.38,0.54,0.16000000000000003,0.08000000000000002,0.0,0.0
294,test,20266852,0.38,0.62,0.24,0.12,0.0,0.0
295,test,20266852,0.46,0.54,0.08000000000000002,0.04000000000000001,0.0,0.0
296,test,20266852,0.46,0.62,0.15999999999999998,0.07999999999999999,0.0,0.0
297,test,20266852,0.54,0.62,0.07999999999999996,0.03999999999999998,0.0,0.0
298,test,20266853,0.38,0.46,0.08000000000000002,0.04000000000000001,0.0,0.0
299,test,20266853,0.38,0.54,0.16000000000000003,0.08000000000000002,0.0,0.0
300,test,20266853,0.38,0.62,0.24,0.12,0.0,0.0
301,test,20266853,0.46,0.54,0.08000000000000002,0.04000000000000001,0.0,0.0
302,test,20266853,0.46,0.62,0.15999999999999998,0.07999999999999999,0.0,0.0
303,test,20266853,0.54,0.62,0.07999999999999996,0.03999999999999998,0.0,0.0
304,test,20266854,0.38,0.46,0.08000000000000002,0.04000000000000001,0.0,0.0
305,test,20266854,0.38,0.54,0.16000000000000003,0.08000000000000002,0.0,0.0
306,test,20266854,0.38,0.62,0.24,0.12,0.0,0.0
307,test,20266854,0.46,0.54,0.08000000000000002,0.04000000000000001,0.0,0.0
308,test,20266854,0.46,0.62,0.15999999999999998,0.07999999999999999,0.0,0.0
309,test,20266854,0.54,0.62,0.07999999999999996,0.03999999999999998,0.0,0.0
310,test,20266855,0.38,0.46,0.08000000000000002,0.04000000000000001,0.0,0.0
311,test,20266855,0.38,0.54,0.16000000000000003,0.08000000000000002,0.0,0.0
312,test,20266855,0.38,0.62,0.24,0.12,0.0,0.0
313,test,20266855,0.46,0.54,0.08000000000000002,0.04000000000000001,0.0,0.0
314,test,20266855,0.46,0.62,0.15999999999999998,0.07999999999999999,0.0,0.0
315,test,20266855,0.54,0.62,0.07999999999999996,0.03999999999999998,0.0,0.0
316,test,20266856,0.38,0.46,0.08000000000000002,0.04000000000000001,0.0,0.0
317,test,20266856,0.38,0.54,0.16000000000000003,0.08000000000000002,0.0,0.0
318,test,20266856,0.38,0.62,0.24,0.12,0.0,0.0
319,test,20266856,0.46,0.54,0.08000000000000002,0.04000000000000001,0.0,0.0
320,test,20266856,0.46,0.62,0.15999999999999998,0.07999999999999999,0.0,0.0
321,test,20266856,0.54,0.62,0.07999999999999996,0.03999999999999998,0.0,0.0
322,test,20266857,0.38,0.46,0.08000000000000002,0.04000000000000001,0.0,0.0
323,test,20266857,0.38,0.54,0.16000000000000003,0.08000000000000002,0.0,0.0
324,test,20266857,0.38,0.62,0.24,0.12,0.0,0.0
325,test,20266857,0.46,0.54,0.08000000000000002,0.04000000000000001,0.0,0.0
326,test,20266857,0.46,0.62,0.15999999999999998,0.07999999999999999,0.0,0.0
327,test,20266857,0.54,0.62,0.07999999999999996,0.03999999999999998,0.0,0.0
328,test,20266858,0.38,0.46,0.08000000000000002,0.04000000000000001,0.0,0.0
329,test,20266858,0.38,0.54,0.16000000000000003,0.08000000000000002,0.0,0.0
330,test,20266858,0.38,0.62,0.24,0.12,0.0,0.0
331,test,20266858,0.46,0.54,0.08000000000000002,0.04000000000000001,0.0,0.0
332,test,20266858,0.46,0.62,0.15999999999999998,0.07999999999999999,0.0,0.0
333,test,20266858,0.54,0.62,0.07999999999999996,0.03999999999999998,0.0,0.0
334,test,20266859,0.38,0.46,0.08000000000000002,0.04000000000000001,0.0,0.0
335,test,20266859,0.38,0.54,0.16000000000000003,0.08000000000000002,0.0,0.0
336,test,20266859,0.38,0.62,0.24,0.12,0.0,0.0
337,test,20266859,0.46,0.54,0.08000000000000002,0.04000000000000001,0.0,0.0
338,test,20266859,0.46,0.62,0.15999999999999998,0.07999999999999999,0.0,0.0
339,test,20266859,0.54,0.62,0.07999999999999996,0.03999999999999998,0.0,0.0
340,test,20266860,0.38,0.46,0.08000000000000002,0.04000000000000001,0.0,0.0
341,test,20266860,0.38,0.54,0.16000000000000003,0.08000000000000002,0.0,0.0
342,test,20266860,0.38,0.62,0.24,0.12,0.0,0.0
343,test,20266860,0.46,0.54,0.08000000000000002,0.04000000000000001,0.0,0.0
344,test,20266860,0.46,0.62,0.15999999999999998,0.07999999999999999,0.0,0.0
345,test,20266860,0.54,0.62,0.07999999999999996,0.03999999999999998,0.0,0.0
346,test,20266861,0.38,0.46,0.08000000000000002,0.04000000000000001,0.0,0.0
347,test,20266861,0.38,0.54,0.16000000000000003,0.08000000000000002,0.0,0.0
348,test,20266861,0.38,0.62,0.24,0.12,0.0,0.0
349,test,20266861,0.46,0.54,0.08000000000000002,0.04000000000000001,0.0,0.0
350,test,20266861,0.46,0.62,0.15999999999999998,0.07999999999999999,0.0,0.0
351,test,20266861,0.54,0.62,0.07999999999999996,0.03999999999999998,0.0,0.0
