pair_seed,model,row_count,ordered_rmse,permutation_invariant_rmse
20266841,direct_fourier_full_rank,12,0.007377036323314318,0.007377036323314318
20266841,direct_tm_rank_one,12,0.07351185099606843,0.07351185099606843
20266841,direct_fourier_rank_one,12,0.07339653776501849,0.07339653776501848
20266842,oracle_tm_full_rank,12,0.0018144059969974608,0.0018144059969974606
20266842,oracle_fourier_full_rank,12,0.0030213448137034883,0.0030213448137034883
20266842,direct_tm_full_rank,12,0.008994456297013242,0.008994456297013242
20266842,direct_fourier_full_rank,12,0.009823301886771893,0.009823301886771893
20266842,direct_tm_rank_one,12,0.07329593959176717,0.07329593959176717
20266842,direct_fourier_rank_one,12,0.07352813350129046,0.07352813350129048
20266843,oracle_tm_full_rank,12,0.0012892072477945432,0.001289207247794543
20266843,oracle_fourier_full_rank,12,0.0038141154954975643,0.003814115495497565
20266843,direct_tm_full_rank,12,0.010117557757483478,0.010117557757483478
20266843,direct_fourier_full_rank,12,0.011633608253041092,0.011633608253041093
20266843,direct_tm_rank_one,12,0.07392411666535423,0.07392411666535423
20266843,direct_fourier_rank_one,12,0.07405191412807205,0.07405191412807205
20266844,oracle_tm_full_rank,12,0.002372928778994157,0.002372928778994157
20266844,oracle_fourier_full_rank,12,0.0033637544243492424,0.0033637544243492424
20266844,direct_tm_full_rank,12,0.009046326254877125,0.009046326254877127
