distribution,node_count,initialization,coupling_strength,seed_count,finite_seed_count,mean_tm_order,std_tm_order,mean_q05_tm_order,median_sync_residual,synchronization_success_rate
uniform_positive,256,global,0.45,10,10,0.8631133757724585,0.03178464955854391,0.17283355463273886,0.0009014664425364696,0.0
uniform_positive,256,global,0.475,10,10,0.9247864655623348,0.0595782647132294,0.5192089309872168,2.027201686866514e-06,0.4
uniform_positive,256,global,0.5,10,10,0.9854141720798231,0.030851585720731038,0.8867153792937497,0.0,0.9
uniform_positive,256,global,0.525,10,10,1.0,0.0,0.9999999999999998,0.0,1.0
uniform_positive,256,global,0.55,10,10,1.0,0.0,0.9999999999999998,0.0,1.0
uniform_positive,256,global,0.575,10,10,1.0,0.0,0.9999999999999998,0.0,1.0
uniform_positive,256,global,0.6,10,10,1.0,0.0,0.9999999999999998,0.0,1.0
uniform_positive,256,local,0.0,10,10,0.04229356280437169,0.0009491590154707912,0.010337883321701683,0.3657841229860863,0.0
uniform_positive,256,local,0.4,10,10,0.7373058288124558,0.04652170523280235,0.07581833954878632,0.019089959196916674,0.0
uniform_positive,256,local,0.425,10,10,0.7871979273278477,0.05931074224469939,0.10158818973187725,0.009790470607142688,0.0
uniform_positive,256,local,0.45,10,10,0.8586638585137791,0.044651048327448976,0.18359127600234984,0.002721699539467203,0.0
uniform_positive,256,local,0.475,10,10,0.928663243711618,0.0735982837933327,0.5826822482296689,2.047411855472695e-05,0.6
uniform_positive,256,local,0.5,10,10,0.9787611783786183,0.03731045155152711,0.8549763338238499,4.3232998944759985e-12,0.8
uniform_positive,256,local,0.525,10,10,0.9999999999999506,1.5584595083659585e-13,0.9999999999999998,0.0,1.0
uniform_positive,256,local,0.55,10,10,1.0,0.0,0.9999999999999998,0.0,1.0
uniform_positive,256,local,0.575,10,10,1.0,0.0,0.9999999999999998,0.0,1.0
uniform_positive,256,local,0.6,10,10,1.0,0.0,0.9999999999999998,0.0,1.0
uniform_positive,512,global,0.0,10,10,0.029730651886460784,0.0008535988103040389,0.006875229192461671,0.36570252488111754,0.0
uniform_positive,512,global,0.4,10,10,0.738488944834647,0.06660191345654842,0.07483704477273143,0.022987383113412876,0.0
uniform_positive,512,global,0.425,10,10,0.8608889011983871,0.04140432668675956,0.16407371737408366,0.0010801156142423197,0.0
uniform_positive,512,global,0.45,10,10,0.8605602842622148,0.052341868443666624,0.21658754711018732,0.0013714481626091104,0.1
uniform_positive,512,global,0.475,10,10,0.897737169596382,0.06671326875543185,0.36562076743666366,0.00018663100985464966,0.3
uniform_positive,512,global,0.5,10,10,0.9921258192362645,0.0174251680881095,0.9511953753841402,0.0,1.0
uniform_positive,512,global,0.525,10,10,1.0,0.0,0.9999999999999998,0.0,1.0
uniform_positive,512,global,0.55,10,10,1.0,0.0,0.9999999999999998,0.0,1.0
uniform_positive,512,global,0.575,10,10,1.0,0.0,0.9999999999999998,0.0,1.0
uniform_positive,512,global,0.6,10,10,1.0,0.0,0.9999999999999998,0.0,1.0
uniform_positive,512,local,0.0,10,10,0.029829894422863074,0.0005336130972322473,0.007124366041835681,0.3655052500909012,0.0
uniform_positive,512,local,0.4,10,10,0.7623673516498914,0.04616862299933467,0.07569331112948706,0.01296409497714813,0.0
uniform_positive,512,local,0.425,10,10,0.797427039867222,0.05548767951061377,0.10800205333341036,0.012109025282752742,0.0
uniform_positive,512,local,0.45,10,10,0.8804840821170601,0.03680946025736038,0.2259422528560917,0.0008485172185195781,0.0
uniform_positive,512,local,0.475,10,10,0.9749989163481578,0.03325079900087965,0.7977503438659183,6.0011160020547674e-12,0.8
uniform_positive,512,local,0.5,10,10,0.9948606607829202,0.013418600126041437,0.9671088650508299,0.0,1.0
uniform_positive,512,local,0.525,10,10,0.9999999986377188,4.3079111214648425e-09,0.9999999999997187,0.0,1.0
uniform_positive,512,local,0.55,10,10,1.0,0.0,0.9999999999999998,0.0,1.0
uniform_positive,512,local,0.575,10,10,1.0,0.0,0.9999999999999998,0.0,1.0
uniform_positive,512,local,0.6,10,10,1.0,0.0,0.9999999999999998,0.0,1.0
