distribution,node_count,matrix_seed,initialization,coupling_strength,sample_absolute_mean,sample_signed_mean,row_mean_std,mean_tm_order,q05_tm_order,mean_phase_mad,median_sync_residual,median_adaptive_scale,max_tm_modulus_error,local_initial_growth_rate,near_zero_rate,nonfinite_event_rate,finite_completed,first_nonfinite_step,synchronized
uniform_positive,64,20260911,global,0.4,1.0,1.0,0.0,0.8052264211779023,0.12589236904624848,0.2643282042191954,0.010614747256769363,0.7734649542791812,4.440892098500626e-16,nan,0.0,0.0,True,-1,False
uniform_positive,64,20260911,global,0.425,1.0,1.0,0.0,0.8393025000747312,0.1370479539079582,0.21860151098537517,0.004022905651171903,0.8614017086613004,4.440892098500626e-16,nan,0.0,0.0,True,-1,False
uniform_positive,64,20260911,global,0.45,1.0,1.0,0.0,0.9335967452456846,0.32618961894409876,0.09168950194790916,0.00010006841557021842,1.008638472568196,4.440892098500626e-16,nan,0.0,0.0,True,-1,False
uniform_positive,64,20260911,global,0.475,1.0,1.0,0.0,0.9269715890760762,0.3811338963245969,0.10122213805878642,3.8792682123461597e-07,0.9564322813184934,4.440892098500626e-16,nan,0.0,0.0,True,-1,False
uniform_positive,64,20260911,global,0.5,1.0,1.0,0.0,1.0,0.9999999999999999,0.0,0.0,1.0775778430562606,1.1102230246251565e-16,nan,0.0,0.0,True,-1,True
uniform_positive,64,20260911,global,0.525,1.0,1.0,0.0,1.0,0.9999999999999999,0.0,0.0,1.0679373683393654,1.1102230246251565e-16,nan,0.0,0.0,True,-1,True
uniform_positive,64,20260911,global,0.55,1.0,1.0,0.0,1.0,0.9999999999999999,0.0,0.0,1.108707567701508,1.1102230246251565e-16,nan,0.0,0.0,True,-1,True
uniform_positive,64,20260911,global,0.575,1.0,1.0,0.0,1.0,0.9999999999999999,0.0,0.0,1.0872697968684424,1.1102230246251565e-16,nan,0.0,0.0,True,-1,True
uniform_positive,64,20260911,global,0.6,1.0,1.0,0.0,1.0,0.9999999999999999,0.0,0.0,1.5490884558868927,1.1102230246251565e-16,nan,0.0,0.0,True,-1,True
uniform_positive,64,20260911,local,0.0,1.0,1.0,0.0,0.08246646276584717,0.018054581467644333,1.4114891226131099,0.36405339164847994,0.5732597471664773,4.440892098500626e-16,0.5622799188641978,0.0,0.0,True,-1,False
uniform_positive,64,20260911,local,0.4,1.0,1.0,0.0,0.8310331853502683,0.14603260603081744,0.23222794065816152,0.003261710784311078,0.8619966565604582,4.440892098500626e-16,0.24244210579290845,0.0,0.0,True,-1,False
uniform_positive,64,20260911,local,0.425,1.0,1.0,0.0,0.783328068085915,0.12074780936124818,0.2892123462943208,0.020763434038534284,0.7717466585063142,4.440892098500626e-16,-0.08260414970458559,0.0,0.0,True,-1,False
uniform_positive,64,20260911,local,0.45,1.0,1.0,0.0,0.8871066353419654,0.2101866990060512,0.15386183242558632,0.00022805884421814133,0.8536925669100071,4.440892098500626e-16,-0.288143901922412,0.0,0.0,True,-1,False
uniform_positive,64,20260911,local,0.475,1.0,1.0,0.0,0.9953932662933331,0.9695539869438458,0.0,0.0,0.9042402755152474,3.3306690738754696e-16,0.3444256913921656,0.0,0.0,True,-1,True
uniform_positive,64,20260911,local,0.5,1.0,1.0,0.0,1.0,0.9999999999999999,0.0,0.0,1.0926085443070295,1.1102230246251565e-16,-0.2524807806360063,0.0,0.0,True,-1,True
uniform_positive,64,20260911,local,0.525,1.0,1.0,0.0,1.0,0.9999999999999999,0.0,0.0,1.0550471479516192,1.1102230246251565e-16,0.23863749949247853,0.0,0.0,True,-1,True
uniform_positive,64,20260911,local,0.55,1.0,1.0,0.0,1.0,0.9999999999999999,0.0,0.0,1.1790192490046398,1.1102230246251565e-16,0.3327546207545537,0.0,0.0,True,-1,True
uniform_positive,64,20260911,local,0.575,1.0,1.0,0.0,1.0,0.9999999999999999,0.0,0.0,1.2423387721161485,1.1102230246251565e-16,0.0604868832809757,0.0,0.0,True,-1,True
uniform_positive,64,20260911,local,0.6,1.0,1.0,0.0,1.0,0.9999999999999999,0.0,0.0,1.3313081770873962,1.1102230246251565e-16,-0.03525029134045816,0.0,0.0,True,-1,True
uniform_positive,64,20260912,global,0.0,1.0,1.0,0.0,0.08188322821429335,0.016812516856565794,1.4115326820036678,0.36559088355296276,0.5808971562862254,4.440892098500626e-16,nan,0.0,0.0,True,-1,False
uniform_positive,64,20260912,global,0.4,1.0,1.0,0.0,0.8332168678194071,0.12591230169565612,0.22622219797819038,0.006245200634799256,0.8125123349864236,4.440892098500626e-16,nan,0.0,0.0,True,-1,False
uniform_positive,64,20260912,global,0.425,1.0,1.0,0.0,0.8101033253461575,0.1580754244296709,0.259976818774136,0.005891075705859034,0.7809672374206589,4.440892098500626e-16,nan,0.0,0.0,True,-1,False
uniform_positive,64,20260912,global,0.45,1.0,1.0,0.0,0.8289906831056073,0.14345150165374684,0.2355102360706792,0.0014596633447336127,0.7537495259630476,4.440892098500626e-16,nan,0.0,0.0,True,-1,False
uniform_positive,64,20260912,global,0.475,1.0,1.0,0.0,0.9614701962306443,0.7701058662524946,0.051014075357897384,7.745581657587946e-08,0.9414735015469793,4.440892098500626e-16,nan,0.0,0.0,True,-1,True
uniform_positive,64,20260912,global,0.5,1.0,1.0,0.0,1.0,0.9999999999999999,0.0,0.0,1.0313706496107562,1.1102230246251565e-16,nan,0.0,0.0,True,-1,True
uniform_positive,64,20260912,global,0.525,1.0,1.0,0.0,1.0,0.9999999999999999,0.0,0.0,1.128170758984271,1.1102230246251565e-16,nan,0.0,0.0,True,-1,True
uniform_positive,64,20260912,global,0.55,1.0,1.0,0.0,1.0,0.9999999999999999,0.0,0.0,1.186122934862686,1.1102230246251565e-16,nan,0.0,0.0,True,-1,True
uniform_positive,64,20260912,global,0.575,1.0,1.0,0.0,1.0,0.9999999999999999,0.0,0.0,1.0977393638528097,1.1102230246251565e-16,nan,0.0,0.0,True,-1,True
uniform_positive,64,20260912,global,0.6,1.0,1.0,0.0,1.0,0.9999999999999999,0.0,0.0,1.3077538906381787,1.1102230246251565e-16,nan,0.0,0.0,True,-1,True
uniform_positive,64,20260912,local,0.0,1.0,1.0,0.0,0.08693245033047606,0.021961870117290484,1.4023983463585123,0.36281726980053375,0.5773322440931101,4.440892098500626e-16,0.6599070885625706,0.0,0.0,True,-1,False
uniform_positive,64,20260912,local,0.4,1.0,1.0,0.0,0.6952940338804631,0.08289935086208089,0.43296784781105047,0.04634074438327902,0.7064439707785523,4.440892098500626e-16,0.25160024871221004,0.0,0.0,True,-1,False
uniform_positive,64,20260912,local,0.425,1.0,1.0,0.0,0.839182825874656,0.11871982214920661,0.21937847651066839,0.004309347450135646,0.8255940988731798,4.440892098500626e-16,0.3260038401391963,0.0,0.0,True,-1,False
uniform_positive,64,20260912,local,0.45,1.0,1.0,0.0,0.8134599810678196,0.11534904724393315,0.26152556993537196,0.0020315893824891604,0.7909250269440709,4.440892098500626e-16,-0.1759337543747654,0.0,0.0,True,-1,False
uniform_positive,64,20260912,local,0.475,1.0,1.0,0.0,0.9756233610530685,0.8783398109148851,0.03153348983118726,6.533278414118298e-08,0.9600206999320895,4.440892098500626e-16,-0.035786577621303654,0.0,0.0,True,-1,True
uniform_positive,64,20260912,local,0.5,1.0,1.0,0.0,1.0,0.9999999999999999,0.0,0.0,0.9039054746017394,1.1102230246251565e-16,-0.06065971590515955,0.0,0.0,True,-1,True
uniform_positive,64,20260912,local,0.525,1.0,1.0,0.0,1.0,0.9999999999999999,0.0,0.0,1.1462194092882139,1.1102230246251565e-16,-0.25655898372150876,0.0,0.0,True,-1,True
uniform_positive,64,20260912,local,0.55,1.0,1.0,0.0,1.0,0.9999999999999999,0.0,0.0,1.0720725908701518,1.1102230246251565e-16,0.15084338753365806,0.0,0.0,True,-1,True
uniform_positive,64,20260912,local,0.575,1.0,1.0,0.0,1.0,0.9999999999999999,0.0,0.0,1.1378251469686944,1.1102230246251565e-16,0.1328009485547588,0.0,0.0,True,-1,True
uniform_positive,64,20260912,local,0.6,1.0,1.0,0.0,1.0,0.9999999999999999,0.0,0.0,1.3206186664065198,1.1102230246251565e-16,-0.21062540315224668,0.0,0.0,True,-1,True
uniform_positive,64,20260913,global,0.0,1.0,1.0,0.0,0.08100682431560918,0.01918437945190115,1.4152771870875753,0.3630131523972507,0.5786427368353834,4.440892098500626e-16,nan,0.0,0.0,True,-1,False
