beta,coupling_form,coupling,lambda_parallel,lambda_perp_local,local_stable,basin_success_rate,divergence_rate,median_final_error,p90_final_error
1.2,state_diffusive,0.1,1.184530157737603,1.076356542407918,False,0.0,0.0,74.03681419221492,410.3908580512831
1.2,state_diffusive,0.15000000000000002,1.184530157737603,1.0156823377952369,False,0.0,0.0,75.43562191333638,366.82799314192454
1.2,state_diffusive,0.2,1.184530157737603,0.9494645020138558,False,0.0,0.0,80.97011588115413,626.0232148443549
1.2,state_diffusive,0.25,1.184530157737603,0.8764638781077432,False,0.0,0.0,89.30636341799863,805.9600924098846
1.2,state_diffusive,0.30000000000000004,1.184530157737603,0.7949445152499728,False,0.0,0.0,91.05676806873029,589.7710064251476
1.2,state_diffusive,0.35000000000000003,1.184530157737603,0.702353254662546,False,0.0,0.0,94.11526265203466,690.5827896198607
1.2,state_diffusive,0.4,1.184530157737603,0.5946791901816728,False,0.00390625,0.0,100.55265413311942,539.5482877889667
1.2,state_diffusive,0.45,1.184530157737603,0.4649940058965949,False,0.02734375,0.0,88.82751468468365,593.1303515162638
1.2,state_diffusive,0.5,1.184530157737603,0.29938631826834133,False,0.00390625,0.0,654.6827161873982,3756.8215836265063
1.2,state_diffusive,0.55,1.184530157737603,0.060647620491664986,False,0.02734375,0.97265625,0.0,0.0
1.2,state_diffusive,0.6000000000000001,1.184530157737603,-0.6738495123926166,True,0.05859375,0.94140625,0.0,0.0
1.2,state_diffusive,0.65,1.184530157737603,-0.49046054690147584,True,0.0703125,0.9296875,0.0,0.0
1.2,state_diffusive,0.7000000000000001,1.184530157737603,-0.34344294153750193,True,0.078125,0.921875,0.0,0.0
1.2,state_diffusive,0.75,1.184530157737603,-0.21136250345225507,True,0.04296875,0.95703125,0.0,0.0
1.2,state_diffusive,0.8,1.184530157737603,-0.09242328704448034,True,0.03515625,0.96484375,0.0,0.0
1.2,state_diffusive,0.8500000000000001,1.184530157737603,0.010574049565999813,False,0.0234375,0.9765625,0.0,0.0
1.2,state_diffusive,0.9,1.184530157737603,0.1017205581064052,False,0.0078125,0.9921875,0.0,0.0
1.2,state_diffusive,0.9500000000000001,1.184530157737603,0.1901716240732118,False,0.0,1.0,0.0,0.0
1.2,state_diffusive,1.0,1.184530157737603,0.2695404255989907,False,0.0,1.0,0.0,0.0
1.3,output_cross,0.0,1.3709468261828823,1.3709468261828823,False,0.0,0.0,67.92106676184504,396.30469486002085
1.3,output_cross,0.025,1.3709468261828823,1.319653531795332,False,0.0,0.0,62.36569032739055,349.9691751199356
1.3,output_cross,0.05,1.3709468261828823,1.2655863105250562,False,0.0,0.0,63.97769554119684,457.0125902551586
1.3,output_cross,0.07500000000000001,1.3709468261828823,1.2084278966851079,False,0.0,0.0,67.39286598483505,460.41652269760664
1.3,output_cross,0.1,1.3709468261828823,1.1478032748686728,False,0.0,0.0,59.66014858188006,368.67300303585023
1.3,output_cross,0.125,1.3709468261828823,1.0832647537311015,False,0.0,0.0,46.8464347995228,390.7038509051903
1.3,output_cross,0.15000000000000002,1.3709468261828823,1.01427188224415,False,0.0,0.0,44.916331581755074,238.41556199038706
1.3,output_cross,0.17500000000000002,1.3709468261828823,0.9401639100904282,False,0.0,0.0,42.974780781817884,286.4942207862672
1.3,output_cross,0.2,1.3709468261828823,0.8601212024168919,False,0.0,0.0,38.94432500564079,189.16168769227596
1.3,output_cross,0.225,1.3709468261828823,0.7731098254272621,False,0.0,0.0,48.65931594336713,294.4022646659814
1.3,output_cross,0.25,1.3709468261828823,0.6777996456229373,False,0.0,0.0,31.434560147585973,168.86668445015067
1.3,output_cross,0.275,1.3709468261828823,0.5724391299651108,False,0.0,0.0,27.75935744464907,162.037300733768
1.3,output_cross,0.30000000000000004,1.3709468261828823,0.45465609430872717,False,0.0,0.0,24.824853695621705,166.06687029562386
1.3,output_cross,0.325,1.3709468261828823,0.32112470168420476,False,0.00390625,0.0,16.939406021945373,151.65845862643383
1.3,output_cross,0.35000000000000003,1.3709468261828823,0.16697402185694635,False,0.16796875,0.0,3.7768764367995797,60.94976724593571
1.3,output_cross,0.375,1.3709468261828823,-0.015347534937008061,True,0.7421875,0.0,0.0,4.338819516520882
1.3,output_cross,0.4,1.3709468261828823,-0.23849108625121804,True,0.9921875,0.0,0.0,0.0
1.3,output_cross,0.42500000000000004,1.3709468261828823,-0.5261731587029993,True,1.0,0.0,0.0,0.0
1.3,output_cross,0.45,1.3709468261828823,-0.9316382668111634,True,1.0,0.0,0.0,0.0
1.3,output_cross,0.47500000000000003,1.3709468261828823,-1.6247854473711096,True,1.0,0.0,0.0,0.0
1.3,output_cross,0.5,1.3709468261828823,-inf,True,1.0,0.0,0.0,0.0
1.3,state_diffusive,0.0,1.3709468261828823,1.3709468261828823,False,0.0,0.0,67.92106676184504,396.30469486002085
1.3,state_diffusive,0.05,1.3709468261828823,1.3253942279099087,False,0.0,0.0,73.46226708006145,653.0919827890568
1.3,state_diffusive,0.1,1.3709468261828823,1.2767688589649258,False,0.0,0.0,85.17838668879767,480.28146316397317
1.3,state_diffusive,0.15000000000000002,1.3709468261828823,1.2245790751970276,False,0.0,0.0,86.69793630743277,429.48469675155434
1.3,state_diffusive,0.2,1.3709468261828823,1.1681978566525864,False,0.0,0.0,81.53476504692742,640.9643553701598
1.3,state_diffusive,0.25,1.3709468261828823,1.1068060377839721,False,0.0,0.0,85.2348830285909,581.7073308961694
1.3,state_diffusive,0.30000000000000004,1.3709468261828823,1.0393013293677618,False,0.0,0.0,88.11834974129691,533.7379408580845
1.3,state_diffusive,0.35000000000000003,1.3709468261828823,0.964144302747798,False,0.0,0.0,93.40195676264304,769.9010724334421
1.3,state_diffusive,0.4,1.3709468261828823,0.8790787496021792,False,0.0,0.0,93.5303269249136,542.5396806104146
1.3,state_diffusive,0.45,1.3709468261828823,0.7805744913486906,False,0.0,0.0,108.77719603038459,799.726592823743
1.3,state_diffusive,0.5,1.3709468261828823,0.662562438665893,False,0.0,0.0,846.797645434508,3419.2510865846302
1.3,state_diffusive,0.55,1.3709468261828823,0.5129270892196686,False,0.0,1.0,0.0,0.0
1.3,state_diffusive,0.6000000000000001,1.3709468261828823,0.2995134477035514,False,0.00390625,0.99609375,0.0,0.0
1.3,state_diffusive,0.65,1.3709468261828823,-0.3375295319388113,True,0.0234375,0.9765625,0.0,0.0
