beta,coupling_form,coupling,lambda_perp_local
1.3,output_cross,0.17500000000000002,0.9401639100904282
1.3,output_cross,0.2,0.8601212024168919
1.3,output_cross,0.225,0.7731098254272621
1.3,output_cross,0.25,0.6777996456229373
1.3,output_cross,0.275,0.5724391299651108
1.3,output_cross,0.30000000000000004,0.45465609430872717
1.3,output_cross,0.325,0.32112470168420476
1.3,output_cross,0.35000000000000003,0.16697402185694635
1.3,output_cross,0.375,-0.015347534937008061
1.3,output_cross,0.4,-0.23849108625121804
1.3,output_cross,0.42500000000000004,-0.5261731587029993
1.3,output_cross,0.45,-0.9316382668111634
1.3,output_cross,0.47500000000000003,-1.6247854473711096
1.3,output_cross,0.5,-inf
1.3,state_diffusive,0.0,1.3709468261828823
1.3,state_diffusive,0.05,1.3253942279099087
1.3,state_diffusive,0.1,1.2767688589649258
1.3,state_diffusive,0.15000000000000002,1.2245790751970276
1.3,state_diffusive,0.2,1.1681978566525864
1.3,state_diffusive,0.25,1.1068060377839721
1.3,state_diffusive,0.30000000000000004,1.0393013293677618
1.3,state_diffusive,0.35000000000000003,0.964144302747798
1.3,state_diffusive,0.4,0.8790787496021792
1.3,state_diffusive,0.45,0.7805744913486906
1.3,state_diffusive,0.5,0.662562438665893
1.3,state_diffusive,0.55,0.5129270892196686
1.3,state_diffusive,0.6000000000000001,0.2995134477035514
1.3,state_diffusive,0.65,-0.3375295319388113
1.3,state_diffusive,0.7000000000000001,-0.20646225063625626
1.3,state_diffusive,0.75,-0.09352475365718842
1.3,state_diffusive,0.8,0.013302594429567714
1.3,state_diffusive,0.8500000000000001,0.1051435350185838
1.3,state_diffusive,0.9,0.19492388123310642
1.3,state_diffusive,0.9500000000000001,0.2730836786032935
1.3,state_diffusive,1.0,0.34862926189479465
