case,window,method,budget,terms,actual_bytes,under_budget,qr_prequant_mse,decoded_mse,codec_roundtrip
b1.01_float64,11,fourier_low,144,16,144,True,0.3174115953001959,0.31741159530019636,True
b1.01_float64,11,adaptive_tm,48,3,43,True,0.6077881599816053,0.6077881599816055,True
b1.01_float64,11,adaptive_tm,80,7,79,True,0.54542043230196,0.5454204323019602,True
b1.01_float64,11,adaptive_tm,144,14,142,True,0.5248009089109761,0.5248009089109764,True
b1.01_float64,11,fixed_tm_a0,diagnostic_m,2,,,0.6478373916486995,0.6478373916486995,
b1.01_float64,11,adaptive_tm,diagnostic_m,2,,,0.6432246425384232,0.6432246425384232,
b1.01_float64,11,fixed_tm_a0,diagnostic_m,4,,,0.6357647679901042,0.6357647679901042,
b1.01_float64,11,adaptive_tm,diagnostic_m,4,,,0.5933860551590905,0.5933860551590905,
b1.01_float64,11,fixed_tm_a0,diagnostic_m,8,,,0.6120129766996043,0.6120129766996043,
b1.01_float64,11,adaptive_tm,diagnostic_m,8,,,0.5411667080939229,0.5411667080939229,
b1.1_float64,0,fixed_tm_a0,48,4,48,True,0.8429337397726799,0.8429337397726799,True
b1.1_float64,0,fixed_tm_a0,80,8,80,True,0.7481079220766687,0.7481079220766688,True
b1.1_float64,0,fixed_tm_a0,144,16,144,True,0.6651045387775365,0.6651045387775368,True
b1.1_float64,0,fourier_low,48,4,48,True,0.8381182145341767,0.838118214534177,True
b1.1_float64,0,fourier_low,80,8,80,True,0.6906201847563118,0.690620184756312,True
b1.1_float64,0,fourier_low,144,16,144,True,0.5422350501782615,0.5422350501782618,True
b1.1_float64,0,adaptive_tm,48,3,43,True,0.7745046438321199,0.7745046438321199,True
b1.1_float64,0,adaptive_tm,80,7,79,True,0.7030473560537134,0.7030473560537136,True
b1.1_float64,0,adaptive_tm,144,14,142,True,0.6585265347712623,0.6585265347712626,True
b1.1_float64,0,fixed_tm_a0,diagnostic_m,2,,,0.8738095901270626,0.8738095901270626,
b1.1_float64,0,adaptive_tm,diagnostic_m,2,,,0.8188488602225117,0.8188488602225117,
b1.1_float64,0,fixed_tm_a0,diagnostic_m,4,,,0.8429337397726799,0.8429337397726799,
b1.1_float64,0,adaptive_tm,diagnostic_m,4,,,0.7502049397517011,0.7502049397517011,
b1.1_float64,0,fixed_tm_a0,diagnostic_m,8,,,0.7481079220766687,0.7481079220766687,
b1.1_float64,0,adaptive_tm,diagnostic_m,8,,,0.6945006542572769,0.6945006542572769,
b1.1_float64,1,fixed_tm_a0,48,4,48,True,0.816284005546255,0.816284005546255,True
b1.1_float64,1,fixed_tm_a0,80,8,80,True,0.7392331742629172,0.7392331742629172,True
b1.1_float64,1,fixed_tm_a0,144,16,144,True,0.6446395885848777,0.6446395885848779,True
b1.1_float64,1,fourier_low,48,4,48,True,0.7962302489153656,0.7962302489153656,True
b1.1_float64,1,fourier_low,80,8,80,True,0.7389738365348152,0.7389738365348153,True
b1.1_float64,1,fourier_low,144,16,144,True,0.5326861486342198,0.5326861486342203,True
b1.1_float64,1,adaptive_tm,48,3,43,True,0.806346189829141,0.8063461898291411,True
b1.1_float64,1,adaptive_tm,80,7,79,True,0.705317008348964,0.7053170083489643,True
b1.1_float64,1,adaptive_tm,144,14,142,True,0.6476829638342528,0.6476829638342532,True
b1.1_float64,1,fixed_tm_a0,diagnostic_m,2,,,0.8812033002299867,0.8812033002299867,
b1.1_float64,1,adaptive_tm,diagnostic_m,2,,,0.8381000486443433,0.8381000486443433,
b1.1_float64,1,fixed_tm_a0,diagnostic_m,4,,,0.816284005546255,0.816284005546255,
b1.1_float64,1,adaptive_tm,diagnostic_m,4,,,0.7703145832771907,0.7703145832771907,
b1.1_float64,1,fixed_tm_a0,diagnostic_m,8,,,0.7392331742629172,0.7392331742629172,
b1.1_float64,1,adaptive_tm,diagnostic_m,8,,,0.6916659897251534,0.6916659897251534,
b1.1_float64,2,fixed_tm_a0,48,4,48,True,0.8025448203863781,0.8025448203863783,True
b1.1_float64,2,fixed_tm_a0,80,8,80,True,0.711644194840038,0.7116441948400383,True
b1.1_float64,2,fixed_tm_a0,144,16,144,True,0.6433401513450534,0.6433401513450535,True
b1.1_float64,2,fourier_low,48,4,48,True,0.7358409253120213,0.7358409253120215,True
b1.1_float64,2,fourier_low,80,8,80,True,0.5779129016615572,0.5779129016615576,True
b1.1_float64,2,fourier_low,144,16,144,True,0.4427443062738162,0.4427443062738166,True
b1.1_float64,2,adaptive_tm,48,3,43,True,0.7428331310064062,0.7428331310064064,True
