key,initial_key,suite,beta,gamma,kappa_c,delta,kappa,lambda_perp,eta,horizon,pairs,invalid,confirmed_rate,confirmed_ci_low,confirmed_ci_high,unconfirmed_rate,ever_entered_rate,releave_given_entered,median_candidate_time,median_tail_dwell
main_0_6,main_0,main,1.2,0.6585696604057538,0.3485318486896931,0.02,0.36853184868969313,-0.14161075355048736,1e-06,7500,1024,0,1.0,0.9962625959599825,1.0000000000000002,0.0,1.0,0.4169921875,103.0,7398.0
main_0_6,main_0,main,1.2,0.6585696604057538,0.3485318486896931,0.02,0.36853184868969313,-0.14161075355048736,1e-06,15000,1024,0,1.0,0.9962625959599825,1.0000000000000002,0.0,1.0,0.4169921875,103.0,14898.0
main_0_6,main_0,main,1.2,0.6585696604057538,0.3485318486896931,0.02,0.36853184868969313,-0.14161075355048736,1e-06,30000,1024,0,1.0,0.9962625959599825,1.0000000000000002,0.0,1.0,0.4169921875,103.0,29898.0
main_0_7,main_0,main,1.2,0.6585696604057538,0.3485318486896931,0.05,0.3985318486896931,-0.4006304114268753,1e-06,7500,1024,0,1.0,0.9962625959599825,1.0000000000000002,0.0,1.0,0.0947265625,28.0,7473.0
main_0_7,main_0,main,1.2,0.6585696604057538,0.3485318486896931,0.05,0.3985318486896931,-0.4006304114268753,1e-06,15000,1024,0,1.0,0.9962625959599825,1.0000000000000002,0.0,1.0,0.0947265625,28.0,14973.0
main_0_7,main_0,main,1.2,0.6585696604057538,0.3485318486896931,0.05,0.3985318486896931,-0.4006304114268753,1e-06,30000,1024,0,1.0,0.9962625959599825,1.0000000000000002,0.0,1.0,0.0947265625,28.0,29973.0
main_1_0,main_1,main,1.05,0.370705732569928,0.2465500282849996,0.002,0.2485500282849996,-0.00792240318803572,1e-06,7500,512,0,0.845703125,0.8118496353612644,0.8744077290803361,0.154296875,1.0,0.91796875,2934.5,4566.5
main_1_0,main_1,main,1.05,0.370705732569928,0.2465500282849996,0.002,0.2485500282849996,-0.00792240318803572,1e-06,15000,512,0,0.91796875,0.8909718133445638,0.938740480387089,0.08203125,1.0,0.935546875,5714.5,9286.5
main_1_0,main_1,main,1.05,0.370705732569928,0.2465500282849996,0.002,0.2485500282849996,-0.00792240318803572,1e-06,30000,512,0,0.947265625,0.9243620032866211,0.963507694211269,0.052734375,1.0,0.947265625,9238.5,20762.5
main_1_1,main_1,main,1.05,0.370705732569928,0.2465500282849996,0.005,0.2515500282849996,-0.019924949115952217,1e-06,7500,512,0,0.935546875,0.9108659024588599,0.9537408335325352,0.064453125,1.0,0.873046875,1943.5,5557.5
main_1_1,main_1,main,1.05,0.370705732569928,0.2465500282849996,0.005,0.2515500282849996,-0.019924949115952217,1e-06,15000,512,0,0.95703125,0.9358001975831783,0.9714553011701242,0.04296875,1.0,0.890625,2903.5,12097.5
main_1_1,main_1,main,1.05,0.370705732569928,0.2465500282849996,0.005,0.2515500282849996,-0.019924949115952217,1e-06,30000,512,0,0.98046875,0.9644243436209257,0.9893570781453667,0.01953125,1.0,0.8984375,3615.0,26386.0
main_1_2,main_1,main,1.05,0.370705732569928,0.2465500282849996,0.01,0.2565500282849996,-0.04025498687374918,1e-06,7500,512,0,0.974609375,0.9570473392668004,0.9851026017462445,0.025390625,1.0,0.783203125,881.0,6620.0
main_1_2,main_1,main,1.05,0.370705732569928,0.2465500282849996,0.01,0.2565500282849996,-0.04025498687374918,1e-06,15000,512,0,0.98828125,0.9746716344674621,0.9946184283031602,0.01171875,1.0,0.7890625,994.0,14007.0
main_1_2,main_1,main,1.05,0.370705732569928,0.2465500282849996,0.01,0.2565500282849996,-0.04025498687374918,1e-06,30000,512,0,1.0,0.9925530242771171,0.9999999999999999,0.0,1.0,0.7890625,994.0,29007.0
main_1_3,main_1,main,1.05,0.370705732569928,0.2465500282849996,0.02,0.26655002828499963,-0.08219865306234042,1e-06,7500,512,0,0.998046875,0.9890207217875779,0.9996551422384565,0.001953125,1.0,0.626953125,281.0,7220.0
main_1_3,main_1,main,1.05,0.370705732569928,0.2465500282849996,0.02,0.26655002828499963,-0.08219865306234042,1e-06,15000,512,0,1.0,0.9925530242771171,0.9999999999999999,0.0,1.0,0.626953125,281.0,14720.0
main_1_3,main_1,main,1.05,0.370705732569928,0.2465500282849996,0.02,0.26655002828499963,-0.08219865306234042,1e-06,30000,512,0,1.0,0.9925530242771171,0.9999999999999999,0.0,1.0,0.626953125,281.0,29720.0
