beta,epsilon,t,log_gain,theory
1.0001,0.5,200000,202839.18717185836,203869.62251093297
1.0001,0.9,1,1.2936096504830938,0.5498559194119739
1.0001,0.9,2,1.8656242513291088,1.0997118388239477
1.0001,0.9,4,-1.4042784212445159,2.1994236776478955
1.0001,0.9,8,4.940286807308151,4.398847355295791
1.0001,0.9,16,-0.7447836405641519,8.797694710591582
1.0001,0.9,32,4.955175100012995,17.595389421183164
1.0001,0.9,64,1.6379139575077486,35.19077884236633
1.0001,0.9,128,61.23736181931329,70.38155768473266
1.0001,0.9,256,108.7986776015044,140.7631153694653
1.0001,0.9,512,147.21089120020204,281.5262307389306
1.0001,0.9,1024,415.9939765680946,563.0524614778612
1.0001,0.9,2048,1021.1910288465072,1126.1049229557225
1.0001,0.9,4096,2206.011545073155,2252.209845911445
1.0001,0.9,8192,4498.905763578739,4504.41969182289
1.0001,0.9,16384,8906.172713050635,9008.83938364578
1.0001,0.9,32768,17858.3384929514,18017.67876729156
1.0001,0.9,65536,35496.00259084641,36035.35753458312
1.0001,0.9,131072,71890.96665029325,72070.71506916624
1.0001,0.9,200000,109618.62649884973,109971.18388239478
1.01,0.0,1,0.010272064223808297,0.32679646140062435
1.01,0.0,2,0.020550666050421728,0.6535929228012487
1.01,0.0,4,0.04112802257595638,1.3071858456024974
1.01,0.0,8,0.08236728895609875,2.614371691204995
1.01,0.0,16,0.16521816724589947,5.22874338240999
1.01,0.0,32,0.3327301572817046,10.45748676481998
1.01,0.0,64,0.678588668268496,20.91497352963996
1.01,0.0,128,1.4749139988713518,41.82994705927992
1.01,0.0,256,24.04270441122603,83.65989411855983
1.01,0.0,512,26.809923061424296,167.31978823711967
1.01,0.0,1024,144.00005349192125,334.63957647423933
1.01,0.0,2048,403.481161101244,669.2791529484787
1.01,0.0,4096,1155.7240907894968,1338.5583058969573
1.01,0.0,8192,2331.5885801443897,2677.1166117939147
1.01,0.0,16384,4949.655615834315,5354.233223587829
1.01,0.0,32768,10698.963829104965,10708.466447175659
1.01,0.0,65536,20943.157459238824,21416.932894351317
1.01,0.0,131072,42642.54443267491,42833.865788702635
1.01,0.0,200000,65716.60495074267,65359.29228012487
1.01,0.01,1,1.4322724474365733,0.43505911312357254
1.01,0.01,2,4.362784439367175,0.8701182262471451
1.01,0.01,4,8.11412939856174,1.7402364524942902
1.01,0.01,8,8.266537208587108,3.4804729049885803
1.01,0.01,16,8.695537041704227,6.960945809977161
1.01,0.01,32,22.686293098057078,13.921891619954321
1.01,0.01,64,24.066421570252498,27.843783239908642
1.01,0.01,128,80.84803688796143,55.687566479817285
1.01,0.01,256,169.10995765520832,111.37513295963457
1.01,0.01,512,257.71568477003837,222.75026591926914
1.01,0.01,1024,420.48124981551416,445.5005318385383
1.01,0.01,2048,732.3128752811369,891.0010636770766
1.01,0.01,4096,1383.0402666231214,1782.0021273541531
1.01,0.01,8192,3148.7540542234497,3564.0042547083062
1.01,0.01,16384,6371.528419120016,7128.0085094166125
1.01,0.01,32768,13673.357198443982,14256.017018833225
1.01,0.01,65536,27226.798574056083,28512.03403766645
1.01,0.01,131072,54634.982871841035,57024.0680753329
1.01,0.01,200000,84669.11591678555,87011.8226247145
1.01,0.1,1,-0.0748482056764907,0.8147809606835363
1.01,0.1,2,-0.1449103159019302,1.6295619213670727
1.01,0.1,4,-0.26525455429572636,3.2591238427341453
1.01,0.1,8,-0.3571288587043284,6.518247685468291
1.01,0.1,16,3.514478728799732,13.036495370936581
1.01,0.1,32,8.047560854840963,26.072990741873163
1.01,0.1,64,57.05304788361771,52.145981483746326
1.01,0.1,128,136.33078086064302,104.29196296749265
1.01,0.1,256,199.22732938321997,208.5839259349853
1.01,0.1,512,476.20292599061753,417.1678518699706
1.01,0.1,1024,833.0613539161135,834.3357037399412
1.01,0.1,2048,1612.095880537274,1668.6714074798824
