beta,epsilon,seed,x0,parallel,transverse,scale,ks,cayley_real,cayley_imag,unit_error,max_abs,zeros
1.0001,0.1,20,-0.11293067751057122,0.9035320812281783,0.771918834561386,0.5806134357804875,0.003560975826436552,-0.0028560613785218315,-0.0026367410544184725,2.220446049250313e-16,163238.9577468449,0
1.0001,0.1,21,-2.43292698796443,0.9126516417311799,0.7817648230644156,0.5920182329480292,0.0030426567955982864,0.007296808215310913,0.0015137566069581205,2.220446049250313e-16,1214260.4751997348,0
1.0001,0.1,22,0.12152612080728417,0.9048699267105389,0.7732057432660248,0.5804746951079751,0.0019397672908745278,-0.003062114448023124,0.001676971590816779,2.220446049250313e-16,48455.387512603804,0
1.0001,0.1,23,-0.30084980432898784,0.9141295304125232,0.7830267860166874,0.5873809984653362,0.00787615451285717,0.0034633022716368035,-0.008205179794770258,2.220446049250313e-16,431351.3782979221,0
1.0001,0.1,24,4.87869054753752,0.9071062024836745,0.7759859041152718,0.5890733012958927,0.009001981377113555,0.004355982461134848,0.010211695776896306,2.220446049250313e-16,57250.55881511744,0
1.0001,0.1,25,-27.617969977519653,0.9064495377792547,0.7748134326395019,0.5793083236783583,0.004765161504175719,-0.004201101498925283,0.004390152203903598,2.220446049250313e-16,454623.8378923826,0
1.0001,0.1,26,0.17877287035394854,0.9003652960152753,0.7683561263647573,0.5762262013272608,0.0025572310206138094,-0.007595433856109199,-0.00018072726285901618,2.220446049250313e-16,40346.33127658595,0
1.0001,0.1,27,-4.0432074102362305,0.9175118169615775,0.786743868509131,0.5919464311262077,0.005505182959581467,0.007683580978195877,0.0044039296004862736,2.220446049250313e-16,2566532.003370702,0
1.0001,0.1,28,-0.6415663935901351,0.9084719955035508,0.7772746838442718,0.5861101656434472,0.00223694915910877,0.0024021028853483685,-9.498059672841309e-05,2.220446049250313e-16,388718.9907061149,0
1.0001,0.1,29,-0.0609492023775516,0.9040827627050213,0.7726244710769911,0.5834656303379052,0.004267301976584037,-0.0008241632204005242,-0.004429453537805353,2.220446049250313e-16,67334.26358094485,0
1.0001,0.1,30,-0.4361834097333654,0.909768674175994,0.7787301324573299,0.5882862979389081,0.003231828189512953,0.005295840275704169,-0.0009128260716942953,2.220446049250313e-16,55027.079773993224,0
1.0001,0.1,31,-1.9085222737982552,0.9065163062426528,0.7749170051465187,0.580863747741112,0.0025927140216602806,-0.002467011774747992,-0.0019225949390481827,2.220446049250313e-16,132927.78950111842,0
1.0001,0.5,0,1.5538769773819356,1.557339690985539,1.014195935859274,1.9129511972407132,0.0069597366659598925,-0.0011047304699484698,-0.006185755266007958,2.220446049250313e-16,333151.58124198456,0
1.0001,0.5,1,1.8326609862551366,1.5558013421625843,1.011260097450638,1.9051583115610158,0.0030756103184592654,-0.002758564263991648,0.0014726043193112788,2.220446049250313e-16,408355.625765579,0
1.0001,0.5,2,-4.31481094768481,1.5511947604955594,1.0079973225735126,1.8969062045063618,0.0035476219938014864,-0.006731036653092833,-0.001238513097437849,2.220446049250313e-16,2498986.063086085,0
1.0001,0.5,3,7.124972126983728,1.5580978549811209,1.0166889939119406,1.9132043042581883,0.0034711557323159337,-0.0017585130633556577,0.0032824193430989446,2.220446049250313e-16,13235257.008083139,0
1.0001,0.5,4,-0.033459985574259485,1.5665819711178548,1.0266150640814233,1.9279725533610905,0.002159022418144918,0.005471938927048011,-0.0010273215377686461,2.220446049250313e-16,84788.0800762011,0
1.0001,0.5,5,0.33919454304280466,1.5627040462869604,1.021918767259635,1.9176641861655161,0.0012547765533612032,0.00020078794076970163,0.0007051700556052594,2.220446049250313e-16,312093.0568221444,0
1.0001,0.5,6,-0.9091786661921968,1.5595074704434022,1.017561392308158,1.9174719052687772,0.0030670157437721057,6.823040337421084e-05,-0.0027580093977026383,2.220446049250313e-16,137834.53131362997,0
1.0001,0.5,7,2.093584808265294,1.5639619021039601,1.0226297865550276,1.9166960545458833,0.0032400537855212797,0.0018237573989484373,-0.0033609022904164117,2.220446049250313e-16,148838.76888794923,0
1.0001,0.5,8,4.705777928943279,1.5588251406743034,1.0154447228943502,1.9088795573052564,0.0037925818661734834,-0.0024795463916683406,0.002039639661768491,2.220446049250313e-16,1857781.4775072592,0
1.0001,0.5,9,-4.066610624171679,1.5602823793255765,1.0192287794521273,1.919359820022885,0.004452393937091126,0.0006776634860312965,0.005627168630228792,2.220446049250313e-16,128810.8298077784,0
1.0001,0.5,10,1.168987949843248,1.5631316950863554,1.0223002043513711,1.9240122756059423,0.0033920075710246467,0.0033111824120981995,0.001747765521818096,2.220446049250313e-16,2181694.049886528,0
1.0001,0.5,11,-0.18805637307397194,1.55941432706194,1.0180327214746039,1.9134227336539067,0.004783289552189263,-0.0004212774164803884,0.005744279273812308,2.220446049250313e-16,91904.31638587467,0
1.0001,0.5,12,-6.774066753830171,1.5590456801978936,1.0180733338600092,1.908876148639671,0.0019071860765871862,-0.0019386047413150228,-0.00011009782221412899,2.220446049250313e-16,98211.3365478664,0
1.0001,0.5,13,-2.1565693587933366,1.5648585934279524,1.0233230037841028,1.9235017248828208,0.0032715297766099383,0.0026771422084486407,0.0046472403174754925,2.220446049250313e-16,1293908.3613585893,0
1.0001,0.5,14,41.06479954472012,1.5611745117804479,1.0207804364917825,1.9109862100989985,0.0027245068620457003,-0.0016205563919864262,-0.002444866733610274,2.220446049250313e-16,31756.91791606133,0
1.0001,0.5,15,-79.96986878481057,1.5604624028253287,1.0189997270957705,1.9138379763599975,0.002935688151299687,-0.00027477589623720245,-0.0026493466334528656,2.220446049250313e-16,54783.29343269284,0
1.0001,0.5,16,5.2206353254354285,1.5609864921485932,1.0183492714294173,1.917413142525588,0.004393004637091413,0.0008792468210087925,0.0011530585780505469,2.220446049250313e-16,118275.60747519984,0
1.0001,0.5,17,0.1663448406183175,1.5665525217967253,1.0262037499197247,1.934066151297663,0.0031839452103000765,0.0057234482194464,0.0017763186806147423,2.220446049250313e-16,142794.6639282759,0
1.0001,0.5,18,-3.2947443404840593,1.5629865473210582,1.02133236847258,1.922856783455861,0.006025966061836363,0.002435713753785097,-0.005887482395955588,2.220446049250313e-16,77543.46072324575,0
1.0001,0.5,19,-1.1280811070000096,1.5621422077160676,1.0211148934711651,1.9167598812031272,0.0036852908701812126,0.00013506330411431144,-0.004677806168427617,2.220446049250313e-16,226056.46369362762,0
1.0001,0.5,20,-1.647074474438291,1.5602799691729194,1.018901043605046,1.9156703474531995,0.00215726856393883,0.00014056249939180227,0.00034088254113699983,2.220446049250313e-16,57467.14300511368,0
1.0001,0.5,21,5.303716131043781,1.5647200071623473,1.0240774935119215,1.9365666126151102,0.0036985916962614662,0.005153958915429525,-0.005143170177352706,2.220446049250313e-16,443373.52953720465,0
1.0001,0.5,22,-8.596358259191373,1.5663650634945285,1.0251021572513466,1.93846487179012,0.004362396551727321,0.006830490816195224,0.00028437705310027135,2.220446049250313e-16,1039773.2808660408,0
1.0001,0.5,23,-0.030977418995663853,1.569365632747575,1.0287509848333358,1.9227252567417963,0.006550555963389326,0.003081169147568348,-0.0060186425570188185,2.220446049250313e-16,391079.7699578903,0
1.0001,0.5,24,-1.5624307209297548,1.557137177162135,1.0149410370207226,1.9013833648300453,0.006543676068106519,-0.004635031663976936,-0.006529398375112832,2.220446049250313e-16,367631.40406312165,0
1.0001,0.5,25,3.3405047448190923,1.5544972295867134,1.0129844179672214,1.8984708930164107,0.0025694856945146505,-0.005675349101376826,-0.0008702632474256392,2.220446049250313e-16,100838.08861156889,0
1.0001,0.5,26,-1.4185530598052765,1.5542993240490233,1.012292773211586,1.9134267289463165,0.009936816124526349,-0.0009936798291692581,-0.011591670611660573,2.220446049250313e-16,141287.42709037932,0
1.0001,0.5,27,2.575828550672965,1.5642314122134726,1.0233571219165274,1.9243190590168813,0.005472436756651822,0.0025151447375100808,0.006253667343201374,2.220446049250313e-16,13026673.1307381,0
1.0001,0.5,28,3.091446634398396,1.5556448220594477,1.013102592667138,1.9066432235319617,0.0032843916319075794,-0.0028846253963058692,-0.0035585658099022617,2.220446049250313e-16,139512.78203454174,0
1.0001,0.5,29,-1.965770743964817,1.5658400518856432,1.0267386840058972,1.9278713854741354,0.005420893424825157,0.0029058591692004377,0.0033098868060370623,2.220446049250313e-16,358886.19913311995,0
1.0001,0.5,30,-1.9384173732002798,1.5535278430587502,1.010580253613766,1.8997551978915062,0.005126665561215216,-0.005398258384912542,0.0024583519530438393,2.220446049250313e-16,613836.7737312678,0
1.0001,0.5,31,-2.2701728504537146,1.5553136320186833,1.0141543309887684,1.9031304230115742,0.0028130352077307963,-0.004179918983503521,-0.0013806551647147708,2.220446049250313e-16,260509.06251731567,0
1.0001,0.9,0,7.3650406988937815,1.7321962622209315,0.5480931324942458,9.852113440787855,0.006332085147242039,-0.007416579958412361,0.0028995262738072004,2.220446049250313e-16,143745.57399168558,0
1.0001,0.9,1,-345.66788332580154,1.7381955466823247,0.5556778966841457,10.08392409397362,0.008328263978988004,0.0037217331146448354,0.009514037824743306,2.220446049250313e-16,140266.0926734058,0
1.0001,0.9,2,175.97718669322276,1.737517259681929,0.55832786240691,9.922277679670293,0.003848553016684242,-0.004195302159584374,0.0018698713826977213,2.220446049250313e-16,44964.773136203614,0
