beta,epsilon,observable,mean,half95,theory,error
1.1,0.1,scale,0.758629153447202,0.0019490778425770303,0.7589946000412462,-0.0003654465940441387
1.1,0.5,parallel,1.6534837423110536,0.0015503197346585843,1.6527975857062496,0.000686156604803978
1.1,0.5,transverse,1.1705896394857025,0.0018828877681339759,1.169743154139848,0.0008464853458545196
1.1,0.5,scale,1.946953526068112,0.003459828809355785,1.9453760615725488,0.0015774644955630635
1.1,0.9,parallel,1.8022246620059257,0.001194966418586982,1.802778435480353,-0.0005537734744274214
1.1,0.9,transverse,0.8048510556184596,0.0015544769590398772,0.8056197630038242,-0.0007687073853646087
1.1,0.9,scale,9.97914531713485,0.04989363099730839,9.999999994421069,-0.02085467728621815
2.0,0.0,parallel,2.0381000732227306,0.0013738736773540798,2.0364875897668466,0.0016124834558839396
2.0,0.0,transverse,2.0381000732227306,0.0013738736773540798,2.0364875897668466,0.0016124834558839396
2.0,0.0,scale,0.9579260559307593,0.0010035521448407856,0.9575040240772689,0.00042203185349043437
2.0,0.01,parallel,2.0406764959173733,0.0014075037164897012,2.0409581312808873,-0.000281635363513999
2.0,0.01,transverse,2.0355727049164694,0.0014102659053715962,2.035854468945879,-0.00028176402940971457
2.0,0.01,scale,0.969229749994444,0.0011293714188104844,0.9690783704118753,0.00015137958256872253
2.0,0.1,parallel,2.078354537343976,0.001372591925331281,2.078112070653223,0.00024246669075322913
2.0,0.1,transverse,2.0276827369305566,0.0013975735627353273,2.02742629985953,0.0002564370710267383
2.0,0.1,scale,1.082713540255727,0.0011711565652998434,1.0821954379475958,0.0005181023081313185
2.0,0.5,parallel,2.193532954214743,0.0014239608344936963,2.193486920384155,4.6033830587877134e-05
2.0,0.5,transverse,1.9400383383620765,0.0015250214038203364,1.9400457411852603,-7.402823183788598e-06
2.0,0.5,scale,1.9977944216845795,0.004058868180020894,1.9986513460302167,-0.0008569243456371112
2.0,0.9,parallel,2.273979026061533,0.001266003283413722,2.2738396565271017,0.00013936953443138833
2.0,0.9,transverse,1.8030623488575344,0.0014522976900032502,1.8027784359554793,0.00028391290205509456
2.0,0.9,scale,9.9648874420599,0.048146400501045385,10.000000000000002,-0.03511255794010104
