key,beta,dtype,scale_name,scale,start,stop,n,k,ell,real,imag,theory,error
b1.005_float64,1.005,float64,fixed,1.0,150000,200000,50000,4,7,-0.5202951446847534,0.03444609347283832,-0.47940263318087006,0.05346710065670984
b1.005_float64,1.005,float64,fixed,1.0,150000,200000,50000,4,8,0.42535628022655814,-0.04481371393880163,0.3752037930660109,0.06725727414471684
b1.005_float64,1.005,float64,fixed,1.0,150000,200000,50000,5,0,-0.3450301460193359,-0.052517686750417764,-0.29365271816938265,0.0734693644595634
b1.005_float64,1.005,float64,fixed,1.0,150000,200000,50000,5,1,0.42535628022655797,0.04481371393880163,0.3752037930660109,0.06725727414471672
b1.005_float64,1.005,float64,fixed,1.0,150000,200000,50000,5,2,-0.5202951446847534,-0.03444609347283828,-0.47940263318087006,0.053467100656709815
b1.005_float64,1.005,float64,fixed,1.0,150000,200000,50000,5,3,0.6437638292891977,0.0240446761309998,0.6125388094366029,0.039410002728236575
b1.005_float64,1.005,float64,fixed,1.0,150000,200000,50000,5,4,-0.7991887840105437,-0.01279648319435826,-0.7826485861717268,0.020912391701828275
b1.005_float64,1.005,float64,fixed,1.0,150000,200000,50000,5,5,1.0,0.0,1.0,0.0
b1.005_float64,1.005,float64,fixed,1.0,150000,200000,50000,5,6,-0.7991887840105437,0.012796483194358263,-0.7826485861717268,0.02091239170182828
b1.005_float64,1.005,float64,fixed,1.0,150000,200000,50000,5,7,0.6437638292891977,-0.02404467613099977,0.6125388094366029,0.039410002728236554
b1.005_float64,1.005,float64,fixed,1.0,150000,200000,50000,5,8,-0.5202951446847535,0.0344460934728383,-0.47940263318087006,0.05346710065670991
b1.005_float64,1.005,float64,fixed,1.0,150000,200000,50000,6,0,0.2822975151497354,0.0592506587722978,0.22982688470075188,0.07914422041226425
b1.005_float64,1.005,float64,fixed,1.0,150000,200000,50000,6,1,-0.3450301460193359,-0.05251768675041775,-0.29365271816938265,0.07346936445956338
b1.005_float64,1.005,float64,fixed,1.0,150000,200000,50000,6,2,0.42535628022655814,0.0448137139388016,0.3752037930660109,0.06725727414471681
b1.005_float64,1.005,float64,fixed,1.0,150000,200000,50000,6,3,-0.5202951446847534,-0.03444609347283828,-0.47940263318087006,0.053467100656709815
b1.005_float64,1.005,float64,fixed,1.0,150000,200000,50000,6,4,0.643763829289198,0.02404467613099976,0.6125388094366029,0.03941000272823672
b1.005_float64,1.005,float64,fixed,1.0,150000,200000,50000,6,5,-0.7991887840105437,-0.012796483194358263,-0.7826485861717268,0.02091239170182828
