key,beta,dtype,scale_name,scale,start,stop,n,order,lag,k,pairs,real,imag,theory,error
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,16,4,199984,0.014706225753067832,-0.0007004145414754783,0.012073862165542506,0.002723952750478522
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,16,5,199984,0.002433514099624839,-0.0030184970165390568,0.004696746558578279,0.0037727371233781475
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,16,6,199984,0.005514863071092041,-0.0012644314272101723,0.0057629093466201,0.0012885316406359973
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,16,7,199984,0.009127834921169543,0.0003260028881737268,0.008400282467675223,0.0007972518144747088
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,16,8,199984,0.011242457729879486,0.0018081042628752828,0.009983048610026789,0.002203486409442072
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,64,1,199936,0.0054771154461489314,-0.0018919058994857072,0.005233398527338396,0.0019075392182136973
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,64,2,199936,0.006879181663653892,-0.0007994402857353684,0.004880943505879124,0.0021522222249674284
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,64,3,199936,0.0203143869387627,-0.002363109886340906,0.02104452607957175,0.0024733361073383266
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,64,4,199936,0.009825292054290573,0.0014022635743869301,0.012073862165542506,0.0026499831466007366
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,64,5,199936,0.006677313272375697,-0.0019946819125761647,0.004696746558578279,0.002810942980595802
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,64,6,199936,0.006104181405942158,-0.001021088856420503,0.0057629093466201,0.001076609990284341
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,64,7,199936,0.005308390777703693,-0.0030868021646761816,0.008400282467675223,0.004368997805717527
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,64,8,199936,0.009160200503741183,-8.444521643827306e-05,0.009983048610026789,0.0008271698740870072
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,256,1,199744,0.006391229961438653,-0.0016946951671227132,0.005233398527338396,0.002052453492593617
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,256,2,199744,0.006096399175913667,-0.0021155165149635284,0.004880943505879124,0.0024398242991868395
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,256,3,199744,0.02350605680705243,-0.002109337567164212,0.02104452607957175,0.0032416721756806013
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,256,4,199744,0.01086297477377556,-0.00012180745471014143,0.012073862165542506,0.0012169984928351886
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,256,5,199744,0.0013327524196970102,0.00023996733624710826,0.004696746558578279,0.0033725421997201255
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,256,6,199744,0.0028837364768207153,0.0005436154541868584,0.0057629093466201,0.0029300433744604546
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,256,7,199744,0.007884182342847474,0.002042350544431059,0.008400282467675223,0.002106550518070967
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,256,8,199744,0.00773875424728213,4.836255528480832e-05,0.009983048610026789,0.002244815387376238
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,1024,1,198976,0.005412682735897713,0.00010231632350478547,0.005233398527338396,0.00020642542841005907
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,1024,2,198976,0.004135139484623557,0.002038255764453594,0.004880943505879124,0.002170417056569838
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,1024,3,198976,0.02158424313244089,0.0019320785665285336,0.02104452607957175,0.002006046381417116
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,1024,4,198976,0.012545289554240535,-0.0008366660491845681,0.012073862165542506,0.0009603404920509997
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,1024,5,198976,0.004971726375415511,-0.002585103024649849,0.004696746558578279,0.002599686817238114
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,1024,6,198976,0.0059590447735551975,-0.0002724728032440691,0.0057629093466201,0.00033572389579339477
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,1024,7,198976,0.009305598715282743,0.001061804298656591,0.008400282467675223,0.0013953586910998097
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,1024,8,198976,0.013607161370307676,-0.0003886372682235041,0.009983048610026789,0.0036448912501586355
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,4096,1,195904,0.00576845291417825,0.002370841154520552,0.005233398527338396,0.002430467234266884
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,4096,2,195904,0.003000892638655225,0.0024042747496464405,0.004880943505879124,0.003052069516760191
