key,beta,dtype,scale_name,scale,start,stop,n,k,real,imag,theory,error
b1.001_float64,1.001,float64,fixed,1.0,50000,100000,50000,6,0.42998518661419616,-0.0721240611381416,0.5182317204675645,0.11397074594909025
b1.001_float64,1.001,float64,fixed,1.0,50000,100000,50000,7,-0.37080297826087855,0.07633049535516268,-0.4644560855212188,0.12081907556624205
b1.001_float64,1.001,float64,fixed,1.0,50000,100000,50000,8,0.3167259029603125,-0.08025882396113565,0.41626061635722544,0.12786179255207616
b1.001_float64,1.001,float64,fixed,1.0,100000,150000,50000,1,-0.9130268540641043,0.008354079956968125,-0.8962324519660286,0.01875746767981398
b1.001_float64,1.001,float64,fixed,1.0,100000,150000,50000,2,0.8329179491370935,-0.017950286913119656,0.8032326079570398,0.03469052148987542
b1.001_float64,1.001,float64,fixed,1.0,100000,150000,50000,3,-0.7616908121977299,0.027378929415165083,-0.7198831297284056,0.04997487458089754
b1.001_float64,1.001,float64,fixed,1.0,100000,150000,50000,4,0.6972441918954474,-0.03516649942247607,0.6451826224854676,0.06282586800881583
b1.001_float64,1.001,float64,fixed,1.0,100000,150000,50000,5,-0.638246305624928,0.04473670870275656,-0.5782336037160233,0.07485250494113307
b1.001_float64,1.001,float64,fixed,1.0,100000,150000,50000,6,0.5830723765117692,-0.05315184254834307,0.5182317204675645,0.0838416903606238
b1.001_float64,1.001,float64,fixed,1.0,100000,150000,50000,7,-0.5342936297088116,0.05963381044622405,-0.4644560855212188,0.09183394757109242
b1.001_float64,1.001,float64,fixed,1.0,100000,150000,50000,8,0.4879300949782184,-0.06575782325753471,0.41626061635722544,0.09726564391075677
b1.001_float64,1.001,float64,fixed,1.0,150000,200000,50000,1,-0.9034933285873012,0.028043311576911763,-0.8962324519660286,0.028968045386409774
b1.001_float64,1.001,float64,fixed,1.0,150000,200000,50000,2,0.8128890476077685,-0.042808769078286325,0.8032326079570398,0.04388436551582134
b1.001_float64,1.001,float64,fixed,1.0,150000,200000,50000,3,-0.7314599660915304,0.051017708475746174,-0.7198831297284056,0.052314717989250324
b1.001_float64,1.001,float64,fixed,1.0,150000,200000,50000,4,0.6562016712659119,-0.05390835737830395,0.6451826224854676,0.055022999111760056
b1.001_float64,1.001,float64,fixed,1.0,150000,200000,50000,5,-0.5910123637969903,0.05532182854497915,-0.5782336037160233,0.05677852959320967
b1.001_float64,1.001,float64,fixed,1.0,150000,200000,50000,6,0.5308058735767825,-0.05443632830745631,0.5182317204675645,0.05586969810202331
b1.001_float64,1.001,float64,fixed,1.0,150000,200000,50000,7,-0.47714741036722047,0.05319939714646261,-0.4644560855212188,0.05469228083645619
