beta,name,seed,center,lambda0,estimate,target
1.0001,q0.25,16,0.017317102726827092,0.018235822328072658,-0.0075952025945041565,0.008610341640858938
1.0001,q0.75,16,0.017317102726827092,0.018235822328072658,0.00962548068721372,0.025831024922576815
1.0001,one_step,16,0.017317102726827092,0.018235822328072658,,
1.0001,uncoupled,17,-0.008770472090854664,0.03320736418734208,0.03320736418734208,0.03444136656343575
1.0001,q-1.0,17,-0.008770472090854664,0.03320736418734208,-0.03567536893952942,-0.03444136656343575
1.0001,q-0.25,17,-0.008770472090854664,0.03320736418734208,-0.009844344016952604,-0.008610341640858938
1.0001,q0.0,17,-0.008770472090854664,0.03320736418734208,-0.001234002376093661,0.0
1.0001,q0.25,17,-0.008770472090854664,0.03320736418734208,0.007376339264765268,0.008610341640858938
1.0001,q0.75,17,-0.008770472090854664,0.03320736418734208,0.024597022546483147,0.025831024922576815
1.0001,one_step,17,-0.008770472090854664,0.03320736418734208,,
1.0001,uncoupled,18,0.02832513418663877,0.03098626133928884,0.03098626133928884,0.03444136656343575
1.0001,q-1.0,18,0.02832513418663877,0.03098626133928884,-0.03789647178758266,-0.03444136656343575
1.0001,q-0.25,18,0.02832513418663877,0.03098626133928884,-0.012065446865005845,-0.008610341640858938
1.0001,q0.0,18,0.02832513418663877,0.03098626133928884,-0.0034551052241469024,0.0
1.0001,q0.25,18,0.02832513418663877,0.03098626133928884,0.0051552364167120265,0.008610341640858938
1.0001,q0.75,18,0.02832513418663877,0.03098626133928884,0.022375919698429905,0.025831024922576815
1.0001,one_step,18,0.02832513418663877,0.03098626133928884,,
1.0001,uncoupled,19,-0.0015589561438769783,0.03492301820669482,0.03492301820669482,0.03444136656343575
1.0001,q-1.0,19,-0.0015589561438769783,0.03492301820669482,-0.03395971492017668,-0.03444136656343575
1.0001,q-0.25,19,-0.0015589561438769783,0.03492301820669482,-0.008128689997599865,-0.008610341640858938
1.0001,q0.0,19,-0.0015589561438769783,0.03492301820669482,0.00048165164325907756,0.0
1.0001,q0.25,19,-0.0015589561438769783,0.03492301820669482,0.009091993284118007,0.008610341640858938
1.0001,q0.75,19,-0.0015589561438769783,0.03492301820669482,0.026312676565835885,0.025831024922576815
1.0001,one_step,19,-0.0015589561438769783,0.03492301820669482,,
1.0001,uncoupled,20,-0.08062852632999044,0.033027845093256604,0.033027845093256604,0.03444136656343575
1.0001,q-1.0,20,-0.08062852632999044,0.033027845093256604,-0.0358548880336149,-0.03444136656343575
1.0001,q-0.25,20,-0.08062852632999044,0.033027845093256604,-0.010023863111038082,-0.008610341640858938
1.0001,q0.0,20,-0.08062852632999044,0.033027845093256604,-0.0014135214701791396,0.0
1.0001,q0.25,20,-0.08062852632999044,0.033027845093256604,0.007196820170679789,0.008610341640858938
1.0001,q0.75,20,-0.08062852632999044,0.033027845093256604,0.024417503452397668,0.025831024922576815
1.0001,one_step,20,-0.08062852632999044,0.033027845093256604,,
1.0001,uncoupled,21,-0.021176807271971007,0.032255108268660494,0.032255108268660494,0.03444136656343575
1.0001,q-1.0,21,-0.021176807271971007,0.032255108268660494,-0.03662762485821101,-0.03444136656343575
1.0001,q-0.25,21,-0.021176807271971007,0.032255108268660494,-0.010796599935634192,-0.008610341640858938
1.0001,q0.0,21,-0.021176807271971007,0.032255108268660494,-0.0021862582947752493,0.0
1.0001,q0.25,21,-0.021176807271971007,0.032255108268660494,0.00642408334608368,0.008610341640858938
1.0001,q0.75,21,-0.021176807271971007,0.032255108268660494,0.02364476662780156,0.025831024922576815
1.0001,one_step,21,-0.021176807271971007,0.032255108268660494,,
1.0001,uncoupled,22,0.012690690722680387,0.02427526001760144,0.02427526001760144,0.03444136656343575
1.0001,q-1.0,22,0.012690690722680387,0.02427526001760144,-0.04460747310927006,-0.03444136656343575
1.0001,q-0.25,22,0.012690690722680387,0.02427526001760144,-0.018776448186693245,-0.008610341640858938
1.0001,q0.0,22,0.012690690722680387,0.02427526001760144,-0.010166106545834303,0.0
1.0001,q0.25,22,0.012690690722680387,0.02427526001760144,-0.0015557649049753736,0.008610341640858938
1.0001,q0.75,22,0.012690690722680387,0.02427526001760144,0.015664918376742505,0.025831024922576815
1.0001,one_step,22,0.012690690722680387,0.02427526001760144,,
1.0001,uncoupled,23,0.007634227710020934,0.034492085846555984,0.034492085846555984,0.03444136656343575
1.0001,q-1.0,23,0.007634227710020934,0.034492085846555984,-0.03439064728031552,-0.03444136656343575
1.0001,q-0.25,23,0.007634227710020934,0.034492085846555984,-0.008559622357738703,-0.008610341640858938
1.0001,q0.0,23,0.007634227710020934,0.034492085846555984,5.071928312024021e-05,0.0
1.0001,q0.25,23,0.007634227710020934,0.034492085846555984,0.00866106092397917,0.008610341640858938
1.0001,q0.75,23,0.007634227710020934,0.034492085846555984,0.025881744205697048,0.025831024922576815
