beta,name,kappa,regime,seed,initial,x0,y0,initial_equal,tail_real,tail_chord,finite_sync,first_exact,first_escape,max_abs
2.0,q0.75,0.19948844645283387,unstable,7,near,-1.6907276852182354,-1.6907276947932757,0,13546.383495537375,1.9999999805748254,0,-1,18,75449.71147018501
2.0,q0.75,0.19948844645283387,unstable,7,independent,0.3659656104545668,0.5981572778197255,0,9044.996421129723,1.9999985895907684,0,-1,1,481521.09635634295
2.0,one_step,0.5,one_step,7,near,-1.6907276852182354,-1.6907276947932757,0,0.0,0.0,1,1,-1,206585.44750922453
2.0,one_step,0.5,one_step,7,independent,0.3659656104545668,0.5981572778197255,0,0.0,0.0,1,1,-1,234811.47750324273
2.0,uncoupled,0.0,unstable,8,near,-2.112811514022659,-2.112811523597699,0,14215.338795977661,1.9999999687947725,0,-1,8,93582.32229960166
2.0,uncoupled,0.0,unstable,8,independent,1.0588660512279302,0.477622194923226,0,91860.43550162426,1.999999995067846,0,-1,1,807451.5752654686
2.0,q-1.0,0.49148667214114505,stable,8,near,-2.112811514022659,-2.112811523597699,0,0.0,0.0,1,9,-1,331640.65413397306
2.0,q-1.0,0.49148667214114505,stable,8,independent,1.0588660512279302,0.477622194923226,0,0.0,0.0,1,13,1,167517.5078251958
2.0,q-0.25,0.46078738088413185,stable,8,near,-2.112811514022659,-2.112811523597699,0,0.0,0.0,1,22,-1,1230748.997626757
2.0,q-0.25,0.46078738088413185,stable,8,independent,1.0588660512279302,0.477622194923226,0,0.0,0.0,1,192,1,175085.70307653613
2.0,q0.0,0.4347568859616015,neutral,8,near,-2.112811514022659,-2.112811523597699,0,0.0,0.0,1,66,-1,129228.43683335306
2.0,q0.0,0.4347568859616015,neutral,8,independent,1.0588660512279302,0.477622194923226,0,0.0,0.0,1,1276,1,129224.3297363315
2.0,q0.25,0.391446579560279,unstable,8,near,-2.112811514022659,-2.112811523597699,0,21505.919761814155,1.9999975493100717,0,-1,64,341677.5061914538
