beta,name,initial,t,error
1.0001,q0.75,independent,16384,0.0
1.0001,q0.75,independent,32768,0.0
1.0001,q0.75,independent,65536,0.0
1.0001,q0.75,independent,131072,0.0
1.0001,q0.75,independent,200000,0.0
1.0001,one_step,near,1,0.0
1.0001,one_step,near,2,0.0
1.0001,one_step,near,4,0.0
1.0001,one_step,near,8,0.0
1.0001,one_step,near,16,0.0
1.0001,one_step,near,32,0.0
1.0001,one_step,near,64,0.0
1.0001,one_step,near,128,0.0
1.0001,one_step,near,256,0.0
1.0001,one_step,near,512,0.0
1.0001,one_step,near,1024,0.0
1.0001,one_step,near,2048,0.0
1.0001,one_step,near,4096,0.0
1.0001,one_step,near,8192,0.0
1.0001,one_step,near,16384,0.0
1.0001,one_step,near,32768,0.0
1.0001,one_step,near,65536,0.0
1.0001,one_step,near,131072,0.0
1.0001,one_step,near,200000,0.0
1.0001,one_step,independent,1,0.0
1.0001,one_step,independent,2,0.0
1.0001,one_step,independent,4,0.0
1.0001,one_step,independent,8,0.0
1.0001,one_step,independent,16,0.0
1.0001,one_step,independent,32,0.0
1.0001,one_step,independent,64,0.0
1.0001,one_step,independent,128,0.0
1.0001,one_step,independent,256,0.0
1.0001,one_step,independent,512,0.0
1.0001,one_step,independent,1024,0.0
1.0001,one_step,independent,2048,0.0
1.0001,one_step,independent,4096,0.0
1.0001,one_step,independent,8192,0.0
1.0001,one_step,independent,16384,0.0
1.0001,one_step,independent,32768,0.0
1.0001,one_step,independent,65536,0.0
1.0001,one_step,independent,131072,0.0
1.0001,one_step,independent,200000,0.0
1.01,uncoupled,near,1,1.0715441292615795e-08
1.01,uncoupled,near,2,1.1524216413040013e-08
1.01,uncoupled,near,4,1.349909165198607e-08
1.01,uncoupled,near,8,1.9803614921544466e-08
1.01,uncoupled,near,16,7.749782406988839e-08
1.01,uncoupled,near,32,0.04289790524594594
1.01,uncoupled,near,64,0.9699245044235953
1.01,uncoupled,near,128,7.7362053663041905
1.01,uncoupled,near,256,5.52255407461002
1.01,uncoupled,near,512,3.316271462001983
1.01,uncoupled,near,1024,73.13778190052146
1.01,uncoupled,near,2048,0.36347163243704395
1.01,uncoupled,near,4096,0.5252198682944019
1.01,uncoupled,near,8192,4.572811607487284
1.01,uncoupled,near,16384,4.852249602938212
1.01,uncoupled,near,32768,2.6475279300267047
1.01,uncoupled,near,65536,3.2852803534672876
1.01,uncoupled,near,131072,2.691287875418066
1.01,uncoupled,near,200000,0.36703233431350685
1.01,uncoupled,independent,1,6.424766411589561
1.01,uncoupled,independent,2,12.506683611414651
1.01,uncoupled,independent,4,34.92806975798299
1.01,uncoupled,independent,8,1.519074595245928
1.01,uncoupled,independent,16,2.3418492305169805
1.01,uncoupled,independent,32,12.601829280363821
1.01,uncoupled,independent,64,1.5390237020863589
1.01,uncoupled,independent,128,1.2567519891502705
1.01,uncoupled,independent,256,13.234415840897986
1.01,uncoupled,independent,512,16.232668770155176
1.01,uncoupled,independent,1024,1.9417886642707085
1.01,uncoupled,independent,2048,3.7197971055470602
1.01,uncoupled,independent,4096,14.376021681066119
1.01,uncoupled,independent,8192,1.1160524694519682
1.01,uncoupled,independent,16384,2.44890055204107
1.01,uncoupled,independent,32768,0.692051512662365
1.01,uncoupled,independent,65536,0.8234829071120368
1.01,uncoupled,independent,131072,1.8217044044393012
1.01,uncoupled,independent,200000,0.4374644293528282
1.01,q-1.0,near,1,5.573888193637287e-09
1.01,q-1.0,near,2,3.1182272101464156e-09
1.01,q-1.0,near,4,9.883194634690723e-10
1.01,q-1.0,near,8,1.0615273903969489e-10
1.01,q-1.0,near,16,2.226761186929277e-12
1.01,q-1.0,near,32,3.541345790052265e-11
1.01,q-1.0,near,64,6.410329997202503e-11
1.01,q-1.0,near,128,0.0
1.01,q-1.0,near,256,0.0
1.01,q-1.0,near,512,0.0
1.01,q-1.0,near,1024,0.0
1.01,q-1.0,near,2048,0.0
1.01,q-1.0,near,4096,0.0
1.01,q-1.0,near,8192,0.0
1.01,q-1.0,near,16384,0.0
1.01,q-1.0,near,32768,0.0
1.01,q-1.0,near,65536,0.0
1.01,q-1.0,near,131072,0.0
1.01,q-1.0,near,200000,0.0
1.01,q-1.0,independent,1,3.3419930518993235
1.01,q-1.0,independent,2,2.69426676733999
1.01,q-1.0,independent,4,7.7860819907865295
1.01,q-1.0,independent,8,94.28785370273458
1.01,q-1.0,independent,16,8.839318416553445
1.01,q-1.0,independent,32,0.001216129902661093
1.01,q-1.0,independent,64,20.303272908590543
1.01,q-1.0,independent,128,0.03516995932864978
1.01,q-1.0,independent,256,0.0
1.01,q-1.0,independent,512,0.0
1.01,q-1.0,independent,1024,0.0
1.01,q-1.0,independent,2048,0.0
1.01,q-1.0,independent,4096,0.0
1.01,q-1.0,independent,8192,0.0
1.01,q-1.0,independent,16384,0.0
1.01,q-1.0,independent,32768,0.0
1.01,q-1.0,independent,65536,0.0
1.01,q-1.0,independent,131072,0.0
1.01,q-1.0,independent,200000,0.0
1.01,q-0.25,near,1,7.122011733023828e-09
1.01,q-0.25,near,2,5.090924517551089e-09
1.01,q-0.25,near,4,2.634359377179786e-09
1.01,q-0.25,near,8,7.541981285854696e-10
1.01,q-0.25,near,16,1.124006700435666e-10
1.01,q-0.25,near,32,9.023928043896777e-08
1.01,q-0.25,near,64,0.17714955235748583
1.01,q-0.25,near,128,0.00752251488358944
1.01,q-0.25,near,256,0.015453816576888244
1.01,q-0.25,near,512,1.1196864086178653e-13
1.01,q-0.25,near,1024,0.0
1.01,q-0.25,near,2048,0.0
1.01,q-0.25,near,4096,0.0
1.01,q-0.25,near,8192,0.0
1.01,q-0.25,near,16384,0.0
1.01,q-0.25,near,32768,0.0
1.01,q-0.25,near,65536,0.0
1.01,q-0.25,near,131072,0.0
1.01,q-0.25,near,200000,0.0
1.01,q-0.25,independent,1,4.270217220238078
1.01,q-0.25,independent,2,4.610012132906892
1.01,q-0.25,independent,4,8.102587033700146
1.01,q-0.25,independent,8,2.7008411008341477
1.01,q-0.25,independent,16,0.2026555901513603
1.01,q-0.25,independent,32,6.785258150177769
1.01,q-0.25,independent,64,7.634761918185534
1.01,q-0.25,independent,128,1.075241079933354e-06
1.01,q-0.25,independent,256,8.084378401573035e-16
1.01,q-0.25,independent,512,0.0
1.01,q-0.25,independent,1024,0.0
1.01,q-0.25,independent,2048,0.0
1.01,q-0.25,independent,4096,0.0
1.01,q-0.25,independent,8192,0.0
1.01,q-0.25,independent,16384,0.0
1.01,q-0.25,independent,32768,0.0
1.01,q-0.25,independent,65536,0.0
1.01,q-0.25,independent,131072,0.0
1.01,q-0.25,independent,200000,0.0
1.01,q0.0,near,1,7.728303248376295e-09
1.01,q0.0,near,2,5.994591484651882e-09
1.01,q0.0,near,4,3.6525897472341343e-09
1.01,q0.0,near,8,1.4498970483068848e-09
1.01,q0.0,near,16,4.1540769978642885e-10
1.01,q0.0,near,32,1.2325528190543964e-06
1.01,q0.0,near,64,21.08652674507946
1.01,q0.0,near,128,0.019295409090480074
1.01,q0.0,near,256,1.0443237558057545
1.01,q0.0,near,512,7.076761688546976e-13
1.01,q0.0,near,1024,0.0
1.01,q0.0,near,2048,0.0
1.01,q0.0,near,4096,0.0
1.01,q0.0,near,8192,0.0
1.01,q0.0,near,16384,0.0
1.01,q0.0,near,32768,0.0
1.01,q0.0,near,65536,0.0
1.01,q0.0,near,131072,0.0
1.01,q0.0,near,200000,0.0
1.01,q0.0,independent,1,4.633737660637301
1.01,q0.0,independent,2,5.552734624867777
1.01,q0.0,independent,4,3.1905699342098526
1.01,q0.0,independent,8,1.7997409744226378
1.01,q0.0,independent,16,0.25857517090651666
1.01,q0.0,independent,32,0.3651130815674974
1.01,q0.0,independent,64,1.4633205277984392e-05
1.01,q0.0,independent,128,2.4657354124797756e-14
1.01,q0.0,independent,256,0.0
1.01,q0.0,independent,512,0.0
1.01,q0.0,independent,1024,0.0
1.01,q0.0,independent,2048,0.0
1.01,q0.0,independent,4096,0.0
1.01,q0.0,independent,8192,0.0
1.01,q0.0,independent,16384,0.0
1.01,q0.0,independent,32768,0.0
1.01,q0.0,independent,65536,0.0
1.01,q0.0,independent,131072,0.0
1.01,q0.0,independent,200000,0.0
1.01,q0.25,near,1,8.386208022445493e-09
1.01,q0.25,near,2,7.0586644841199184e-09
1.01,q0.25,near,4,5.06438641363495e-09
1.01,q0.25,near,8,2.7873345722954395e-09
1.01,q0.25,near,16,1.535247388218788e-09
1.01,q0.25,near,32,1.6835004329763555e-05
1.01,q0.25,near,64,0.5791759193927529
1.01,q0.25,near,128,0.000749248477953785
1.01,q0.25,near,256,1.6889638238213248e-08
1.01,q0.25,near,512,4.142129683567351e-07
1.01,q0.25,near,1024,2.163263112975272
1.01,q0.25,near,2048,0.0
1.01,q0.25,near,4096,0.0
1.01,q0.25,near,8192,0.0
1.01,q0.25,near,16384,0.0
1.01,q0.25,near,32768,0.0
1.01,q0.25,near,65536,0.0
1.01,q0.25,near,131072,0.0
1.01,q0.25,near,200000,0.0
1.01,q0.25,independent,1,5.0282043278377655
1.01,q0.25,independent,2,6.72214418433186
1.01,q0.25,independent,4,36.640309154909
1.01,q0.25,independent,8,27.93241748403341
1.01,q0.25,independent,16,77.23290266865395
1.01,q0.25,independent,32,0.1691233967510806
1.01,q0.25,independent,64,14.715965823522685
1.01,q0.25,independent,128,0.17316894594057625
1.01,q0.25,independent,256,2.3895093488236596
1.01,q0.25,independent,512,0.0
1.01,q0.25,independent,1024,0.0
1.01,q0.25,independent,2048,0.0
1.01,q0.25,independent,4096,0.0
1.01,q0.25,independent,8192,0.0
1.01,q0.25,independent,16384,0.0
1.01,q0.25,independent,32768,0.0
1.01,q0.25,independent,65536,0.0
1.01,q0.25,independent,131072,0.0
1.01,q0.25,independent,200000,0.0
1.01,q0.75,near,1,9.87480628366125e-09
1.01,q0.75,near,2,9.786974362955201e-09
1.01,q0.75,near,4,9.735956437863962e-09
1.01,q0.75,near,8,1.0301314805118448e-08
1.01,q0.75,near,16,2.096939457530647e-08
1.01,q0.75,near,32,0.003140712947653814
1.01,q0.75,near,64,7.7355983721871056
1.01,q0.75,near,128,14.495060077019406
1.01,q0.75,near,256,2.183726117260344
1.01,q0.75,near,512,0.10513517635174359
1.01,q0.75,near,1024,21.51398295963511
1.01,q0.75,near,2048,4.1728321317066003e-05
1.01,q0.75,near,4096,1.0581169766124874e-06
1.01,q0.75,near,8192,0.04925555532116555
1.01,q0.75,near,16384,0.0
1.01,q0.75,near,32768,0.0
1.01,q0.75,near,65536,0.0
1.01,q0.75,near,131072,0.0
1.01,q0.75,near,200000,0.0
1.01,q0.75,independent,1,5.920738327470106
1.01,q0.75,independent,2,10.064423896821804
1.01,q0.75,independent,4,0.9958434166030664
1.01,q0.75,independent,8,0.7976915740098018
1.01,q0.75,independent,16,0.5237641231765106
1.01,q0.75,independent,32,0.26746832268026866
1.01,q0.75,independent,64,1.0703025253548413
1.01,q0.75,independent,128,0.027637559425863097
1.01,q0.75,independent,256,0.0003123412548455478
1.01,q0.75,independent,512,6.942216575283016
1.01,q0.75,independent,1024,3.072063792597753e-14
1.01,q0.75,independent,2048,0.01726050689137553
1.01,q0.75,independent,4096,17.029916350911773
1.01,q0.75,independent,8192,0.0022076802364697566
1.01,q0.75,independent,16384,0.15219387711276974
1.01,q0.75,independent,32768,1.2286014235876703
1.01,q0.75,independent,65536,0.0
1.01,q0.75,independent,131072,0.0
1.01,q0.75,independent,200000,0.0
1.01,one_step,near,1,0.0
1.01,one_step,near,2,0.0
1.01,one_step,near,4,0.0
1.01,one_step,near,8,0.0
1.01,one_step,near,16,0.0
1.01,one_step,near,32,0.0
1.01,one_step,near,64,0.0
1.01,one_step,near,128,0.0
1.01,one_step,near,256,0.0
1.01,one_step,near,512,0.0
1.01,one_step,near,1024,0.0
1.01,one_step,near,2048,0.0
1.01,one_step,near,4096,0.0
1.01,one_step,near,8192,0.0
1.01,one_step,near,16384,0.0
1.01,one_step,near,32768,0.0
1.01,one_step,near,65536,0.0
1.01,one_step,near,131072,0.0
1.01,one_step,near,200000,0.0
