beta,gamma0,x,empirical,theoretical
0.5,0.1,0.014361058658704231,0.58982,0.5890991780713977
0.5,0.1,0.015207932456470116,0.59481,0.5940604554868468
0.5,0.1,0.016084134062011885,0.5998,0.5991444415326502
0.5,0.1,0.01690670516293818,0.60479,0.6038701849351997
0.5,0.1,0.01772521745203442,0.60978,0.6085259488724423
0.5,0.1,0.018583870746651986,0.61477,0.613358619412805
0.5,0.1,0.019464012395201773,0.61976,0.6182562045273143
0.5,0.1,0.020357535849705018,0.62475,0.6231688996961723
0.5,0.1,0.02123583187601426,0.62974,0.6279384096115117
0.5,0.1,0.02212856992900358,0.63473,0.6327248654722988
0.5,0.1,0.023106970729439583,0.63972,0.6378983118671884
0.5,0.1,0.0240650450317576,0.64471,0.6428900335747358
0.5,0.1,0.025063487363625753,0.6497,0.648013021066626
0.5,0.1,0.0260458311286515,0.65469,0.6529739607247801
0.5,0.1,0.027088152553681837,0.65968,0.6581510489363922
0.5,0.1,0.028177145894498403,0.66467,0.663464110235739
0.5,0.1,0.02919520997496173,0.66966,0.6683423230392408
0.5,0.1,0.03023487795284477,0.67465,0.6732354690141966
0.5,0.1,0.03131342939242207,0.67964,0.6782171699718491
0.5,0.1,0.032404309305004944,0.68463,0.6831583182901413
0.5,0.1,0.03342387720125235,0.68962,0.6876882708068838
0.5,0.1,0.0345264162565551,0.69461,0.6924916283466049
0.5,0.1,0.035710870872792205,0.6996,0.6975425475941673
0.5,0.1,0.03693332422910684,0.70459,0.7026380423981939
0.5,0.1,0.0382173475409708,0.70958,0.7078633505807036
0.5,0.1,0.03949967333875955,0.71457,0.7129539929770777
0.5,0.1,0.04080977962588972,0.71956,0.7180252734989125
0.5,0.1,0.042155897303915627,0.72455,0.7231019814612987
0.5,0.1,0.043472852857169,0.72954,0.7279399279049333
0.5,0.1,0.04485814049089057,0.73453,0.7328944148007697
0.5,0.1,0.046242887982901326,0.73952,0.7377123368724792
0.5,0.1,0.04784464736980584,0.74451,0.7431217292969198
0.5,0.1,0.04947602466290527,0.7495,0.7484559099891683
0.5,0.1,0.05097924069760312,0.75449,0.7532192218557253
0.5,0.1,0.05262554950089885,0.75948,0.7582741696910806
0.5,0.1,0.05432034572548333,0.76447,0.7633071200312921
0.5,0.1,0.05598467539118832,0.76946,0.7680867562463545
0.5,0.1,0.05791601435296186,0.77445,0.7734385165822534
0.5,0.1,0.05980731441762846,0.77944,0.7784846928906104
0.5,0.1,0.06171080633562193,0.78443,0.7833771097344893
0.5,0.1,0.0637577165055515,0.78942,0.7884386653773534
0.5,0.1,0.06588271372982009,0.79441,0.7934845920513627
0.5,0.1,0.06816579946226616,0.7994,0.7986805372975461
0.5,0.1,0.07052601121827565,0.80439,0.803819227772979
0.5,0.1,0.07294308300166832,0.80938,0.8088496650054093
0.5,0.1,0.07545061184324826,0.81437,0.8138340239798347
0.5,0.1,0.07822621954651866,0.81936,0.8190893337347422
0.5,0.1,0.08116533557767253,0.82435,0.8243729673319291
0.5,0.1,0.08404422543658303,0.82934,0.8292860957812831
0.5,0.1,0.08743798997529363,0.83433,0.8347676492766656
0.5,0.1,0.09077499614379385,0.83932,0.8398535553977864
0.5,0.1,0.09439673467079478,0.84431,0.8450582718845653
0.5,0.1,0.09827505817816064,0.8493,0.8502965406279839
0.5,0.1,0.10221142339442525,0.85429,0.8552876534209435
0.5,0.1,0.10668726485934417,0.85928,0.860598600034002
