stage,beta,gamma0,condition,seed,dtype,nonfinite,first_failure_step,first_failure_index,zero_count,max_abs,min_pole
A,1.0,1.0,7,5,float32,0,,,0,61780.86328125,3.187259170012169e-05
A,1.0,1.0,7,6,float64,0,,,0,71810.02598860576,5.284995983512175e-05
A,1.0,1.0,7,6,float32,0,,,0,71810.0234375,5.285342666105919e-05
A,1.0,1.0,7,7,float64,0,,,0,113033.84217013478,1.692268611441783e-05
A,1.0,1.0,7,7,float32,0,,,0,113033.84375,1.6971430506274032e-05
A,1.0,1.0,7,8,float64,0,,,0,290778.53748743085,4.304397860255271e-05
A,1.0,1.0,7,8,float32,0,,,0,290778.53125,4.3078264917895126e-05
A,1.0,1.0,7,9,float64,0,,,0,290363.6410431693,2.987541823906703e-05
A,1.0,1.0,7,9,float32,0,,,0,290363.65625,2.9877820287183e-05
A,1.0,10.0,8,0,float64,0,,,0,1662888.5262096925,1.6253540733535132e-05
A,1.0,10.0,8,0,float32,0,,,0,1662888.5,1.6287961278393936e-05
A,1.0,10.0,8,1,float64,0,,,0,782776.2574592831,1.082932131435399e-05
A,1.0,10.0,8,1,float32,0,,,0,782776.25,1.0804333959057999e-05
A,1.0,10.0,8,2,float64,0,,,0,729491.8853242225,2.303156771610304e-05
A,1.0,10.0,8,2,float32,0,,,0,729491.875,2.3051104273363876e-05
A,1.0,10.0,8,3,float64,0,,,0,355277.7609326127,2.8146991137845134e-06
A,1.0,10.0,8,3,float32,0,,,0,2352332.5,4.2510998632394603e-07
A,1.0,10.0,8,4,float64,0,,,0,926317.1267119744,1.0970417147149192e-05
A,1.0,10.0,8,4,float32,0,,,0,926317.125,1.0979179519310378e-05
A,1.0,10.0,8,5,float64,0,,,0,1483531.0060572876,3.449071697403383e-05
A,1.0,10.0,8,5,float32,0,,,0,1483531.0,3.429650074870949e-05
A,1.0,10.0,8,6,float64,0,,,0,6057331.315354222,2.874187409140916e-05
A,1.0,10.0,8,6,float32,0,,,0,6057331.5,2.874930041052437e-05
A,1.0,10.0,8,7,float64,0,,,0,415995.82192060765,4.15857545554843e-06
A,1.0,10.0,8,7,float32,0,,,0,415995.8125,4.430605342164995e-06
A,1.0,10.0,8,8,float64,0,,,0,1699213.2995809233,2.063533857565858e-06
A,1.0,10.0,8,8,float32,0,,,0,1699213.25,1.9908227972820214e-06
A,1.0,10.0,8,9,float64,0,,,0,289803.3067840992,2.2251999675759748e-05
A,1.0,10.0,8,9,float32,0,,,0,289803.3125,2.197028391925926e-05
A,1.01,0.1,9,0,float64,0,,,0,23045.193004475488,8.543529715687725e-05
A,1.01,0.1,9,0,float32,0,,,0,23045.193359375,8.690748118134195e-05
A,1.01,0.1,9,1,float64,0,,,0,21482.706654079575,0.0003005744185675674
A,1.01,0.1,9,1,float32,0,,,0,21482.70703125,0.0003006021168570072
A,1.01,0.1,9,2,float64,0,,,0,379186.91308300744,7.341880834821346e-05
A,1.01,0.1,9,2,float32,0,,,0,379186.90625,7.338921097321816e-05
A,1.01,0.1,9,3,float64,0,,,0,28924.1692739138,3.457316233124175e-05
A,1.01,0.1,9,3,float32,0,,,0,28989.54296875,3.4495196070238876e-05
A,1.01,0.1,9,4,float64,0,,,0,76071.02395966499,0.00011416981851475327
A,1.01,0.1,9,4,float32,0,,,0,76071.0234375,0.00011415878799958534
A,1.01,0.1,9,5,float64,0,,,0,4958.661166574605,0.0002016673357687626
A,1.01,0.1,9,5,float32,0,,,0,4955.951171875,0.00020177761581940956
A,1.01,0.1,9,6,float64,0,,,0,9833.479282167886,0.00010169340554422313
A,1.01,0.1,9,6,float32,0,,,0,9838.470703125,0.00010164181259675331
A,1.01,0.1,9,7,float64,0,,,0,14710.352382999989,0.00011196187750384112
A,1.01,0.1,9,7,float32,0,,,0,14710.3525390625,0.00011201302078767128
A,1.01,0.1,9,8,float64,0,,,0,4701.48519740159,0.00022140481661558908
A,1.01,0.1,9,8,float32,0,,,0,4701.4853515625,0.00022144714859528847
A,1.01,0.1,9,9,float64,0,,,0,8167.908796860782,0.0009667798397690053
A,1.01,0.1,9,9,float32,0,,,0,8167.90869140625,0.0009667118403573483
A,1.01,1.0,10,0,float64,0,,,0,234042.3002918042,4.272731889631842e-06
A,1.01,1.0,10,0,float32,0,,,0,235414.703125,4.24782303376503e-06
A,1.01,1.0,10,1,float64,0,,,0,433752.4439685172,2.3054625142293617e-06
A,1.01,1.0,10,1,float32,0,,,0,456729.75,2.1894786019771573e-06
A,1.01,1.0,10,2,float64,0,,,0,69837.3782502383,1.4318979677963029e-05
A,1.01,1.0,10,2,float32,0,,,0,69538.0703125,1.4380612645581436e-05
A,1.01,1.0,10,3,float64,0,,,0,1138431.4864897481,8.784015654850208e-07
