stage,group,beta,gamma0,condition,seed,dtype,t,theoretical_scale,status,n,median,estimated_scale,ks,tail10,tail100,absolute_error,floored_error
B,wide,0.5,0.1,0,0,float64,512,7.450065821057239e-156,記述的評価,4096,3.156122942658942e-157,7.551199676657884e-156,0.01587660753808373,0.058837890625,0.005859375,1.0113385560064456e-157,1.0113385560064456e-145
B,wide,0.5,0.1,0,0,float64,1024,5.55651293633137e-310,記述的評価,4096,2.353944029591e-311,5.63194201178435e-310,0.015876607538084397,0.058837890625,0.005859375,7.5429075453e-312,7.542907545297851e-300
B,wide,0.5,0.1,0,0,float64,2048,0.0,記述的評価,4096,0.0,0.0,,0.0,0.0,0.0,0.0
B,wide,0.5,0.1,0,0,float64,4096,0.0,記述的評価,4096,0.0,0.0,,0.0,0.0,0.0,0.0
B,wide,0.5,0.1,0,1,float64,0,0.1,記述的評価,4096,0.0024598427671988694,0.09778069559147456,0.017447719715103838,0.06298828125,0.0048828125,0.002219304408525441,0.02219304408525441
B,wide,0.5,0.1,0,1,float64,1,0.04995837495787998,記述的評価,4096,0.0014953822209687528,0.048860151766903476,0.018032425125044216,0.06591796875,0.0048828125,0.0010982231909765008,0.021982764489485804
B,wide,0.5,0.1,0,1,float64,2,0.02497399343895132,記述的評価,4096,0.0007744552981736476,0.024432778635078065,0.018239654651048043,0.0654296875,0.005615234375,0.0005412148038732544,0.021671135823601802
B,wide,0.5,0.1,0,1,float64,4,0.006243092761378258,記述的評価,4096,0.00015846293134623904,0.006107662646347028,0.017495699532583453,0.0654296875,0.005126953125,0.00013543011503122995,0.021692792371922356
B,wide,0.5,0.1,0,1,float64,8,0.0003901916143904286,記述的評価,4096,9.608767286983375e-06,0.000381738998837121,0.017250793052991376,0.0654296875,0.00537109375,8.452615553307592e-06,0.021662729903902656
B,wide,0.5,0.1,0,1,float64,16,1.5241859679289446e-06,記述的評価,4096,3.7534247215164904e-08,1.491167988630944e-06,0.017250790049691933,0.0654296875,0.00537109375,3.301797929800063e-08,0.02166269733008058
B,wide,0.5,0.1,0,1,float64,32,2.325723217664416e-11,記述的評価,4096,5.727271608759295e-13,2.275341779527766e-11,0.017250790049646136,0.0654296875,0.00537109375,5.038143813664995e-13,0.021662697329583785
B,wide,0.5,0.1,0,1,float64,64,5.414996337295547e-21,記述的評価,4096,1.33348433504796e-22,5.2976929105999086e-21,0.017250790049646136,0.0654296875,0.00537109375,1.1730342669563823e-22,1.1730342669563824e-10
B,wide,0.5,0.1,0,1,float64,128,2.9354753964484406e-40,記述的評価,4096,7.228833065171933e-42,2.871885081416738e-40,0.017250790049646136,0.0654296875,0.00537109375,6.359031503170254e-42,6.359031503170255e-30
B,wide,0.5,0.1,0,1,float64,256,8.626586863757392e-79,記述的評価,4096,2.124363107786742e-80,8.439711723540452e-79,0.017250790049646136,0.0654296875,0.00537109375,1.8687514021693983e-80,1.8687514021693984e-68
B,wide,0.5,0.1,0,1,float64,512,7.450065821057239e-156,記述的評価,4096,1.8346357871070572e-157,7.288677300090199e-156,0.017250790049646136,0.0654296875,0.00537109375,1.613885209670401e-157,1.613885209670401e-145
B,wide,0.5,0.1,0,1,float64,1024,5.55651293633137e-310,記述的評価,4096,1.36833388179e-311,5.4361438783837e-310,0.017250790049645692,0.0654296875,0.00537109375,1.203690579477e-311,1.2036905794768654e-299
B,wide,0.5,0.1,0,1,float64,2048,0.0,記述的評価,4096,0.0,0.0,,0.0,0.0,0.0,0.0
B,wide,0.5,0.1,0,1,float64,4096,0.0,記述的評価,4096,0.0,0.0,,0.0,0.0,0.0,0.0
B,wide,0.5,0.1,0,2,float64,0,0.1,記述的評価,4096,-0.004426426447278565,0.1010339191623052,0.018125985854306303,0.059814453125,0.008056640625,0.0010339191623051913,0.010339191623051913
B,wide,0.5,0.1,0,2,float64,1,0.04995837495787998,記述的評価,4096,-0.0015499802755346232,0.05030220019477137,0.014261000628958853,0.06103515625,0.00634765625,0.0003438252368913944,0.006882234203599982
B,wide,0.5,0.1,0,2,float64,2,0.02497399343895132,記述的評価,4096,-0.0006942009884419601,0.025164447891374737,0.013294747200179535,0.062255859375,0.006591796875,0.0001904544524234178,0.007626111254052413
B,wide,0.5,0.1,0,2,float64,4,0.006243092761378258,記述的評価,4096,-0.00017038864896021296,0.006292253304398697,0.01280968695159479,0.062744140625,0.007568359375,4.916054302043886e-05,0.007874389329045613
B,wide,0.5,0.1,0,2,float64,8,0.0003901916143904286,記述的評価,4096,-1.084689102513351e-05,0.0003930453530336565,0.013298182086388222,0.062744140625,0.00732421875,2.8537386432279433e-06,0.0073136852202376436
B,wide,0.5,0.1,0,2,float64,16,1.5241859679289446e-06,記述的評価,4096,-4.19402958308059e-08,1.535438653980509e-06,0.013054042300136903,0.062744140625,0.00732421875,1.1252686051564296e-08,0.0073827513757093455
B,wide,0.5,0.1,0,2,float64,32,2.325723217664416e-11,記述的評価,4096,-6.399581273011157e-13,2.3428934539503644e-11,0.013054042300149726,0.062744140625,0.00732421875,1.7170236285948542e-13,0.0073827513762328
B,wide,0.5,0.1,0,2,float64,64,5.414996337295547e-21,記述的評価,4096,-1.490018626910438e-22,5.454973908957011e-21,0.013054042300149726,0.062744140625,0.00732421875,3.997757166146427e-23,3.997757166146427e-11
B,wide,0.5,0.1,0,2,float64,128,2.9354753964484406e-40,記述的評価,4096,-8.077407161700826e-42,2.957147281471468e-40,0.013054042300149726,0.062744140625,0.00732421875,2.167188502302725e-42,2.167188502302725e-30
B,wide,0.5,0.1,0,2,float64,256,8.626586863757392e-79,記述的評価,4096,-2.373736621967702e-80,8.690274809797989e-79,0.013054042300149726,0.062744140625,0.00732421875,6.368794604059668e-81,6.368794604059668e-69
B,wide,0.5,0.1,0,2,float64,512,7.450065821057239e-156,記述的評価,4096,-2.0499989572713577e-157,7.505067804750674e-156,0.013054042300149726,0.062744140625,0.00732421875,5.500198369343528e-158,5.500198369343528e-146
B,wide,0.5,0.1,0,2,float64,1024,5.55651293633137e-310,記述的評価,4096,-1.5289590721934e-311,5.59753528985914e-310,0.013054042300148894,0.062744140625,0.00732421875,4.102235352777e-312,4.102235352777123e-300
B,wide,0.5,0.1,0,2,float64,2048,0.0,記述的評価,4096,0.0,0.0,,0.0,0.0,0.0,0.0
B,wide,0.5,0.1,0,2,float64,4096,0.0,記述的評価,4096,0.0,0.0,,0.0,0.0,0.0,0.0
B,wide,0.5,0.1,0,3,float64,0,0.1,記述的評価,4096,-0.0007605105577273778,0.09763367838501691,0.00909354544806662,0.064453125,0.005859375,0.002366321614983097,0.023663216149830968
B,wide,0.5,0.1,0,3,float64,1,0.04995837495787998,記述的評価,4096,-0.0004094646822340041,0.04875197074789479,0.009198847956327527,0.064208984375,0.006591796875,0.0012064042099851832,0.02414818758621163
B,wide,0.5,0.1,0,3,float64,2,0.02497399343895132,記述的評価,4096,-0.00027066281807355873,0.02435659932768181,0.010140718750664579,0.063232421875,0.00537109375,0.0006173941112695112,0.02472148127926457
B,wide,0.5,0.1,0,3,float64,4,0.006243092761378258,記述的評価,4096,-6.231245427300632e-05,0.006086553131701939,0.009885738426897883,0.064208984375,0.007080078125,0.0001565396296763187,0.025074051541364606
B,wide,0.5,0.1,0,3,float64,8,0.0003901916143904286,記述的評価,4096,-3.598847163781781e-06,0.00038078846004428095,0.009640878002744047,0.064208984375,0.00732421875,9.40315434614763e-06,0.02409881196662203
B,wide,0.5,0.1,0,3,float64,16,1.5241859679289446e-06,記述的評価,4096,-1.4057996733542878e-08,1.487454946013195e-06,0.009640875180051411,0.064208984375,0.00732421875,3.673102191574954e-08,0.024098779734640547
B,wide,0.5,0.1,0,3,float64,32,2.325723217664416e-11,記述的評価,4096,-2.145080067984448e-13,2.2696761261193246e-11,0.009640875180008335,0.064208984375,0.00732421875,5.604709154509128e-13,0.024098779734149107
B,wide,0.5,0.1,0,3,float64,64,5.414996337295547e-21,記述的評価,4096,-4.9944037291790545e-23,5.284501533301837e-21,0.009640875180008335,0.064208984375,0.00732421875,1.3049480399370956e-22,1.3049480399370956e-10
B,wide,0.5,0.1,0,3,float64,128,2.9354753964484406e-40,記述的評価,4096,-2.707471686722818e-42,2.8647340214544156e-40,0.009640875180008335,0.064208984375,0.00732421875,7.0741374994025e-42,7.0741374994025e-30
B,wide,0.5,0.1,0,3,float64,256,8.626586863757392e-79,記述的評価,4096,-7.956544181884907e-81,8.418696647070198e-79,0.009640875180008335,0.064208984375,0.00732421875,2.0789021668719354e-80,2.0789021668719353e-68
B,wide,0.5,0.1,0,3,float64,512,7.450065821057239e-156,記述的評価,4096,-6.871405667081408e-158,7.270528325830668e-156,0.009640875180008335,0.064208984375,0.00732421875,1.7953749522657112e-157,1.7953749522657112e-145
B,wide,0.5,0.1,0,3,float64,1024,5.55651293633137e-310,記述的評価,4096,-5.124928476735e-312,5.42260775498875e-310,0.009640875180008446,0.064208984375,0.00732421875,1.339051813426e-311,1.3390518134261835e-299
B,wide,0.5,0.1,0,3,float64,2048,0.0,記述的評価,4096,0.0,0.0,,0.0,0.0,0.0,0.0
B,wide,0.5,0.1,0,3,float64,4096,0.0,記述的評価,4096,0.0,0.0,,0.0,0.0,0.0,0.0
B,wide,0.5,0.1,0,4,float64,0,0.1,記述的評価,4096,0.002374037057600039,0.09923466065348133,0.010493223749579617,0.06787109375,0.005859375,0.0007653393465186786,0.007653393465186786
B,wide,0.5,0.1,0,4,float64,1,0.04995837495787998,記述的評価,4096,0.0010864060392111457,0.049495452841232364,0.009708677118965336,0.06640625,0.00634765625,0.00046292211664761274,0.009266156415974367
B,wide,0.5,0.1,0,4,float64,2,0.02497399343895132,記述的評価,4096,0.0005766811966423078,0.0247532300071962,0.010183936043950514,0.0654296875,0.0068359375,0.00022076343175512006,0.008839732912350365
B,wide,0.5,0.1,0,4,float64,4,0.006243092761378258,記述的評価,4096,0.00015752299903121705,0.006173342597767901,0.011156429793344913,0.064453125,0.004638671875,6.975016361035653e-05,0.011172373417523612
B,wide,0.5,0.1,0,4,float64,8,0.0003901916143904286,記述的評価,4096,9.633415646772193e-06,0.0003865162921999408,0.010912018990110517,0.064453125,0.004150390625,3.6753221904877982e-06,0.009419275184141308
B,wide,0.5,0.1,0,4,float64,16,1.5241859679289446e-06,記述的評価,4096,3.7630529870592176e-08,1.5098292914736417e-06,0.010912017930607198,0.064453125,0.004150390625,1.4356676455302857e-08,0.009419241980563979
B,wide,0.5,0.1,0,4,float64,32,2.325723217664416e-11,記述的評価,4096,5.741963176054716e-13,2.3038166678985965e-11,0.010912017930591045,0.064453125,0.004150390625,2.1906549765819395e-13,0.00941924198005764
B,wide,0.5,0.1,0,4,float64,64,5.414996337295547e-21,記述的評価,4096,1.3369049821176372e-22,5.363991176473434e-21,0.010912017930591045,0.064453125,0.004150390625,5.100516082211257e-23,5.1005160822112565e-11
B,wide,0.5,0.1,0,4,float64,128,2.9354753964484406e-40,記述的評価,4096,7.247376430093183e-42,2.907825443362787e-40,0.010912017930591045,0.064453125,0.004150390625,2.764995308565349e-42,2.764995308565349e-30
B,wide,0.5,0.1,0,4,float64,256,8.626586863757392e-79,記述的評価,4096,2.1298125129642835e-80,8.545330954625674e-79,0.010912017930591045,0.064453125,0.004150390625,8.125590913171739e-81,8.125590913171739e-69
B,wide,0.5,0.1,0,4,float64,512,7.450065821057239e-156,記述的評価,4096,1.8393419852708824e-157,7.379891848321344e-156,0.010912017930591045,0.064453125,0.004150390625,7.017397273589493e-158,7.017397273589492e-146
B,wide,0.5,0.1,0,4,float64,1024,5.55651293633137e-310,記述的評価,4096,1.3718439247355e-311,5.50417479641874e-310,0.01091201793058949,0.064453125,0.004150390625,5.233813991263e-312,5.233813991263197e-300
B,wide,0.5,0.1,0,4,float64,2048,0.0,記述的評価,4096,0.0,0.0,,0.0,0.0,0.0,0.0
B,wide,0.5,0.1,0,4,float64,4096,0.0,記述的評価,4096,0.0,0.0,,0.0,0.0,0.0,0.0
B,wide,0.5,1.0,1,0,float64,0,1.0,記述的評価,4096,0.013756017684102175,1.0123247639615314,0.011431142290320884,0.06201171875,0.004150390625,0.012324763961531371,0.012324763961531371
B,wide,0.5,1.0,1,0,float64,1,0.46211715726000974,記述的評価,4096,-0.004434594818506142,0.4839130251415855,0.01367994995112326,0.061767578125,0.009033203125,0.02179586788157578,0.04716524270773258
B,wide,0.5,1.0,1,0,float64,2,0.2270326087174543,記述的評価,4096,-0.002997173467872957,0.23311027839005263,0.013981734946344637,0.06689453125,0.00537109375,0.006077669672598346,0.026770029675173678
B,wide,0.5,1.0,1,0,float64,4,0.05645551423322024,記述的評価,4096,-0.0003639957549302422,0.05833537486671461,0.011521675442535961,0.06982421875,0.00732421875,0.001879860633494372,0.03329808715812213
B,wide,0.5,1.0,1,0,float64,8,0.003527225540767175,記述的評価,4096,-5.1339840412484603e-05,0.003626162926015865,0.01409169023846868,0.069091796875,0.0078125,9.893738524869005e-05,0.028049633941800916
B,wide,0.5,1.0,1,0,float64,16,1.3778205722357871e-05,記述的評価,4096,-2.0054625167006705e-07,1.416471978280039e-05,0.014092194616002418,0.069091796875,0.007568359375,3.8651406044251817e-07,0.028052568544198932
B,wide,0.5,1.0,1,0,float64,32,2.1023873477275458e-10,記述的評価,4096,-3.0600929515086048e-12,2.1613647130002725e-10,0.014092194623698762,0.069091796875,0.007568359375,5.8977365272726705e-12,0.02805256858897809
B,wide,0.5,1.0,1,0,float64,64,4.895001993811563e-20,記述的評価,4096,-7.124834115404181e-22,5.0323193729861465e-20,0.014092194623698762,0.069091796875,0.007568359375,1.3731737917458337e-21,1.3731737917458338e-09
B,wide,0.5,1.0,1,0,float64,128,2.6535858980056862e-39,記述的評価,4096,-3.862380313260025e-41,2.7280257984162358e-39,0.014092194623698762,0.069091796875,0.007568359375,7.443990041054953e-41,7.443990041054953e-29
B,wide,0.5,1.0,1,0,float64,256,7.798188081318427e-78,記述的評価,4096,-1.1350515597410942e-79,8.016947287339364e-78,0.014092194623698762,0.069091796875,0.007568359375,2.1875920602093663e-79,2.1875920602093664e-67
B,wide,0.5,1.0,1,0,float64,512,6.734646669459448e-155,記述的評価,4096,-9.802496588646941e-157,6.923570807076992e-155,0.014092194623698762,0.069091796875,0.007568359375,1.8892413761754402e-156,1.8892413761754403e-144
B,wide,0.5,1.0,1,0,float64,1024,5.02292895650712e-309,記述的評価,4096,-7.3110359574557e-311,5.163835015577103e-309,0.014092194623698762,0.069091796875,0.007568359375,1.4090605906998e-310,1.4090605906998018e-298
B,wide,0.5,1.0,1,0,float64,2048,0.0,記述的評価,4096,0.0,0.0,,0.0,0.0,0.0,0.0
B,wide,0.5,1.0,1,0,float64,4096,0.0,記述的評価,4096,0.0,0.0,,0.0,0.0,0.0,0.0
B,wide,0.5,1.0,1,1,float64,0,1.0,記述的評価,4096,0.04972402400213697,1.0062033129342294,0.021106101728457505,0.062744140625,0.007080078125,0.006203312934229377,0.006203312934229377
B,wide,0.5,1.0,1,1,float64,1,0.46211715726000974,記述的評価,4096,0.0156754133773942,0.4573349290227096,0.015819361119649322,0.0693359375,0.0068359375,0.0047822282373001235,0.010348519119382983
B,wide,0.5,1.0,1,1,float64,2,0.2270326087174543,記述的評価,4096,0.006453903341123644,0.22457327704911378,0.013848081295465664,0.06396484375,0.005126953125,0.002459331668340503,0.010832504115746565
B,wide,0.5,1.0,1,1,float64,4,0.05645551423322024,記述的評価,4096,0.00156497817078606,0.05587798273156115,0.013639239970510197,0.061767578125,0.00830078125,0.0005775315016590885,0.010229851051808334
B,wide,0.5,1.0,1,1,float64,8,0.003527225540767175,記述的評価,4096,9.610048677565797e-05,0.0034914518145759176,0.013365126586498743,0.061279296875,0.008544921875,3.577372619125753e-05,0.010142171453962852
B,wide,0.5,1.0,1,1,float64,16,1.3778205722357871e-05,記述的評価,4096,3.8207485271835896e-07,1.3644379335879989e-05,0.01360914969933591,0.061279296875,0.0087890625,1.3382638647788254e-07,0.009712903782581985
B,wide,0.5,1.0,1,1,float64,32,2.1023873477275458e-10,記述的評価,4096,5.829999583715288e-12,2.081967061792707e-10,0.013609149697542788,0.061279296875,0.0087890625,2.0420285934838733e-12,0.009712903741030815
B,wide,0.5,1.0,1,1,float64,64,4.895001993811563e-20,記述的評価,4096,1.3574025555782224e-21,4.8474573106335175e-20,0.013609149697542788,0.061279296875,0.0087890625,4.754468317804563e-22,4.754468317804563e-10
B,wide,0.5,1.0,1,1,float64,128,2.6535858980056862e-39,記述的評価,4096,7.358493998476422e-41,2.6278118736098002e-39,0.013609149697542788,0.061279296875,0.0087890625,2.5774024395886046e-41,2.5774024395886046e-29
B,wide,0.5,1.0,1,1,float64,256,7.798188081318427e-78,記述的評価,4096,2.1624670314421852e-79,7.722445031130128e-78,0.013609149697542788,0.061279296875,0.0087890625,7.574305018829967e-80,7.574305018829967e-68
B,wide,0.5,1.0,1,1,float64,512,6.734646669459448e-155,記述的評価,4096,1.867542977836943e-156,6.669233694629135e-155,0.013609149697542788,0.061279296875,0.0087890625,6.54129748303134e-157,6.54129748303134e-145
B,wide,0.5,1.0,1,1,float64,1024,5.02292895650712e-309,記述的評価,4096,1.39287718588683e-310,4.97414173105453e-309,0.0136091496975429,0.061279296875,0.0087890625,4.878722545259e-311,4.878722545259003e-299
B,wide,0.5,1.0,1,1,float64,2048,0.0,記述的評価,4096,0.0,0.0,,0.0,0.0,0.0,0.0
B,wide,0.5,1.0,1,1,float64,4096,0.0,記述的評価,4096,0.0,0.0,,0.0,0.0,0.0,0.0
B,wide,0.5,1.0,1,2,float64,0,1.0,記述的評価,4096,-0.028297013376627243,0.9950088518515778,0.01598682298464471,0.0595703125,0.004150390625,0.004991148148422164,0.004991148148422164
B,wide,0.5,1.0,1,2,float64,1,0.46211715726000974,記述的評価,4096,-0.01750799239296331,0.4560553284835266,0.021525633584420056,0.057373046875,0.003662109375,0.006061828776483147,0.013117515074369908
B,wide,0.5,1.0,1,2,float64,2,0.2270326087174543,記述的評価,4096,-0.007448540081249843,0.22328619713303602,0.020218433438003003,0.058349609375,0.0078125,0.003746411584418269,0.01650164531686608
B,wide,0.5,1.0,1,2,float64,4,0.05645551423322024,記述的評価,4096,-0.0024673183820621797,0.055750388652972556,0.02436093303475595,0.055908203125,0.00390625,0.0007051255802476841,0.012489932822766949
B,wide,0.5,1.0,1,2,float64,8,0.003527225540767175,記述的評価,4096,-0.00014407444870071857,0.003489487769619124,0.023611837976214356,0.055419921875,0.005126953125,3.773777114805116e-05,0.010698995772139695
B,wide,0.5,1.0,1,2,float64,16,1.3778205722357871e-05,記述的評価,4096,-5.775133200639186e-07,1.3627105587518147e-05,0.023855913232569637,0.055419921875,0.005126953125,1.5110013483972473e-07,0.010966604642470594
B,wide,0.5,1.0,1,2,float64,32,2.1023873477275458e-10,記述的評価,4096,-8.81215393163971e-12,2.0793312969665696e-10,0.023855913231572212,0.055419921875,0.005126953125,2.3056050760976233e-12,0.01096660460114419
B,wide,0.5,1.0,1,2,float64,64,4.895001993811563e-20,記述的評価,4096,-2.0517394718806514e-21,4.841320442423619e-20,0.023855913231572212,0.055419921875,0.005126953125,5.368155138794387e-22,5.368155138794387e-10
B,wide,0.5,1.0,1,2,float64,128,2.6535858980056862e-39,記述的評価,4096,-1.1122501963936319e-40,2.6244850706870857e-39,0.023855913231572212,0.055419921875,0.005126953125,2.9100827318600495e-41,2.9100827318600494e-29
B,wide,0.5,1.0,1,2,float64,256,7.798188081318427e-78,記述的評価,4096,-3.268609556404235e-79,7.712668436025253e-78,0.023855913231572212,0.055419921875,0.005126953125,8.551964529317445e-80,8.551964529317444e-68
B,wide,0.5,1.0,1,2,float64,512,6.734646669459448e-155,記述的評価,4096,-2.822826306989946e-156,6.660790462307074e-155,0.023855913231572212,0.055419921875,0.005126953125,7.385620715237438e-157,7.385620715237437e-145
B,wide,0.5,1.0,1,2,float64,1024,5.02292895650712e-309,記述的評価,4096,-2.1053600422527e-310,4.96784448070147e-309,0.0238559132315721,0.055419921875,0.005126953125,5.508447580565e-311,5.508447580565201e-299
B,wide,0.5,1.0,1,2,float64,2048,0.0,記述的評価,4096,0.0,0.0,,0.0,0.0,0.0,0.0
B,wide,0.5,1.0,1,2,float64,4096,0.0,記述的評価,4096,0.0,0.0,,0.0,0.0,0.0,0.0
B,wide,0.5,1.0,1,3,float64,0,1.0,記述的評価,4096,-0.005739887053374382,1.0266549755453687,0.012742070609970346,0.069091796875,0.00537109375,0.026654975545368664,0.026654975545368664
B,wide,0.5,1.0,1,3,float64,1,0.46211715726000974,記述的評価,4096,-0.000956229544902879,0.47631128345072005,0.011220749739260016,0.068115234375,0.007568359375,0.01419412619071031,0.030715427825424798
B,wide,0.5,1.0,1,3,float64,2,0.2270326087174543,記述的評価,4096,0.00018899612622743912,0.23460896693756872,0.012077277767349348,0.063232421875,0.007080078125,0.007576358220114432,0.03337123359906123
B,wide,0.5,1.0,1,3,float64,4,0.05645551423322024,記述的評価,4096,-0.000505321747422514,0.058300104795871194,0.008289422322222073,0.063232421875,0.008544921875,0.0018445905626509537,0.03267334622143141
B,wide,0.5,1.0,1,3,float64,8,0.003527225540767175,記述的評価,4096,-2.24215159869521e-05,0.003643241062736867,0.00869723129624933,0.063720703125,0.00537109375,0.00011601552196969199,0.032891438505647276
B,wide,0.5,1.0,1,3,float64,16,1.3778205722357871e-05,記述的評価,4096,-7.621480430595116e-08,1.4227843695726595e-05,0.009185939018381162,0.063720703125,0.00537109375,4.496379733687239e-07,0.03263400056794748
B,wide,0.5,1.0,1,3,float64,32,2.1023873477275458e-10,記述的評価,4096,-1.162945622344226e-12,2.1709966577219565e-10,0.009185939024888734,0.063720703125,0.00537109375,6.860930999441075e-12,0.032634000612955565
B,wide,0.5,1.0,1,3,float64,64,4.895001993811563e-20,記述的評価,4096,-2.7076937778485615e-22,5.0547454918780284e-20,0.009185939024888734,0.063720703125,0.00537109375,1.5974349806646526e-21,1.5974349806646526e-09
B,wide,0.5,1.0,1,3,float64,128,2.6535858980056862e-39,記述的評価,4096,-1.4678437381844466e-41,2.740183021827734e-39,0.009185939024888734,0.063720703125,0.00537109375,8.659712382204781e-41,8.659712382204781e-29
B,wide,0.5,1.0,1,3,float64,256,7.798188081318427e-78,記述的評価,4096,-4.3136050553142145e-80,8.052674155944116e-78,0.009185939024888734,0.063720703125,0.00537109375,2.5448607462568833e-79,2.5448607462568834e-67
B,wide,0.5,1.0,1,3,float64,512,6.734646669459448e-155,記述的評価,4096,-3.725302033780105e-157,6.954425132998627e-155,0.009185939024888734,0.063720703125,0.00537109375,2.1977846353917878e-156,2.197784635391788e-144
B,wide,0.5,1.0,1,3,float64,1024,5.02292895650712e-309,記述的評価,4096,-2.7784571894565e-311,5.186847223152604e-309,0.009185939024888734,0.063720703125,0.00537109375,1.6391826664548e-310,1.6391826664548134e-298
B,wide,0.5,1.0,1,3,float64,2048,0.0,記述的評価,4096,0.0,0.0,,0.0,0.0,0.0,0.0
B,wide,0.5,1.0,1,3,float64,4096,0.0,記述的評価,4096,0.0,0.0,,0.0,0.0,0.0,0.0
B,wide,0.5,1.0,1,4,float64,0,1.0,記述的評価,4096,0.024900466577316656,0.9891616556420935,0.011400593903307943,0.06787109375,0.007568359375,0.010838344357906537,0.010838344357906537
B,wide,0.5,1.0,1,4,float64,1,0.46211715726000974,記述的評価,4096,0.012276536426045707,0.4526629834734004,0.010634926393254696,0.0654296875,0.006103515625,0.009454173786609343,0.020458391639611776
B,wide,0.5,1.0,1,4,float64,2,0.2270326087174543,記述的評価,4096,0.0017065821930280901,0.22265993091634848,0.007172997409447879,0.06201171875,0.0068359375,0.004372677801105812,0.019260131070192123
B,wide,0.5,1.0,1,4,float64,4,0.05645551423322024,記述的評価,4096,0.0010015142528023541,0.05586158624384831,0.008015282058921436,0.0673828125,0.0068359375,0.0005939279893719326,0.010520283048319952
B,wide,0.5,1.0,1,4,float64,8,0.003527225540767175,記述的評価,4096,9.426920331278085e-05,0.0034832669120818407,0.009753625393996934,0.067626953125,0.009033203125,4.395862868533445e-05,0.012462664543921795
B,wide,0.5,1.0,1,4,float64,16,1.3778205722357871e-05,記述的評価,4096,3.682390758042739e-07,1.3606529751136632e-05,0.009754699201343975,0.067626953125,0.009033203125,1.7167597122123882e-07,0.012459965737241134
B,wide,0.5,1.0,1,4,float64,32,2.1023873477275458e-10,記述的評価,4096,5.618882382267447e-12,2.07619167349503e-10,0.009754699217729312,0.067626953125,0.009033203125,2.619567423251571e-12,0.012459965696059963
B,wide,0.5,1.0,1,4,float64,64,4.895001993811563e-20,記述的評価,4096,1.308248001678718e-21,4.834010436886526e-20,0.009754699217729312,0.067626953125,0.009033203125,6.09915569250372e-22,6.09915569250372e-10
B,wide,0.5,1.0,1,4,float64,128,2.6535858980056862e-39,記述的評価,4096,7.092026627849429e-41,2.620522308744987e-39,0.009754699217729312,0.067626953125,0.009033203125,3.306358926069932e-41,3.3063589260699324e-29
B,wide,0.5,1.0,1,4,float64,256,7.798188081318427e-78,記述的評価,4096,2.0841593092295604e-79,7.701022925333776e-78,0.009754699217729312,0.067626953125,0.009033203125,9.716515598465126e-80,9.716515598465127e-68
B,wide,0.5,1.0,1,4,float64,512,6.734646669459448e-155,記述的評価,4096,1.7999151090175688e-156,6.650733202982899e-155,0.009754699217729312,0.067626953125,0.009033203125,8.39134664765492e-157,8.391346647654921e-145
B,wide,0.5,1.0,1,4,float64,1024,5.02292895650712e-309,記述的評価,4096,1.34243801702886e-310,4.960343434015296e-309,0.009754699217729312,0.067626953125,0.009033203125,6.2585522491826e-311,6.258552249182624e-299
