stage,beta,gamma0,condition,seed,dtype,start,stop,status,n,median,estimated_scale,ks,tail10,tail100,theoretical_scale,lyapunov,theoretical_lyapunov,log_sensitivity
C,1.0001,0.017318949386946766,0,4,float32,50000,100000,記述的評価,50000,0.01462186360731721,0.018524237617384642,0.27274417180875443,0.0765,0.00782,0.017318949386946766,0.04394606135437392,0.03444136656343561,2197.303067718696
C,1.0001,0.017318949386946766,0,4,float32,100000,150000,記述的評価,50000,0.0041254060342907906,0.022863429505378008,0.1304069455522182,0.06718,0.00716,0.017318949386946766,0.037699646962726006,0.03444136656343561,1884.9823481363003
C,1.0001,0.017318949386946766,0,4,float32,150000,200000,記述的評価,50000,-0.0012133935815654695,0.013958974624983966,0.22850315942295707,0.0543,0.00552,0.017318949386946766,0.029160005305461232,0.03444136656343561,1458.0002652730616
C,1.0001,0.017318949386946766,0,5,float64,0,200000,記述的評価,200000,0.002164931597391406,0.009372369375049695,0.18509337899206307,0.052665,0.00541,0.017318949386946766,0.029049444701338002,0.03444136656343561,5809.8889402676
C,1.0001,0.017318949386946766,0,5,float64,0,50000,記述的評価,50000,0.007314258086005708,0.01632210459739581,0.14038754269116882,0.05268,0.00514,0.017318949386946766,0.02669822377758802,0.03444136656343561,1334.911188879401
C,1.0001,0.017318949386946766,0,5,float64,50000,100000,記述的評価,50000,0.0024239319798580825,0.00444205352001551,0.27812475217802773,0.05592,0.00602,0.017318949386946766,0.032303379453010324,0.03444136656343561,1615.1689726505163
C,1.0001,0.017318949386946766,0,5,float64,100000,150000,記述的評価,50000,-0.003663401680146154,0.016470217506652937,0.21406472773043572,0.07794,0.00824,0.017318949386946766,0.043901278370691,0.03444136656343561,2195.06391853455
C,1.0001,0.017318949386946766,0,5,float64,150000,200000,記述的評価,50000,0.004369189259130095,0.003736338291777581,0.46747619405434904,0.02412,0.00224,0.017318949386946766,0.013294897204062725,0.03444136656343561,664.7448602031362
C,1.0001,0.017318949386946766,0,5,float32,0,200000,記述的評価,200000,0.001412523037288338,0.011306141503155231,0.1273318078483756,0.04901,0.004995,0.017318949386946766,0.02689264989452741,0.03444136656343561,5378.5299789054825
C,1.0001,0.017318949386946766,0,5,float32,0,50000,記述的評価,50000,0.0038942787796258926,0.004475036010262556,0.37205238370555316,0.02204,0.0024,0.017318949386946766,0.012771388320546423,0.03444136656343561,638.5694160273212
C,1.0001,0.017318949386946766,0,5,float32,50000,100000,記述的評価,50000,0.007739691063761711,0.0208496933337301,0.1486530817258198,0.0759,0.00772,0.017318949386946766,0.04059599029431257,0.03444136656343561,2029.7995147156287
C,1.0001,0.017318949386946766,0,5,float32,100000,150000,記述的評価,50000,0.003262236132286489,0.006493543682154268,0.3990148223730645,0.05332,0.00594,0.017318949386946766,0.03197985104900216,0.03444136656343561,1598.992552450108
C,1.0001,0.017318949386946766,0,5,float32,150000,200000,記述的評価,50000,-0.004818529589101672,0.006168056235765107,0.4149789357313175,0.04478,0.00392,0.017318949386946766,0.022223369914248527,0.03444136656343561,1111.1684957124264
C,1.0001,0.017318949386946766,0,6,float64,0,200000,記述的評価,200000,0.004904079905768766,0.011557716618684474,0.16601962985002777,0.052125,0.005375,0.017318949386946766,0.028483332139666962,0.03444136656343561,5696.666427933393
C,1.0001,0.017318949386946766,0,6,float64,0,50000,記述的評価,50000,0.003665054883298434,0.0030716175688425256,0.4748346298500278,0.02016,0.00196,0.017318949386946766,0.01020933446985698,0.03444136656343561,510.466723492849
C,1.0001,0.017318949386946766,0,6,float64,50000,100000,記述的評価,50000,-0.0027023473151028994,0.01584002109581622,0.09984316411201216,0.06708,0.00662,0.017318949386946766,0.034558593971738265,0.03444136656343561,1727.9296985869132
C,1.0001,0.017318949386946766,0,6,float64,100000,150000,記述的評価,50000,0.005568525477417692,0.013422727471541142,0.14709255972865815,0.0521,0.00586,0.017318949386946766,0.03147511648843541,0.03444136656343561,1573.7558244217703
C,1.0001,0.017318949386946766,0,6,float64,150000,200000,記述的評価,50000,0.014459929561860315,0.018577570273928274,0.2634937160669571,0.06916,0.00706,0.017318949386946766,0.03769028362863722,0.03444136656343561,1884.5141814318608
C,1.0001,0.017318949386946766,0,6,float32,0,200000,記述的評価,200000,0.0026361558120697737,0.011550237191841006,0.2081646303662879,0.04457,0.004465,0.017318949386946766,0.024473363477607972,0.03444136656343561,4894.6726955215945
C,1.0001,0.017318949386946766,0,6,float32,0,50000,記述的評価,50000,0.0026801637141034007,0.0050871873390860856,0.3972146303662879,0.01702,0.00142,0.017318949386946766,0.008383903401327183,0.03444136656343561,419.19517006635914
