stage,group,beta,gamma0,condition,seed,dtype,kind,x,argument,y,step,sample_index,pole_distance_fp,pole_distance_mp,reference,argument_error,multiplication_effect,tan_evaluation_error,total_error,scaled_error
B,wide,0.5,0.1,0,0,float64,pole,-2.820390606529667,-1.4101953032648336,-6.172984426018165,0,3122,0.160601023530063,0.160601023530063064141058729600191362523999738750052910487472296153908203143104499314017412671058534,-6.172984426018165325760618294437017723938078420910390004284508256768365159674750565016837334478108453,0.0,0.0,0.0000000000000001097393021393442270010910935576291400042845082567683651596747505650168373344781084526151787194227087,0.0000000000000001097393021393442270010910935576291400042845082567683651596747505650168373344781084526151787194227087,1.7777349587471857e-17
B,wide,0.5,0.1,0,0,float64,pole,-3.4642113675887365,-1.7321056837943682,6.145405110662712,1,560,0.1613093569994717,0.161309356999471625700794193963955841636690568867134589512527703846091796856895500685982587328941466,6.145405110662712097049441046900041903471206961471032005951901078898158170169282626072864201448429623,0.0,0.0,0.00000000000000001444170501397091845133378571431021799404809892110184182983071737392713579855157037745797862965406864,0.00000000000000001444170501397091845133378571431021799404809892110184182983071737392713579855157037745797862965406864,2.350000488806432e-18
B,wide,0.5,0.1,0,0,float64,pole,2.818581232559644,1.409290616279822,6.13780244332383,1,3276,0.16150571051507456,0.161505710515074624337371259624634184265103864726615410487472296153908203143104499314017412671058534,6.137802443323829717032666604612346737751066251554325905524774246102829504995629891181798352747461711,0.0,0.0,0.0000000000000001314767098565396405764731769125081740944752257538971704950043701088182016472525382889965962963977086,0.0000000000000001314767098565396405764731769125081740944752257538971704950043701088182016472525382889965962963977086,2.142081161304705e-17
B,wide,0.5,0.1,0,0,float64,pole,-217.11252970964688,-108.55626485482344,5.779869683912811,0,1123,0.17131830597557673,0.1713183059755725095363097761476168037914057215588491763644115653803339831257895473327985256969611544,5.779869683912811435138745767196137597827697187039436366739864754116832596917355889504294540514872203,0.0,0.0,0.00000000000000001736902868551338105466821232375818636673986475411683259691735588950429454051487220292974815611758175,0.00000000000000001736902868551338105466821232375818636673986475411683259691735588950429454051487220292974815611758175,3.005090016796889e-18
B,wide,0.5,0.1,0,0,float64,pole,2.7959855268074154,1.3979927634037077,5.7292015184867795,0,282,0.17280356339118885,0.172803563391188913681771536229208357953992414531302910487472296153908203143104499314017412671058534,5.729201518486779751774048049185809773513367191743683087216801437886029130761701630006137506017703739,0.0,0.0,0.0000000000000002532005790220074477616038823284624330872168014378860291307617016300061375060177037389692999391331032,0.0000000000000002532005790220074477616038823284624330872168014378860291307617016300061375060177037389692999391331032,4.419474130993455e-17
B,wide,0.5,0.1,0,0,float64,pole,2.7956854154799498,1.3978427077399749,5.724130432794609,0,0,0.17295361905492168,0.172953619054921742429696477355465539121594953593802910487472296153908203143104499314017412671058534,5.724130432794608987688584310033325715040497715549214745045819415968499427574042150074494680532482755,0.0,0.0,0.0000000000000002294595241241929723453276681257054647450458194159684994275740421500744946805324827554462240173796778,0.0000000000000002294595241241929723453276681257054647450458194159684994275740421500744946805324827554462240173796778,4.0086354917696606e-17
B,wide,0.5,0.1,0,0,float64,pole,9.076990521253867,4.5384952606269335,5.692557197891537,0,1991,0.17389371975775614,0.173893719757756321464066183740363263559242868593908731462416888461724609429313497942052238013175602,5.692557197891536484904375286389513379671773763930287953466383352718473118860533518000476630535336803,0.0,0.0,0.0000000000000003171990984602939351734135533845072120465336166472815268811394664819995233694646631971354342025315251,0.0000000000000003171990984602939351734135533845072120465336166472815268811394664819995233694646631971354342025315251,5.572172354768454e-17
B,wide,0.5,0.1,0,0,float64,pole,2.7886907722049665,1.3943453861024833,5.6083582137916705,1,2005,0.1764509406924133,0.176450940692413355163280156428955741548505353984427910487472296153908203143104499314017412671058534,5.608358213791670567467770490575632548583694372944276890552222233548513930482091038553783362059401542,0.0,0.0,0.00000000000000002401005800721613178278321829872552689055222223354851393048209103855378336205940154191890779752626557,0.00000000000000002401005800721613178278321829872552689055222223354851393048209103855378336205940154191890779752626557,4.2811206224617264e-18
B,wide,0.5,0.1,0,0,float64,pole,2.768664361922899,1.3843321809614495,5.300662047051267,0,1355,0.18646414583344706,0.186464145833447120407454148388497777605023908671927910487472296153908203143104499314017412671058534,5.300662047051266587433858549274379857507694923126900830746077040085611552793307901621017988525893263,0.0,0.0,0.0000000000000002800362177001723400273647416003105991692539229599143884472066920983789820114741067372471973524234632,0.0000000000000002800362177001723400273647416003105991692539229599143884472066920983789820114741067372471973524234632,5.283042291970966e-17
B,wide,0.5,0.1,0,0,float64,pole,-21.61710172122567,-10.808550860612835,-5.284436733444418,0,1957,0.18702342695144125,0.1870234269514416803573917181084173269746387962503703734123060730773574220017314951981218886974097379,-5.284436733444418086661999319482033928206425610199618319729767366236679287855766751162749445181756392,0.0,0.0,0.0000000000000003569772795289406572977991285890191316802702326337633207121442332488372505548182436084892110058727759,0.0000000000000003569772795289406572977991285890191316802702326337633207121442332488372505548182436084892110058727759,6.75525694668051e-17
B,wide,0.5,0.1,0,0,float64,pole,9.048564544939174,4.524282272469587,5.2532808777968825,0,2044,0.18810670791510287,0.188106707915103050176648445973262929391762399843908731462416888461724609429313497942052238013175602,5.253280877796882509296370297868059305209580730314163339316993093555895263388669720268208692868018238,0.0,0.0,0.00000000000000004501514518653254332925743229281416333931699309355589526338866972026820869286801823791235807815479655,0.00000000000000004501514518653254332925743229281416333931699309355589526338866972026820869286801823791235807815479655,8.568958377380911e-18
B,wide,0.5,0.1,0,0,float64,pole,3.5226717613260425,1.7613358806630213,-5.184586684763692,1,3554,0.1905395538681247,0.190539553868124650167560704122733078575167131367134589512527703846091796856895500685982587328941466,-5.18458668476369275968243813174326846013370769522015618269701606930011817459894471850541709477525885,0.0,0.0,0.0000000000000004272152938347730500401050211717826561826970160693001181745989447185054170947752588497009119084819416,0.0000000000000004272152938347730500401050211717826561826970160693001181745989447185054170947752588497009119084819416,8.240103209967739e-17
B,wide,0.5,0.1,0,0,float64,pole,2.730625213193578,1.365312606596789,4.797877422503154,0,313,0.20548372019810746,0.205483720198107516933459718583181746625867414531302910487472296153908203143104499314017412671058534,4.797877422503153790497750451770351157386577722960835846662555448191782258492234940174293313264015793,0.0,0.0,0.0000000000000001752515835683041057727739447379766641533374445518082177415077650598257066867359842069865089696557958,0.0000000000000001752515835683041057727739447379766641533374445518082177415077650598257066867359842069865089696557958,3.652689890457261e-17
B,wide,0.5,0.1,0,0,float64,pole,9.837396343137172,4.918698171568586,-4.778128129456033,1,2687,0.20630919118389635,0.206309191183896161781368084870188689756491994687341268537583111538275390570686502057947761986824398,-4.77812812945603324173736019110527515955927338392414494222089583334555533517466992446646769159620046,0.0,0.0,0.00000000000000008434118263357539356299402680189289494222089583334555533517466992446646769159620045963707486137117072,0.00000000000000008434118263357539356299402680189289494222089583334555533517466992446646769159620045963707486137117072,1.7651511292389145e-17
