stage,beta,gamma0,condition,seed,dtype,theoretical_scale,gate,status,n,median,estimated_scale,ks,tail10,tail100,decision
A,0.9,1.0,4,9,float64,0.7162978701990244,0.007295692186922878,記述的評価,100000,-0.0023427954534312404,0.7173186908517327,0.0027102005429211484,0.06288,0.00619,整合
A,0.9,1.0,4,9,float32,0.7162978701990244,0.007295692186922878,記述的評価,100000,-0.0023427954874932766,0.7173186019062996,0.0027102357673645106,0.06288,0.00619,精度診断
A,0.9,10.0,5,0,float64,0.999999969540041,0.007295692186922878,記述的評価,100000,0.0013447622438951348,1.0014246370541255,0.0017604413538851171,0.06242,0.00612,整合
A,0.9,10.0,5,0,float32,0.999999969540041,0.007295692186922878,記述的評価,100000,0.001312633859924972,1.0013638138771057,0.0017599672889709594,0.06241,0.00613,精度診断
A,0.9,10.0,5,1,float64,0.999999969540041,0.007295692186922878,記述的評価,100000,-0.0063856644403520535,1.0006285111833548,0.0027092433748211464,0.06405,0.00647,整合
A,0.9,10.0,5,1,float32,0.999999969540041,0.007295692186922878,記述的評価,100000,-0.006385544314980507,1.00062807649374,0.0027104055023193796,0.06405,0.00647,精度診断
A,0.9,10.0,5,2,float64,0.999999969540041,0.007295692186922878,記述的評価,100000,0.0048501027859274345,1.002942774788611,0.002570885987990379,0.0638,0.0066,整合
A,0.9,10.0,5,2,float32,0.999999969540041,0.007295692186922878,記述的評価,100000,0.0048590125516057014,1.002878986299038,0.0025738682556152304,0.0638,0.00659,精度診断
A,0.9,10.0,5,3,float64,0.999999969540041,0.007295692186922878,記述的評価,100000,-0.006017115915017615,0.996343971338021,0.003235824092585271,0.06213,0.00623,整合
A,0.9,10.0,5,3,float32,0.999999969540041,0.007295692186922878,記述的評価,100000,-0.006017256528139114,0.9963430464267731,0.0032358810234069946,0.06213,0.00623,精度診断
A,0.9,10.0,5,4,float64,0.999999969540041,0.007295692186922878,記述的評価,100000,-0.007192681159346955,1.000835557663163,0.004528813121871006,0.06302,0.0064,整合
A,0.9,10.0,5,4,float32,0.999999969540041,0.007295692186922878,記述的評価,100000,-0.007193395402282476,1.0008432045578957,0.004528867874145498,0.06302,0.0064,精度診断
A,0.9,10.0,5,5,float64,0.999999969540041,0.007295692186922878,記述的評価,100000,-0.0005346382995628329,1.0026711802129271,0.0020684849931579263,0.06388,0.00665,整合
A,0.9,10.0,5,5,float32,0.999999969540041,0.007295692186922878,記述的評価,100000,-0.0005349874845705926,1.0026711970567703,0.002068049926757798,0.06388,0.00665,精度診断
A,0.9,10.0,5,6,float64,0.999999969540041,0.007295692186922878,記述的評価,100000,0.0010479596171965775,1.0003993600965575,0.0018958184221899987,0.06209,0.00628,整合
A,0.9,10.0,5,6,float32,0.999999969540041,0.007295692186922878,記述的評価,100000,0.0010480128694325686,1.0004005804657936,0.0018958520507812437,0.06209,0.00628,精度診断
A,0.9,10.0,5,7,float64,0.999999969540041,0.007295692186922878,記述的評価,100000,0.0007171222512144257,1.0039910378575971,0.0022270008856034584,0.06333,0.00644,整合
A,0.9,10.0,5,7,float32,0.999999969540041,0.007295692186922878,記述的評価,100000,0.0007165234419517219,1.0039915218949318,0.0022268996810913544,0.06333,0.00644,精度診断
A,0.9,10.0,5,8,float64,0.999999969540041,0.007295692186922878,記述的評価,100000,-0.0009272191432899806,0.991784271080813,0.002571750326590294,0.06348,0.00646,整合
A,0.9,10.0,5,8,float32,0.999999969540041,0.007295692186922878,記述的評価,100000,-0.0009220882202498615,0.991784043610096,0.00257186559677125,0.06348,0.00647,精度診断
A,0.9,10.0,5,9,float64,0.999999969540041,0.007295692186922878,記述的評価,100000,0.003451806476938787,0.9959896687176841,0.00210289333535596,0.06333,0.00668,整合
A,0.9,10.0,5,9,float32,0.999999969540041,0.007295692186922878,記述的評価,100000,0.003451583907008171,0.9959898442029953,0.0021029122829437363,0.06333,0.00668,精度診断
A,1.0,0.1,6,0,float64,0.09966799462495582,0.007295692186922878,記述的評価,100000,-0.00017341572873809507,0.10006308454815663,0.0034010333477720034,0.06402,0.00603,整合
A,1.0,0.1,6,0,float32,0.09966799462495582,0.007295692186922878,記述的評価,100000,-0.00017341572674922645,0.10006308369338512,0.003401025352478021,0.06402,0.00603,精度診断
A,1.0,0.1,6,1,float64,0.09966799462495582,0.007295692186922878,記述的評価,100000,4.290840462824312e-05,0.09994528224458944,0.003017764504774978,0.06389,0.00626,整合
A,1.0,0.1,6,1,float32,0.09966799462495582,0.007295692186922878,記述的評価,100000,4.290840297471732e-05,0.09994528535753489,0.00301780368804927,0.06389,0.00626,精度診断
A,1.0,0.1,6,2,float64,0.09966799462495582,0.007295692186922878,記述的評価,100000,0.00022573868135835167,0.10012218256020058,0.0024234907379729886,0.06452,0.00701,整合
A,1.0,0.1,6,2,float32,0.09966799462495582,0.007295692186922878,記述的評価,100000,0.00022573868045583367,0.10012218076735735,0.002423491954803514,0.06452,0.00701,精度診断
A,1.0,0.1,6,3,float64,0.09966799462495582,0.007295692186922878,記述的評価,100000,0.00026219192743750515,0.10068163845650072,0.004329639467837487,0.06343,0.00626,整合
A,1.0,0.1,6,3,float32,0.09966799462495582,0.007295692186922878,記述的評価,100000,0.0002621919265948236,0.10068163834512234,0.004329642362594588,0.06343,0.00626,精度診断
A,1.0,0.1,6,4,float64,0.09966799462495582,0.007295692186922878,記述的評価,100000,0.00030540984344149826,0.09967765662670408,0.0018084848021809874,0.06332,0.00619,整合
A,1.0,0.1,6,4,float32,0.09966799462495582,0.007295692186922878,記述的評価,100000,0.00030540983425453305,0.09967765677720308,0.0018084825706481955,0.06332,0.00619,精度診断
A,1.0,0.1,6,5,float64,0.09966799462495582,0.007295692186922878,記述的評価,100000,0.0013885607012870675,0.0992915130388035,0.004734748672038602,0.06396,0.00615,整合
A,1.0,0.1,6,5,float32,0.09966799462495582,0.007295692186922878,記述的評価,100000,0.0013885607477277517,0.09929151274263859,0.004734772758483885,0.06396,0.00615,精度診断
A,1.0,0.1,6,6,float64,0.09966799462495582,0.007295692186922878,記述的評価,100000,9.842280677220004e-05,0.09958562840796667,0.0018192754223851637,0.06357,0.00655,整合
A,1.0,0.1,6,6,float32,0.09966799462495582,0.007295692186922878,記述的評価,100000,9.842280996963382e-05,0.0995856262743473,0.0018193073558807338,0.06357,0.00655,精度診断
A,1.0,0.1,6,7,float64,0.09966799462495582,0.007295692186922878,記述的評価,100000,0.0006233327413769621,0.09965713755873279,0.0025317741144412764,0.06305,0.00619,整合
A,1.0,0.1,6,7,float32,0.09966799462495582,0.007295692186922878,記述的評価,100000,0.0006233327439986169,0.09965713787823915,0.002531753730773967,0.06305,0.00619,精度診断
A,1.0,0.1,6,8,float64,0.09966799462495582,0.007295692186922878,記述的評価,100000,-0.001067565817374563,0.10051800518162093,0.005524509788567833,0.06272,0.00664,整合
A,1.0,0.1,6,8,float32,0.09966799462495582,0.007295692186922878,記述的評価,100000,-0.0010675657540559769,0.10051800776273012,0.005524505357742293,0.06272,0.00664,精度診断
A,1.0,0.1,6,9,float64,0.09966799462495582,0.007295692186922878,記述的評価,100000,5.3677445165324465e-05,0.09867166656796374,0.0033520271571588767,0.06337,0.00663,整合
A,1.0,0.1,6,9,float32,0.09966799462495582,0.007295692186922878,記述的評価,100000,5.367744597606361e-05,0.09867166634649038,0.003352043933868454,0.06337,0.00663,精度診断
A,1.0,1.0,7,0,float64,0.7615941559557649,0.007295692186922878,記述的評価,100000,-0.0021492760794966795,0.759911921734715,0.003382842709656053,0.06408,0.00684,整合
A,1.0,1.0,7,0,float32,0.7615941559557649,0.007295692186922878,記述的評価,100000,-0.0021492191590368748,0.75991190969944,0.0033828160095215054,0.06408,0.00684,精度診断
A,1.0,1.0,7,1,float64,0.7615941559557649,0.007295692186922878,記述的評価,100000,0.003758331486391889,0.7560118898472086,0.0028175332665809627,0.06275,0.00602,整合
A,1.0,1.0,7,1,float32,0.7615941559557649,0.007295692186922878,記述的評価,100000,0.0037583315279334784,0.7560117915272713,0.0028175984001159726,0.06275,0.00602,精度診断
A,1.0,1.0,7,2,float64,0.7615941559557649,0.007295692186922878,記述的評価,100000,0.002586702646784377,0.7601916925656425,0.0026768769540920223,0.0627,0.00646,整合
