stage,beta,gamma0,condition,seed,dtype,nonfinite,first_failure_step,first_failure_index,zero_count,max_abs,min_pole
C,1.001,0.054723010317845995,3,17,float64,0,,,0,297733.71867650206,3.358705908285131e-06
C,1.001,0.054723010317845995,3,18,float64,0,,,0,3637.8689569444145,0.0002748862003134622
C,1.001,0.054723010317845995,3,19,float64,0,,,0,6299.179755092872,0.00015875082637406557
C,1.002,0.07732051980933523,4,0,float64,0,,,0,3700.085253064125,0.000270264036436485
C,1.002,0.07732051980933523,4,1,float64,0,,,0,8444.77029436626,0.00011841648268307026
C,1.002,0.07732051980933523,4,2,float64,0,,,0,33336.402059890206,2.9997238391032965e-05
C,1.002,0.07732051980933523,4,3,float64,0,,,0,6530060.247673515,1.5313794410332093e-07
C,1.002,0.07732051980933523,4,4,float64,0,,,0,3696.769609036659,0.00027050643706982846
C,1.002,0.07732051980933523,4,5,float64,0,,,0,15033.032694145304,6.652017719055436e-05
C,1.002,0.07732051980933523,4,6,float64,0,,,0,15148.900365406005,6.601139187845106e-05
C,1.002,0.07732051980933523,4,7,float64,0,,,0,5132.139909708807,0.00019485049218026518
C,1.002,0.07732051980933523,4,8,float64,0,,,0,4383.7981741468275,0.00022811268742994883
C,1.002,0.07732051980933523,4,9,float64,0,,,0,14336.14742773965,6.975374684303759e-05
C,1.002,0.07732051980933523,4,10,float64,0,,,0,38716.69096519083,2.5828653607673502e-05
C,1.002,0.07732051980933523,4,11,float64,0,,,0,48820.61276160708,2.0483151343064776e-05
C,1.002,0.07732051980933523,4,12,float64,0,,,0,247810.57817384327,4.035340247732222e-06
C,1.002,0.07732051980933523,4,13,float64,0,,,0,48168.18034618118,2.076059325206714e-05
C,1.002,0.07732051980933523,4,14,float64,0,,,0,25252.04314508264,3.9600756015278904e-05
C,1.002,0.07732051980933523,4,15,float64,0,,,0,5324.358572021913,0.0001878160485839775
C,1.002,0.07732051980933523,4,16,float64,0,,,0,30104.775587977507,3.321732117589349e-05
C,1.002,0.07732051980933523,4,17,float64,0,,,0,156237.12332799623,6.400527471805972e-06
C,1.002,0.07732051980933523,4,18,float64,0,,,0,52228.99922566341,1.914645148648475e-05
C,1.002,0.07732051980933523,4,19,float64,0,,,0,74864.81681382087,1.3357409294201261e-05
C,1.005,0.12192611348882824,5,0,float64,0,,,0,13328.652936376358,7.502633633693634e-05
C,1.005,0.12192611348882824,5,1,float64,0,,,0,15950.235705791343,6.26949981890057e-05
C,1.005,0.12192611348882824,5,2,float64,0,,,0,18715.48014650033,5.343170419469523e-05
