suite,batch,eta,kappa_index,kappa,snapshot,bins,hx_bits,hy_bits,hxy_bits,hcond_bits,mi_bits,mismatch_probability,fano_bound_bits,sync_fraction,median_logd,invalid_count,valid_count,shuffle_mi_bits,ever_entered_fraction,reexit_fraction,mean_exit_count
main,1,1e-06,4,0.3485318486896931,7500,8,2.99769159254032,2.99769159254032,3.0735180541480664,0.07582646160774642,2.9218651309325736,0.007568359375,0.08544965642326095,0.9453125,-129.1558782869929,0,4096,0.004315423258629103,1.0,0.976806640625,29.32568359375
main,1,1e-06,4,0.3485318486896931,7500,16,3.996720168752007,3.996720168752007,4.100955482579917,0.1042353138279104,3.8924848549240965,0.010986328125,0.13018555367866042,0.9453125,-129.1558782869929,0,4096,0.022090955622346087,1.0,0.976806640625,29.32568359375
main,1,1e-06,4,0.3485318486896931,7500,32,4.993185871180758,4.993185871180758,5.133466895779762,0.1402810245990036,4.852904846581755,0.015869140625,0.19619042891127825,0.9453125,-129.1558782869929,0,4096,0.0837098588143359,1.0,0.976806640625,29.32568359375
main,1,1e-06,4,0.3485318486896931,30000,8,2.9985201690981604,2.9985201690981604,3.030658365044783,0.032138195946622705,2.9663819731515377,0.003173828125,0.039823031986236254,0.9716796875,-258.12672164473236,0,4096,0.007003617149314856,1.0,0.98876953125,62.13330078125
main,1,1e-06,4,0.3485318486896931,30000,16,3.9980401238800525,3.9980401238800525,4.04197616869366,0.04393604481360747,3.954104079066445,0.004638671875,0.060758747561602974,0.9716796875,-258.12672164473236,0,4096,0.019633459627470096,1.0,0.98876953125,62.13330078125
main,1,1e-06,4,0.3485318486896931,30000,32,4.994638408567074,4.994638408567074,5.059724334051596,0.06508592548452263,4.929552483082551,0.007080078125,0.09582029805615845,0.9716796875,-258.12672164473236,0,4096,0.10253813996291328,1.0,0.98876953125,62.13330078125
main,1,1e-06,5,0.3505318486896931,0,8,2.999458830488709,2.999458830488709,5.993278730777529,2.99381990028882,0.005638930199888925,0.86376953125,2.999188613569403,0.0,-0.41984138284523786,0,4096,0.006808999266746163,0.0,0.0,0.0
main,1,1e-06,5,0.3505318486896931,0,16,3.998859270821984,3.998859270821984,7.9720505245403235,3.9731912537183396,0.025668017103644303,0.936279296875,3.9999817655730334,0.0,-0.41984138284523786,0,4096,0.021585711124396667,0.0,0.0,0.0
main,1,1e-06,5,0.3505318486896931,0,32,4.997426633458533,4.997426633458533,9.901812493060312,4.9043858596017795,0.09304077385675313,0.967529296875,4.999964932761817,0.0,-0.41984138284523786,0,4096,0.07465017168722277,0.0,0.0,0.0
main,1,1e-06,5,0.3505318486896931,100,8,2.9994930487392657,2.9994930487392657,3.339977906302476,0.34048485756321023,2.6590081911760555,0.04443359375,0.38700405768677026,0.6162109375,-15.579489366491554,0,4096,0.003920561167341852,0.928955078125,0.678955078125,1.366455078125
main,1,1e-06,5,0.3505318486896931,100,16,3.997312813894848,3.997312813894848,4.520228285210866,0.522915471316018,3.47439734257883,0.069580078125,0.6361963801663587,0.6162109375,-15.579489366491554,0,4096,0.020858059307165888,0.928955078125,0.678955078125,1.366455078125
main,1,1e-06,5,0.3505318486896931,100,32,4.996015466198202,4.996015466198202,5.724271974209243,0.7282565080110412,4.2677589581871604,0.098876953125,0.9552813129884005,0.6162109375,-15.579489366491554,0,4096,0.09323503037942338,0.928955078125,0.678955078125,1.366455078125
main,1,1e-06,5,0.3505318486896931,1000,8,2.9989632124314047,2.9989632124314047,3.126848863656887,0.12788565122548246,2.8710775612059223,0.013427734375,0.1404401439579963,0.8818359375,-54.039727703744674,0,4096,0.005921611727559117,1.0,0.927001953125,8.321533203125
main,1,1e-06,5,0.3505318486896931,1000,16,3.997722862838546,3.997722862838546,4.194237387966553,0.19651452512800738,3.8012083377105386,0.02197265625,0.2382223807249485,0.8818359375,-54.039727703744674,0,4096,0.022454077089490987,1.0,0.927001953125,8.321533203125
main,1,1e-06,5,0.3505318486896931,1000,32,4.996367636347039,4.996367636347039,5.2513556875077105,0.25498805116067125,4.741379585186368,0.02978515625,0.34087479144881283,0.8818359375,-54.039727703744674,0,4096,0.098361408438711,1.0,0.927001953125,8.321533203125
main,1,1e-06,5,0.3505318486896931,7500,8,2.9991173410607854,2.9991173410607854,3.0338330540657066,0.034715713004921156,2.9644016280558643,0.003173828125,0.039823031986236254,0.975341796875,-188.90864882707018,0,4096,0.00330973237604848,1.0,0.963623046875,22.4443359375
main,1,1e-06,5,0.3505318486896931,7500,16,3.9967327512705744,3.9967327512705744,4.043512211272578,0.0467794600020035,3.949953291268571,0.004638671875,0.060758747561602974,0.975341796875,-188.90864882707018,0,4096,0.018461398272052953,1.0,0.963623046875,22.4443359375
main,1,1e-06,5,0.3505318486896931,7500,32,4.994529380885803,4.994529380885803,5.0557353355209,0.06120595463509737,4.9333234262507055,0.006591796875,0.0898939054045664,0.975341796875,-188.90864882707018,0,4096,0.09417652362980533,1.0,0.963623046875,22.4443359375
main,1,1e-06,5,0.3505318486896931,30000,8,2.9983626549532527,2.9983626549532527,3.0067433943522115,0.00838073939895878,2.989981915554294,0.000732421875,0.010740643800650183,0.99365234375,-541.7573380431938,0,4096,0.005003716546990944,1.0,0.970947265625,34.09423828125
main,1,1e-06,5,0.3505318486896931,30000,16,3.9974764904205875,3.9974764904205875,4.007648790285834,0.01017229986524626,3.9873041905553412,0.0009765625,0.014989141568493472,0.99365234375,-541.7573380431938,0,4096,0.020248057381398787,1.0,0.970947265625,34.09423828125
main,1,1e-06,5,0.3505318486896931,30000,32,4.9952313753096345,4.9952313753096345,5.013737697858548,0.018506322548913268,4.976725052760721,0.001953125,0.03006929990480932,0.99365234375,-541.7573380431938,0,4096,0.08798854187384464,1.0,0.970947265625,34.09423828125
main,1,1e-06,6,0.3585318486896931,0,8,2.999458830488709,2.999458830488709,5.993278730777529,2.99381990028882,0.005638930199888925,0.86376953125,2.999188613569403,0.0,-0.41984138284523786,0,4096,0.004926866365820182,0.0,0.0,0.0
main,1,1e-06,6,0.3585318486896931,0,16,3.998859270821984,3.998859270821984,7.9720505245403235,3.9731912537183396,0.025668017103644303,0.936279296875,3.9999817655730334,0.0,-0.41984138284523786,0,4096,0.01641676373206913,0.0,0.0,0.0
main,1,1e-06,6,0.3585318486896931,0,32,4.997426633458533,4.997426633458533,9.901812493060312,4.9043858596017795,0.09304077385675313,0.967529296875,4.999964932761817,0.0,-0.41984138284523786,0,4096,0.09703005322561609,0.0,0.0,0.0
main,1,1e-06,6,0.3585318486896931,100,8,2.996921914941898,2.996921914941898,3.291604306643575,0.29468239170167676,2.7022395232402214,0.037353515625,0.33488828819158134,0.673583984375,-18.214039693706084,0,4096,0.00369213665326118,0.9462890625,0.669189453125,1.41650390625
main,1,1e-06,6,0.3585318486896931,100,16,3.995492182747466,3.995492182747466,4.450248091505822,0.4547559087583557,3.5407362739891104,0.06005859375,0.562319825658736,0.673583984375,-18.214039693706084,0,4096,0.017639703510073268,0.9462890625,0.669189453125,1.41650390625
main,1,1e-06,6,0.3585318486896931,100,32,4.993693138293122,4.993693138293122,5.6033342539597815,0.6096411156666592,4.384052022626463,0.080322265625,0.8012459684693749,0.673583984375,-18.214039693706084,0,4096,0.08558659242225453,0.9462890625,0.669189453125,1.41650390625
main,1,1e-06,6,0.3585318486896931,1000,8,2.9990065103080648,2.9990065103080648,3.0356634582524,0.03665694794433527,2.9623495623637295,0.00341796875,0.042520306047959075,0.962158203125,-94.28659289833661,0,4096,0.002669082201865791,1.0,0.861328125,5.66796875
main,1,1e-06,6,0.3585318486896931,1000,16,3.9980326046410726,3.9980326046410726,4.053611441316603,0.05557883667553032,3.9424537679655423,0.005615234375,0.07199834166718164,0.962158203125,-94.28659289833661,0,4096,0.020019574412080132,1.0,0.861328125,5.66796875
main,1,1e-06,6,0.3585318486896931,1000,32,4.996180900571339,4.996180900571339,5.072410138937639,0.07622923836629969,4.919951662205039,0.00830078125,0.11042881353995826,0.962158203125,-94.28659289833661,0,4096,0.10197367597556095,1.0,0.861328125,5.66796875
main,1,1e-06,6,0.3585318486896931,7500,8,2.99927963334655,2.99927963334655,2.99927963334655,0.0,2.99927963334655,0.0,0.0,1.0,-548.1600001618172,0,4096,0.007041140766626874,1.0,0.875,7.48291015625
main,1,1e-06,6,0.3585318486896931,7500,16,3.998358170685751,3.998358170685751,3.998358170685751,0.0,3.998358170685751,0.0,0.0,1.0,-548.1600001618172,0,4096,0.021171439206093545,1.0,0.875,7.48291015625
main,1,1e-06,6,0.3585318486896931,7500,32,4.994972400552258,4.994972400552258,4.994972400552258,0.0,4.994972400552258,0.0,0.0,1.0,-548.1600001618172,0,4096,0.0967791322204139,1.0,0.875,7.48291015625
main,1,1e-06,6,0.3585318486896931,30000,8,2.9994344565225437,2.9994344565225437,2.9994344565225437,0.0,2.9994344565225437,0.0,0.0,1.0,-2075.592828303139,0,4096,0.007422633768514153,1.0,0.875,7.508056640625
main,1,1e-06,6,0.3585318486896931,30000,16,3.998033660501666,3.998033660501666,3.998033660501666,0.0,3.998033660501666,0.0,0.0,1.0,-2075.592828303139,0,4096,0.022464465786629972,1.0,0.875,7.508056640625
main,1,1e-06,6,0.3585318486896931,30000,32,4.994358027663719,4.994358027663719,4.994358027663719,0.0,4.994358027663719,0.0,0.0,1.0,-2075.592828303139,0,4096,0.09209178832043818,1.0,0.875,7.508056640625
main,1,1e-06,7,0.3985318486896931,0,8,2.999458830488709,2.999458830488709,5.993278730777529,2.99381990028882,0.005638930199888925,0.86376953125,2.999188613569403,0.0,-0.41984138284523786,0,4096,0.003529653992653259,0.0,0.0,0.0
