suite,eta,kappa_index,kappa,snapshot,bins,batch_count,hx_bits_mean,hx_bits_batch_sd,hy_bits_mean,hy_bits_batch_sd,hxy_bits_mean,hxy_bits_batch_sd,hcond_bits_mean,hcond_bits_batch_sd,mi_bits_mean,mi_bits_batch_sd,mismatch_probability_mean,mismatch_probability_batch_sd,fano_bound_bits_mean,fano_bound_bits_batch_sd,sync_fraction_mean,sync_fraction_batch_sd,median_logd_mean,median_logd_batch_sd,invalid_count_mean,invalid_count_batch_sd,valid_count_mean,valid_count_batch_sd,shuffle_mi_bits_mean,shuffle_mi_bits_batch_sd,ever_entered_fraction_mean,ever_entered_fraction_batch_sd,reexit_fraction_mean,reexit_fraction_batch_sd,mean_exit_count_mean,mean_exit_count_batch_sd
main,1e-06,5,0.3505318486896931,7500,32,4,4.994942439640985,0.0003986763939935988,4.994942439640985,0.0003986763939935988,5.04911792859481,0.006742414451534119,0.05417548895382529,0.006753963612979477,4.940766950687159,0.0067889455785785265,0.005859375,0.0007187305392519406,0.08085537001747467,0.008918383772742388,0.97698974609375,0.001312847152091608,-189.59815645117138,3.2025423774206105,0.0,0.0,4096.0,0.0,0.09080831026742775,0.005015081459169014,1.0,0.0,0.96124267578125,0.0035400390625,22.2889404296875,0.3222830411270089
main,1e-06,5,0.3505318486896931,30000,8,4,2.998797700328418,0.0007390139286249051,2.998797700328418,0.0007390139286249051,3.0061921988143885,0.00859629259142047,0.007394498485970402,0.0081267496457891,2.9914032018424477,0.007699620540439592,0.00067138671875,0.0007557851408287236,0.00941978648745925,0.010063949716878814,0.99554443359375,0.001977137144084691,-539.0584405155482,2.251202687102771,0.0,0.0,4096.0,0.0,0.005864680204309858,0.000977170046163943,1.0,0.0,0.968017578125,0.0038602022218852286,33.72113037109375,0.3295710579498711
main,1e-06,5,0.3505318486896931,30000,16,4,3.9971146348544524,0.0015431471825007829,3.9971146348544524,0.0015431471825007829,4.005907280748568,0.009255363758089677,0.008792645894114992,0.008488075799961976,3.9883219889603376,0.007949572927583005,0.0008544921875,0.0008338989881152017,0.01274898665001192,0.011882602043823041,0.99554443359375,0.001977137144084691,-539.0584405155482,2.251202687102771,0.0,0.0,4096.0,0.0,0.021629034240260747,0.0032958876406794543,1.0,0.0,0.968017578125,0.0038602022218852286,33.72113037109375,0.3295710579498711
main,1e-06,5,0.3505318486896931,30000,32,4,4.994286122125709,0.001673873873777729,4.994286122125709,0.001673873873777729,5.005133842467702,0.009730146352179253,0.010847720341992328,0.008977332079471096,4.983438401783716,0.008491933936742897,0.00115966796875,0.000963762962428956,0.018112909301309137,0.014692702837427069,0.99554443359375,0.001977137144084691,-539.0584405155482,2.251202687102771,0.0,0.0,4096.0,0.0,0.08901321236963256,0.0030165700880693965,1.0,0.0,0.968017578125,0.0038602022218852286,33.72113037109375,0.3295710579498711
main,1e-06,6,0.3585318486896931,0,8,4,2.999477666909165,0.0002356470483412338,2.999477666909165,0.0002356470483412338,5.9940211198096724,0.0007733367465883726,2.9945434529005075,0.0007601843872510873,0.0049342140086579,0.0008177835559612366,0.8729248046875,0.0071498893000073805,2.9997235229857933,0.0003622571885006432,0.0,0.0,-0.41371581344517555,0.007406086252428738,0.0,0.0,4096.0,0.0,0.004325278303514368,0.0012479558195187977,0.0,0.0,0.0,0.0,0.0,0.0
main,1e-06,6,0.3585318486896931,0,16,4,3.9987633282797246,0.000491872116592795,3.9987633282797246,0.000491872116592795,7.9752272600781104,0.003084649051044608,3.9764639317983863,0.0033902293357498535,0.022299396481338052,0.0037357899416335413,0.93804931640625,0.001863322451473846,3.999963752292774,6.0439837363770617e-05,0.0,0.0,-0.41371581344517555,0.007406086252428738,0.0,0.0,4096.0,0.0,0.02056050401558518,0.0035310095788445824,0.0,0.0,0.0,0.0,0.0,0.0
main,1e-06,6,0.3585318486896931,0,32,4,4.9973142105830375,0.0004627479287891864,4.9973142105830375,0.0004627479287891864,9.901786889510063,0.002188722080764019,4.904472678927027,0.0021949443559454032,0.09284153165601117,0.002296372878207402,0.96844482421875,0.0020559578607844695,4.999922996142708,6.896749670333766e-05,0.0,0.0,-0.41371581344517555,0.007406086252428738,0.0,0.0,4096.0,0.0,0.09219266854210373,0.0073331631533716,0.0,0.0,0.0,0.0,0.0,0.0
main,1e-06,6,0.3585318486896931,100,8,4,2.998244903520055,0.0012968856235907541,2.998244903520055,0.0012968856235907541,3.285808347459251,0.007721347963600447,0.287563443939196,0.008967686252568994,2.710681459580859,0.010226602745554647,0.0357666015625,0.001600937139722168,0.32290264606443686,0.01212324093594773,0.679931640625,0.01063624067909764,-18.509379968213516,0.49764594023652686,0.0,0.0,4096.0,0.0,0.0052280135622968515,0.0011012412766558506,0.948974609375,0.004558744653047174,0.66510009765625,0.0029859439793224825,1.38726806640625,0.02288017980717207
main,1e-06,6,0.3585318486896931,100,16,4,3.9966433716103946,0.001204013982085568,3.9966433716103946,0.001204013982085568,4.431212815124315,0.019618116743765245,0.4345694435139197,0.02012951587531146,3.562073928096475,0.020698396399599292,0.05572509765625,0.0037525454465184077,0.527802856083654,0.02999502243879433,0.679931640625,0.01063624067909764,-18.509379968213516,0.49764594023652686,0.0,0.0,4096.0,0.0,0.020585477664072815,0.003970611495119383,0.948974609375,0.004558744653047174,0.66510009765625,0.0029859439793224825,1.38726806640625,0.02288017980717207
main,1e-06,6,0.3585318486896931,100,32,4,4.994468394037298,0.0005923004083855599,4.994468394037298,0.0005923004083855599,5.588022988814023,0.024626394688222985,0.5935545947767251,0.024884650904219794,4.400913799260573,0.025154204925959874,0.07806396484375,0.004033249430663861,0.7819403591998726,0.034514207041620566,0.679931640625,0.01063624067909764,-18.509379968213516,0.49764594023652686,0.0,0.0,4096.0,0.0,0.08726636815004474,0.00681446886300158,0.948974609375,0.004558744653047174,0.66510009765625,0.0029859439793224825,1.38726806640625,0.02288017980717207
