trajectory,s0,common_mean,common_theory,k0_positive_fraction_w256,k0_positive_fraction_w4096,k1_positive_fraction_w256,k1_positive_fraction_w4096,k2_positive_fraction_w256,k2_positive_fraction_w4096,k3_positive_fraction_w256,k3_positive_fraction_w4096,k4_positive_fraction_w256,k4_positive_fraction_w4096,k5_positive_fraction_w256,k5_positive_fraction_w4096,k6_positive_fraction_w256,k6_positive_fraction_w4096,k7_positive_fraction_w256,k7_positive_fraction_w4096,k8_positive_fraction_w256,k8_positive_fraction_w4096
172,-0.6479499146692355,1.2108978029955164,1.1942327179468006,1.0,1.0,0.84375,1.0,0.75,1.0,0.5546875,0.75,0.5078125,0.75,0.4765625,0.75,0.3125,0.0,0.0078125,0.0,0.0,0.0
173,-0.2443845140112727,1.1916366249131582,1.1942327179468006,1.0,1.0,0.8515625,1.0,0.6875,1.0,0.5625,0.5,0.4921875,0.5,0.4140625,0.375,0.2578125,0.0,0.0,0.0,0.0,0.0
174,1.2841602570143036,1.1794026818257068,1.1942327179468006,1.0,1.0,0.8359375,1.0,0.6171875,0.875,0.4609375,0.5,0.4453125,0.375,0.4296875,0.375,0.296875,0.0,0.0078125,0.0,0.0,0.0
175,0.09956302113678306,1.1876572046869922,1.1942327179468006,1.0,1.0,0.8046875,1.0,0.6640625,0.875,0.53125,0.625,0.4765625,0.5,0.4453125,0.25,0.2578125,0.0,0.0,0.0,0.0,0.0
176,-0.7631813006556999,1.188214572423417,1.1942327179468006,1.0,1.0,0.78125,1.0,0.6484375,1.0,0.5234375,0.375,0.484375,0.25,0.46875,0.25,0.3046875,0.0,0.015625,0.0,0.0,0.0
177,-1.3556730750417916,1.1984544960042673,1.1942327179468006,1.0,1.0,0.828125,1.0,0.6875,1.0,0.5234375,0.875,0.5078125,0.5,0.4609375,0.5,0.296875,0.0,0.0,0.0,0.0,0.0
178,-0.06823382166534232,1.1743969161068202,1.1942327179468006,1.0,1.0,0.78125,1.0,0.6171875,0.75,0.515625,0.625,0.453125,0.375,0.40625,0.25,0.25,0.0,0.0,0.0,0.0,0.0
179,-7.89273820342904,1.186686751480844,1.1942327179468006,1.0,1.0,0.8125,1.0,0.609375,0.875,0.5078125,0.5,0.4765625,0.25,0.4375,0.25,0.3046875,0.125,0.0078125,0.0,0.0,0.0
180,1.0555437830966754,1.208530438942416,1.1942327179468006,1.0,1.0,0.8046875,1.0,0.703125,1.0,0.6015625,0.75,0.5546875,0.75,0.515625,0.625,0.359375,0.0,0.0,0.0,0.0,0.0
181,-0.42608496016746783,1.1887753822459157,1.1942327179468006,1.0,1.0,0.8125,1.0,0.65625,0.875,0.484375,0.625,0.4453125,0.5,0.421875,0.25,0.2890625,0.125,0.0,0.0,0.0,0.0
182,1.6265000254113329,1.1759203376373712,1.1942327179468006,1.0,1.0,0.8046875,1.0,0.6328125,0.875,0.4921875,0.625,0.4453125,0.25,0.4140625,0.0,0.28125,0.0,0.0,0.0,0.0,0.0
183,-1.3842362596902729,1.1722323922417144,1.1942327179468006,1.0,1.0,0.78125,1.0,0.59375,1.0,0.453125,0.25,0.421875,0.125,0.40625,0.125,0.265625,0.0,0.0,0.0,0.0,0.0
184,0.6542008403789235,1.2084289339554515,1.1942327179468006,1.0,1.0,0.8125,1.0,0.6796875,1.0,0.5625,0.75,0.546875,0.625,0.53125,0.5,0.375,0.125,0.0,0.0,0.0,0.0
185,-0.22435252640574888,1.1993606412556264,1.1942327179468006,1.0,1.0,0.8359375,1.0,0.6796875,1.0,0.53125,0.625,0.46875,0.5,0.4375,0.375,0.296875,0.125,0.0078125,0.0,0.0,0.0
186,0.6181602196363277,1.1927674655088185,1.1942327179468006,1.0,1.0,0.828125,1.0,0.6328125,1.0,0.515625,1.0,0.4921875,0.25,0.4609375,0.25,0.265625,0.0,0.0078125,0.0,0.0,0.0
187,1.683162998994358,1.1956591993466676,1.1942327179468006,1.0,1.0,0.8203125,1.0,0.671875,1.0,0.5546875,0.625,0.5,0.625,0.484375,0.5,0.3046875,0.0,0.0,0.0,0.0,0.0
188,-0.4604293089410798,1.195326605380446,1.1942327179468006,1.0,1.0,0.8046875,1.0,0.6875,1.0,0.578125,0.625,0.53125,0.5,0.4765625,0.375,0.3359375,0.125,0.0,0.0,0.0,0.0
189,0.18103747489189376,1.1923357093341072,1.1942327179468006,1.0,1.0,0.84375,1.0,0.65625,1.0,0.5,0.75,0.484375,0.5,0.4453125,0.375,0.2734375,0.0,0.0078125,0.0,0.0,0.0
