model,seed,rmse,mae,r2
fourier_raw_shuffle,530028,0.0832100833787074,0.07229076894331554,0.13451025301357022
fourier_raw_shuffle,530029,0.09241718926029464,0.08494965040014145,-0.06761710884663996
fourier_raw_shuffle,530030,0.08621828550574649,0.07803762566998686,0.07080090555619789
fourier_raw_shuffle,530031,0.08683866818254873,0.08032458022053143,0.05738071353514995
fourier_raw_shuffle,530032,0.08609004447205873,0.07586686584455357,0.07356303034986866
fourier_raw_shuffle,530033,0.07712417255954765,0.06686231009538811,0.25648275087563954
fourier_raw_shuffle,530034,0.10034181027470361,0.0921398794723952,-0.25855986115057683
fourier_raw_shuffle,530035,0.0847188038527974,0.07516007922364709,0.10284053421890504
fourier_raw_shuffle,530036,0.08555653833418014,0.07745802964826574,0.08500984353399554
fourier_raw_shuffle,530037,0.07608649312718496,0.06541947225932558,0.2763556954508545
fourier_raw_shuffle,530038,0.08735506674784461,0.08030766941981929,0.04613653918495153
fourier_raw_shuffle,530039,0.08498020740510513,0.07868947125230985,0.09729554367316451
fourier_raw_shuffle,530040,0.09294139514601325,0.086362840833597,-0.07976286646092179
fourier_raw_shuffle,530041,0.0849207984217242,0.07385289825655894,0.09855724942711042
fourier_raw_shuffle,530042,0.09065867534897594,0.08330188924680758,-0.027374427003877377
fourier_raw_shuffle,530043,0.0956110086403238,0.08697325504976798,-0.14268312165250907
fourier_raw_shuffle,530044,0.08588586423626536,0.07649877439956988,0.07795229054872421
fourier_raw_shuffle,530045,0.09034223628736311,0.08350280610628005,-0.020214957175218595
fourier_raw_shuffle,530046,0.08251162005857696,0.06984838585630235,0.14897906941363004
fourier_raw_shuffle,530047,0.08844472619345999,0.07813835373318101,0.022191301070486613
fourier_cayley_shuffle,530000,0.08665465081203332,0.07568929267148702,0.06137143658057176
fourier_cayley_shuffle,530001,0.08699103094209709,0.08179858814631283,0.054070066953888385
fourier_cayley_shuffle,530002,0.08072255388091265,0.07003421212306746,0.18548366186789422
fourier_cayley_shuffle,530003,0.10807624137550179,0.09727828441751991,-0.4600592437319657
fourier_cayley_shuffle,530004,0.0922309268093965,0.07679125857397401,-0.06331798251503185
fourier_cayley_shuffle,530005,0.08704250225139397,0.07126845800629789,0.05295035022700956
fourier_cayley_shuffle,530006,0.08457266755883605,0.07976386355875548,0.10593298774782511
fourier_cayley_shuffle,530007,0.09272373421882449,0.07966764989258739,-0.07471136093540043
fourier_cayley_shuffle,530008,0.09254125413145846,0.0868678110894211,-0.07048546452789717
fourier_cayley_shuffle,530009,0.08651670150024517,0.07818108557084048,0.0643575451896844
fourier_cayley_shuffle,530010,0.08639034598070239,0.08143761487460716,0.06708851516681724
fourier_cayley_shuffle,530011,0.10123678089748311,0.09051934657679625,-0.28111072581062535
fourier_cayley_shuffle,530012,0.10192203172481651,0.08797064971548182,-0.2985125688643129
fourier_cayley_shuffle,530013,0.0929912863237255,0.07701563352908752,-0.08092241651763699
fourier_cayley_shuffle,530014,0.0924006824022525,0.07858720074994982,-0.06723576355024186
fourier_cayley_shuffle,530015,0.06932028598964989,0.06613368275489888,0.3993372437891436
fourier_cayley_shuffle,530016,0.09257762517861254,0.08130879384844088,-0.07132708546395916
fourier_cayley_shuffle,530017,0.10849169346929986,0.09843438307690468,-0.47130594397956527
fourier_cayley_shuffle,530018,0.09849832282065063,0.08897961609594297,-0.2127399498101381
fourier_cayley_shuffle,530019,0.08928399141489371,0.07222534559262186,0.003546109628148275
fourier_cayley_shuffle,530020,0.09458155232454438,0.07155159569509498,-0.11820875501506567
