split,seed,alpha,initial_state,location,scale,repeated,near_1e12,near_1e10,near_1e8
train,510020,0.42,-0.4083472816603755,-0.0172765359345953,0.8606734596267309,False,0,0,0
train,510020,0.5,0.6246873784311026,0.00756988705717801,1.013676939990129,False,0,0,0
train,510020,0.58,2.2101635282446765,-0.010829570405950052,1.164247743659514,False,0,0,0
train,510020,0.66,2.07559854550437,0.020868525850649924,1.4515993971195262,False,0,0,0
train,510021,0.34,3.959003665791016,-0.007553370349030444,0.7066817203413984,False,0,0,0
train,510021,0.42,-0.5539905248053719,-0.005367182841090163,0.8717691693470114,False,0,0,0
train,510021,0.5,0.9264786150780941,0.05988229210302112,0.9645746566359356,False,0,0,0
train,510021,0.58,0.28479731734454145,-0.03566636683642467,1.1399768333299223,False,0,0,0
train,510021,0.66,-0.324782929652114,-0.015860450265746028,1.3656447757880812,False,0,0,0
train,510022,0.34,-0.05024615869344598,0.0013987052171713311,0.7113680653743581,False,0,0,0
train,510022,0.42,-1.1286844505435174,-0.0034616166387998536,0.8680799177153861,False,0,0,0
train,510022,0.5,-3.4409578815764794,-0.022514487906412306,1.017275166728278,False,0,0,0
train,510022,0.58,-0.18490832939850604,0.03421446385030111,1.1982635632543757,False,0,0,0
train,510022,0.66,0.8004587549705425,-0.004107457088910383,1.379511894720677,False,0,0,0
train,510023,0.34,-0.4141588744753366,0.004423358565995742,0.7121223058022358,False,0,0,0
train,510023,0.42,7.762502589444595,0.003883291428525287,0.871462015512408,False,0,0,0
train,510023,0.5,34.86008708793677,-0.012167353486088245,1.0178986671959047,False,0,0,0
train,510023,0.58,-0.060408545176481254,0.06926939008111875,1.1746852455445498,False,0,0,0
train,510023,0.66,-0.7526264016032964,-0.09121598973185585,1.3727875482361882,False,0,0,0
train,510024,0.34,1.8468785058446,-0.014630731403634328,0.6959678584588125,False,0,0,0
train,510024,0.42,1.9027358280257756,0.004930533994821004,0.8690262392980784,False,0,0,0
train,510024,0.5,23.27667749105863,0.01078166482072615,0.9996452380951385,False,0,0,0
train,510024,0.58,0.6310387477660192,-0.026751068996066087,1.1605716706663767,False,0,0,0
train,510024,0.66,-3.043269823750935,0.06545131905358517,1.3111690449581443,False,0,0,0
train,510025,0.34,-8.841102020258258,-0.006319704235786802,0.7188109001814267,False,0,0,0
train,510025,0.42,0.24044518946387483,0.009500704622414913,0.8164923120769166,False,0,0,0
train,510025,0.5,-0.36389616967211874,-0.01412689436245515,1.0410790649991435,False,0,0,0
train,510025,0.58,-0.23359832964920707,-0.071168740110001,1.1403668013116914,False,0,0,0
train,510025,0.66,0.6441508320107298,-0.0433803061222147,1.309858297076281,False,0,0,0
train,510026,0.34,-16.05706667721305,-0.009275994745683481,0.7096912137044831,False,0,0,0
train,510026,0.42,13.36384706297501,-9.46402948463565e-05,0.877171745841251,False,0,0,0
train,510026,0.5,2.9288590094149405,0.010966684129894738,1.0332522372910318,False,0,0,0
train,510026,0.58,-0.7543250084045633,0.05610075195148233,1.247647317792578,False,0,0,0
train,510026,0.66,-2.2656362245406894,-0.11735068810936336,1.449328260333421,False,0,0,0
train,510027,0.34,-233.79367270473702,0.008886195556571296,0.7144136070382118,False,0,0,0
train,510027,0.42,0.2813439378065011,-0.005287481508012172,0.8362263772164623,False,0,0,0
train,510027,0.5,0.3114866358040985,0.011984487084121836,1.001621074857478,False,0,0,0
train,510027,0.58,-0.5672124451343326,-0.017745988496539286,1.130963409643855,False,0,0,0
train,510027,0.66,1.335297738580386,-0.020866140855332616,1.4343339487683788,False,0,0,0
train,510028,0.34,0.9979051238140116,0.0024476763862013853,0.7358730583592391,False,0,0,0
train,510028,0.42,-3.9128267984078406,-0.009558408058991812,0.8639852809383726,False,0,0,0
train,510028,0.5,-0.09656481269735276,-0.026229387242847763,0.9588266971140802,False,0,0,0
train,510028,0.58,-0.8272048083391729,0.0021049687060399848,1.167012452639676,False,0,0,0
train,510028,0.66,13.38949519038845,0.02636336205848823,1.408070580282228,False,0,0,0
train,510029,0.34,-1.2835058469951375,0.016471632848067866,0.7160739428577948,False,0,0,0
train,510029,0.42,1.9785385010565832,0.04112228751513991,0.8491854625452021,False,0,0,0
train,510029,0.5,9.786026920183328,0.029871147774306078,1.0187888739227582,False,0,0,0
train,510029,0.58,-3.296859838064836,-0.02702378249642865,1.242875029486739,False,0,0,0
train,510029,0.66,-3.586681991234235,-0.03620476840885172,1.330673957419681,False,0,0,0
train,510030,0.34,-5.402315128201562,-0.025638041735644986,0.7113412254046736,False,0,0,0
train,510030,0.42,-0.36772739791639525,0.011688161203672885,0.8393637360997144,False,0,0,0
train,510030,0.5,0.2602506107369955,-0.00477292030702256,1.0034454458867232,False,0,0,0
train,510030,0.58,-6.284141090812535,0.045667831862180305,1.1555325149281457,False,0,0,0
train,510030,0.66,-4.474358232112934,-0.020592105308897588,1.41861483052794,False,0,0,0
train,510031,0.34,14.1339407296947,0.010688335679788476,0.7269043430783254,False,0,0,0
train,510031,0.42,0.7890362636592775,0.03006416562681069,0.848535144526036,False,0,0,0
train,510031,0.5,3.4010875631346282,0.032344002562629176,1.020361759699739,False,0,0,0
train,510031,0.58,-9.357783119082493,0.06892949216296279,1.1511072344727125,False,0,0,0
train,510031,0.66,207.54516418085393,-0.03475117481312598,1.4632453308758624,False,0,0,0
